game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,1,01:29,NYK,,IND,,T. McConnell,IND,MISS McConnell 2' Driving Layup,Missed Shot,Driving Layup Shot,18,11,2,1,2.0,0.0,v
S2425-G0081,1,00:54.900000,NYK,24.0,IND,22.0,T. McConnell,IND,McConnell 4' Floating Jump Shot (2 PTS) (Walker 1 AST),Made Shot,Floating Jump shot,11,40,4,1,2.0,2.0,v
S2425-G0081,1,00:00.900000,NYK,,IND,,T. McConnell,IND,McConnell Out of Bounds - Bad Pass Turnover Turnover (P1.T6),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0081,2,08:57,NYK,,IND,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,2,07:29,NYK,,IND,,T. McConnell,IND,SUB: Haliburton FOR McConnell,Substitution,,0,0,0,0,,,v
S2425-G0081,3,04:44,NYK,76.0,IND,57.0,T. McConnell,IND,McConnell 1' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,5,8,1,1,2.0,2.0,v
S2425-G0081,3,03:14,NYK,,IND,,T. McConnell,IND,MISS McConnell Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0081,3,03:14,NYK,82.0,IND,60.0,T. McConnell,IND,McConnell Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0081,3,02:34,NYK,,IND,,T. McConnell,IND,McConnell Out of Bounds - Bad Pass Turnover Turnover (P2.T14),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0081,3,00:58.600000,NYK,93.0,IND,64.0,T. McConnell,IND,McConnell 8' Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,77,-4,8,1,2.0,2.0,v
S2425-G0081,4,10:52,NYK,,IND,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,4,09:30,NYK,,IND,,T. McConnell,IND,SUB: Sheppard FOR McConnell,Substitution,,0,0,0,0,,,v
S2425-G0097,1,04:48,IND,,PHI,,T. McConnell,IND,McConnell Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0097,1,04:29,IND,,PHI,,T. McConnell,IND,MISS McConnell 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-1,167,17,1,2.0,0.0,h
S2425-G0097,1,03:00,IND,,PHI,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0097,1,02:55,IND,,PHI,,T. McConnell,IND,McConnell Out of Bounds Lost Ball Turnover (P2.T4),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0097,1,02:11,IND,,PHI,,T. McConnell,IND,MISS McConnell 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,137,38,14,1,2.0,0.0,h
S2425-G0097,1,02:07,IND,,PHI,,T. McConnell,IND,McConnell REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0097,1,02:06,IND,,PHI,,T. McConnell,IND,MISS McConnell 4' Putback Layup,Missed Shot,Putback Layup Shot,28,21,4,1,2.0,0.0,h
S2425-G0097,1,00:00.900000,IND,23.0,PHI,28.0,T. McConnell,IND,McConnell 6' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,-31,54,6,1,2.0,2.0,h
S2425-G0097,2,11:42,IND,,PHI,,T. McConnell,IND,McConnell REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0097,2,11:27,IND,25.0,PHI,28.0,T. McConnell,IND,McConnell 9' Fadeaway Jumper (4 PTS),Made Shot,Fadeaway Jump Shot,66,64,9,1,2.0,2.0,h
S2425-G0097,2,08:38,IND,,PHI,,T. McConnell,IND,McConnell S.FOUL (P1.T3) (J.Sterling),Foul,Shooting,0,0,0,0,,,h
S2425-G0097,2,08:20,IND,34.0,PHI,36.0,T. McConnell,IND,McConnell 3' Cutting Layup Shot (6 PTS) (Siakam 4 AST),Made Shot,Cutting Layup Shot,26,15,3,1,2.0,2.0,h
S2425-G0097,2,07:27,IND,,PHI,,T. McConnell,IND,McConnell STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0097,2,07:14,IND,,PHI,,T. McConnell,IND,SUB: Toppin FOR McConnell,Substitution,,0,0,0,0,,,h
S2425-G0097,3,05:07,IND,,PHI,,T. McConnell,IND,MISS McConnell 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,140,26,14,1,2.0,0.0,h
S2425-G0097,3,03:56,IND,,PHI,,T. McConnell,IND,MISS McConnell 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,136,8,14,1,2.0,0.0,h
S2425-G0097,3,03:05,IND,71.0,PHI,77.0,T. McConnell,IND,McConnell 3' Driving Layup (8 PTS) (Toppin 1 AST),Made Shot,Driving Layup Shot,-25,8,3,1,2.0,2.0,h
S2425-G0097,3,01:26,IND,77.0,PHI,77.0,T. McConnell,IND,McConnell 3' Driving Layup (10 PTS) (Mathurin 2 AST),Made Shot,Driving Layup Shot,13,25,3,1,2.0,2.0,h
S2425-G0097,4,10:58,IND,,PHI,,T. McConnell,IND,McConnell REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0097,4,09:10,IND,,PHI,,T. McConnell,IND,McConnell REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0097,4,07:19,IND,,PHI,,T. McConnell,IND,SUB: Haliburton FOR McConnell,Substitution,,0,0,0,0,,,h
S2425-G0063,1,01:38,DET,24.0,IND,25.0,T. McConnell,IND,McConnell 2' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,5,18,2,1,2.0,2.0,v
S2425-G0063,1,00:58.700000,DET,,IND,,T. McConnell,IND,McConnell Double Dribble Turnover (P1.T4),Turnover,Double Dribble,0,0,0,0,,,v
S2425-G0063,1,00:35.100000,DET,,IND,,T. McConnell,IND,McConnell STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0063,2,09:24,DET,35.0,IND,34.0,T. McConnell,IND,McConnell 13' Running Pull-Up Jump Shot (4 PTS) (Walker 1 AST),Made Shot,Running Pull-Up Jump Shot,-7,126,13,1,2.0,2.0,v
S2425-G0063,2,08:23,DET,,IND,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0063,2,08:03,DET,,IND,,T. McConnell,IND,SUB: Freeman FOR McConnell,Substitution,,0,0,0,0,,,v
S2425-G0063,3,01:47,DET,82.0,IND,82.0,T. McConnell,IND,McConnell 10' Floating Jump Shot (6 PTS),Made Shot,Floating Jump shot,96,24,10,1,2.0,2.0,v
S2425-G0063,3,01:10,DET,,IND,,T. McConnell,IND,MISS McConnell 10' Floating Jump Shot,Missed Shot,Floating Jump shot,98,5,10,1,2.0,0.0,v
S2425-G0063,4,11:42,DET,,IND,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0063,4,11:35,DET,90.0,IND,85.0,T. McConnell,IND,McConnell 1' Layup (8 PTS) (Toppin 1 AST),Made Shot,Layup Shot,-4,3,1,1,2.0,2.0,v
S2425-G0063,4,10:37,DET,95.0,IND,89.0,T. McConnell,IND,McConnell 2' Driving Layup (10 PTS) (Toppin 2 AST),Made Shot,Driving Layup Shot,-15,3,2,1,2.0,2.0,v
S2425-G0063,4,10:20,DET,95.0,IND,91.0,T. McConnell,IND,McConnell 1' Running Reverse Layup (12 PTS),Made Shot,Running Reverse Layup Shot,-11,-2,1,1,2.0,2.0,v
S2425-G0063,4,09:47,DET,96.0,IND,93.0,T. McConnell,IND,McConnell 2' Driving Layup (14 PTS) (Mathurin 1 AST),Made Shot,Driving Layup Shot,15,5,2,1,2.0,2.0,v
S2425-G0063,4,08:19,DET,,IND,,T. McConnell,IND,SUB: Haliburton FOR McConnell,Substitution,,0,0,0,0,,,v
S2425-G0119,1,05:25,IND,,BOS,,T. McConnell,IND,MISS McConnell 12' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,116,27,12,1,2.0,0.0,h
S2425-G0119,1,03:53,IND,,BOS,,T. McConnell,IND,McConnell Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0119,1,03:22,IND,26.0,BOS,19.0,T. McConnell,IND,McConnell 3' Running Layup (2 PTS) (Haliburton 3 AST),Made Shot,Running Layup Shot,26,18,3,1,2.0,2.0,h
S2425-G0119,1,02:22,IND,28.0,BOS,23.0,T. McConnell,IND,McConnell 11' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,-113,12,11,1,2.0,2.0,h
S2425-G0119,1,01:55,IND,,BOS,,T. McConnell,IND,MISS McConnell 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,25,263,26,1,3.0,0.0,h
S2425-G0119,2,11:38,IND,,BOS,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0119,2,11:31,IND,37.0,BOS,31.0,T. McConnell,IND,McConnell 5' Driving Finger Roll Layup (6 PTS),Made Shot,Driving Finger Roll Layup Shot,27,38,5,1,2.0,2.0,h
S2425-G0119,2,09:57,IND,42.0,BOS,34.0,T. McConnell,IND,McConnell 12' Jump Shot (8 PTS) (Siakam 2 AST),Made Shot,Jump Shot,5,119,12,1,2.0,2.0,h
S2425-G0119,2,08:53,IND,,BOS,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0119,2,06:48,IND,,BOS,,T. McConnell,IND,SUB: Haliburton FOR McConnell,Substitution,,0,0,0,0,,,h
S2425-G0119,3,01:00,IND,,BOS,,T. McConnell,IND,MISS McConnell 9' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,9,92,9,1,2.0,0.0,h
S2425-G0119,3,00:24.600000,IND,,BOS,,T. McConnell,IND,SUB: Mathurin FOR McConnell,Substitution,,0,0,0,0,,,h
S2425-G0119,4,10:47,IND,105.0,BOS,89.0,T. McConnell,IND,McConnell 15' Pullup Jump Shot (10 PTS),Made Shot,Pullup Jump shot,112,96,15,1,2.0,2.0,h
S2425-G0119,4,10:25,IND,,BOS,,T. McConnell,IND,MISS McConnell 3' Running Layup,Missed Shot,Running Layup Shot,21,21,3,1,2.0,0.0,h
S2425-G0119,4,10:09,IND,,BOS,,T. McConnell,IND,McConnell S.FOUL (P1.T1) (K.Cutler),Foul,Shooting,0,0,0,0,,,h
S2425-G0119,4,09:25,IND,,BOS,,T. McConnell,IND,McConnell STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0119,4,08:21,IND,,BOS,,T. McConnell,IND,MISS McConnell 13' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,125,22,13,1,2.0,0.0,h
