game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,11:40,ATL,,CHA,,T. Young,ATL,Young REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,11:33,ATL,3.0,CHA,0.0,T. Young,ATL,Young 25' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,21,252,25,1,3.0,3.0,h
S2425-G0079,1,10:43,ATL,7.0,CHA,0.0,T. Young,ATL,Young 10' Driving Floating Jump Shot (5 PTS),Made Shot,Driving Floating Jump Shot,9,104,10,1,2.0,2.0,h
S2425-G0079,1,10:05,ATL,,CHA,,T. Young,ATL,MISS Young Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0079,1,10:05,ATL,8.0,CHA,3.0,T. Young,ATL,Young Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,1,09:59,ATL,,CHA,,T. Young,ATL,MISS Young 25' 3PT Jump Shot,Missed Shot,Jump Shot,-2,248,25,1,3.0,0.0,h
S2425-G0079,1,07:13,ATL,18.0,CHA,9.0,T. Young,ATL,Young 25' 3PT Running Pull-Up Jump Shot (9 PTS) (Johnson 1 AST),Made Shot,Running Pull-Up Jump Shot,-145,205,25,1,3.0,3.0,h
S2425-G0079,1,06:42,ATL,,CHA,,T. Young,ATL,Young STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0079,1,06:05,ATL,,CHA,,T. Young,ATL,Young Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0079,1,05:40,ATL,,CHA,,T. Young,ATL,Young STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0079,1,05:31,ATL,,CHA,,T. Young,ATL,Young Bad Pass Turnover (P2.T3),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0079,1,04:06,ATL,,CHA,,T. Young,ATL,MISS Young 29' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,146,249,29,1,3.0,0.0,h
S2425-G0079,1,03:45,ATL,,CHA,,T. Young,ATL,Young Out of Bounds - Bad Pass Turnover Turnover (P3.T4),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
