game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,04:49,ATL,,CHA,,V. Krejčí,ATL,MISS Krejčí 25' 3PT Jump Shot,Missed Shot,Jump Shot,-235,71,25,1,3.0,0.0,h
S2425-G0079,1,04:27,ATL,,CHA,,V. Krejčí,ATL,Krejčí P.FOUL (P1.T2) (Z.Zarba),Foul,Personal,0,0,0,0,,,h
S2425-G0079,1,02:28,ATL,,CHA,,V. Krejčí,ATL,Krejčí BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0079,1,01:10,ATL,,CHA,,V. Krejčí,ATL,Krejčí STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0079,1,00:06.800000,ATL,,CHA,,V. Krejčí,ATL,SUB: Young FOR Krejčí,Substitution,,0,0,0,0,,,h
S2425-G0079,2,10:52,ATL,,CHA,,V. Krejčí,ATL,Krejčí S.FOUL (P2.T1) (Z.Zarba),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,2,09:57,ATL,34.0,CHA,22.0,V. Krejčí,ATL,Krejčí 6' Driving Floating Bank Jump Shot (2 PTS) (Daniels 1 AST),Made Shot,Driving Floating Bank Jump Shot,-53,31,6,1,2.0,2.0,h
S2425-G0079,2,09:46,ATL,,CHA,,V. Krejčí,ATL,Krejčí P.FOUL (P3.T3) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2425-G0079,2,09:46,ATL,,CHA,,V. Krejčí,ATL,SUB: Young FOR Krejčí,Substitution,,0,0,0,0,,,h
S2425-G0079,3,02:26,ATL,,CHA,,V. Krejčí,ATL,Krejčí Bad Pass Turnover (P1.T12),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0079,3,02:02,ATL,,CHA,,V. Krejčí,ATL,Krejčí S.FOUL (P4.PN) (Z.Zarba),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,3,01:04,ATL,,CHA,,V. Krejčí,ATL,Krejčí S.FOUL (P5.PN) (Z.Zarba),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,3,01:04,ATL,,CHA,,V. Krejčí,ATL,SUB: Daniels FOR Krejčí,Substitution,,0,0,0,0,,,h
S2425-G0079,4,04:50,ATL,109.0,CHA,105.0,V. Krejčí,ATL,Krejčí Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,4,04:50,ATL,,CHA,,V. Krejčí,ATL,MISS Krejčí Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0079,4,03:49,ATL,,CHA,,V. Krejčí,ATL,SUB: Daniels FOR Krejčí,Substitution,,0,0,0,0,,,h
S2425-G0064,2,06:23,ATL,,BKN,,V. Krejčí,ATL,MISS Krejčí 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,165,200,26,1,3.0,0.0,h
S2425-G0064,2,06:06,ATL,,BKN,,V. Krejčí,ATL,Krejčí REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
