game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0073,1,04:49,WAS,22.0,BOS,17.0,X. Tillman,BOS,Tillman 24' 3PT Jump Shot (3 PTS) (White 2 AST),Made Shot,Jump Shot,235,-12,24,1,3.0,3.0,v
S2425-G0073,1,01:29,WAS,,BOS,,X. Tillman,BOS,SUB: Brown FOR Tillman,Substitution,,0,0,0,0,,,v
S2425-G0073,2,09:37,WAS,,BOS,,X. Tillman,BOS,MISS Tillman 3PT Jump Shot,Missed Shot,Jump Shot,-234,-21,0,1,3.0,0.0,v
S2425-G0073,2,09:17,WAS,,BOS,,X. Tillman,BOS,SUB: Queta FOR Tillman,Substitution,,0,0,0,0,,,v
S2425-G0073,3,04:58,WAS,,BOS,,X. Tillman,BOS,Tillman REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,3,04:48,WAS,,BOS,,X. Tillman,BOS,Tillman Lost Ball Turnover (P1.T7),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0073,3,02:20,WAS,,BOS,,X. Tillman,BOS,Tillman L.B.FOUL (P1.T4) (J.Reneau),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0073,3,00:21.500000,WAS,71.0,BOS,98.0,X. Tillman,BOS,Tillman 3' Cutting Layup Shot (5 PTS) (Brown 2 AST),Made Shot,Cutting Layup Shot,28,15,3,1,2.0,2.0,v
S2425-G0073,4,10:30,WAS,75.0,BOS,107.0,X. Tillman,BOS,Tillman 27' 3PT Jump Shot (8 PTS) (Brown 3 AST),Made Shot,Jump Shot,-6,268,27,1,3.0,3.0,v
S2425-G0073,4,10:08,WAS,,BOS,,X. Tillman,BOS,SUB: Walsh FOR Tillman,Substitution,,0,0,0,0,,,v
S2425-G0119,3,06:12,IND,,BOS,,X. Tillman,BOS,MISS Tillman 4' Driving Layup,Missed Shot,Driving Layup Shot,-13,34,4,1,2.0,0.0,v
