game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0126,1,06:04,GSW,,NOP,,Y. Missi,NOP,Missi REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0126,1,04:36,GSW,,NOP,,Y. Missi,NOP,MISS Missi 4' Driving Dunk,Missed Shot,Driving Dunk Shot,22,32,4,1,2.0,0.0,v
S2425-G0126,1,03:42,GSW,,NOP,,Y. Missi,NOP,MISS Missi 4' Layup,Missed Shot,Layup Shot,44,1,4,1,2.0,0.0,v
S2425-G0126,1,02:33,GSW,,NOP,,Y. Missi,NOP,Missi REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0126,1,02:30,GSW,,NOP,,Y. Missi,NOP,MISS Missi Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0126,1,02:29,GSW,,NOP,,Y. Missi,NOP,Missi REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0126,1,02:29,GSW,,NOP,,Y. Missi,NOP,MISS Missi Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0126,1,01:47,GSW,,NOP,,Y. Missi,NOP,Missi Violation:Defensive Goaltending (B.Taylor),Violation,Defensive Goaltending,0,0,0,0,,,v
S2425-G0126,3,09:50,GSW,,NOP,,Y. Missi,NOP,MISS Missi 5' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,40,22,5,1,2.0,0.0,v
S2425-G0126,3,07:21,GSW,,NOP,,Y. Missi,NOP,Missi Violation:Defensive Goaltending (B.Taylor),Violation,Defensive Goaltending,0,0,0,0,,,v
S2425-G0126,3,06:42,GSW,,NOP,,Y. Missi,NOP,SUB: Robinson-Earl FOR Missi,Substitution,,0,0,0,0,,,v
S2425-G0116,1,01:51,GSW,,NOP,,Y. Missi,NOP,Missi BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0116,2,10:38,GSW,,NOP,,Y. Missi,NOP,Missi OFF.Foul (P1) (J.Schroeder),Foul,Offensive,0,0,0,0,,,v
S2425-G0116,2,10:38,GSW,,NOP,,Y. Missi,NOP,Missi Offensive Foul Turnover (P1.T8),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0116,2,09:49,GSW,,NOP,,Y. Missi,NOP,MISS Missi Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0116,2,09:49,GSW,,NOP,,Y. Missi,NOP,MISS Missi Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0116,2,08:55,GSW,,NOP,,Y. Missi,NOP,Missi BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0116,2,08:53,GSW,,NOP,,Y. Missi,NOP,SUB: McCollum FOR Missi,Substitution,,0,0,0,0,,,v
S2425-G0116,3,03:50,GSW,,NOP,,Y. Missi,NOP,Missi REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0116,3,03:48,GSW,78.0,NOP,72.0,Y. Missi,NOP,Missi 2' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,-22,1,2,1,2.0,2.0,v
S2425-G0116,3,02:38,GSW,,NOP,,Y. Missi,NOP,Missi REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
