game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,11:45,MEM,2.0,BKN,0.0,Z. Edey,MEM,Edey 1' Cutting Dunk Shot (2 PTS) (Morant 1 AST),Made Shot,Cutting Dunk Shot,-2,-7,1,1,2.0,2.0,h
S2424-G124,1,11:30,MEM,,BKN,,Z. Edey,MEM,Edey STEAL (1 STL),,,0,0,0,0,,,h
S2424-G124,1,11:23,MEM,3.0,BKN,0.0,Z. Edey,MEM,Edey Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,1,11:23,MEM,,BKN,,Z. Edey,MEM,MISS Edey Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2424-G124,1,07:47,MEM,14.0,BKN,10.0,Z. Edey,MEM,Edey 1' Alley Oop Dunk (5 PTS) (Morant 3 AST),Made Shot,Alley Oop Dunk Shot,13,0,1,1,2.0,2.0,h
S2424-G124,1,05:10,MEM,20.0,BKN,12.0,Z. Edey,MEM,Edey 1' Dunk (7 PTS) (LaRavia 1 AST),Made Shot,Dunk Shot,-2,8,1,1,2.0,2.0,h
S2424-G124,1,04:38,MEM,,BKN,,Z. Edey,MEM,MISS Edey 4' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,17,37,4,1,2.0,0.0,h
S2424-G124,1,04:37,MEM,,BKN,,Z. Edey,MEM,SUB: Huff FOR Edey,Substitution,,0,0,0,0,,,h
S2424-G124,2,07:12,MEM,,BKN,,Z. Edey,MEM,MISS Edey 4' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-34,16,4,1,2.0,0.0,h
S2424-G124,2,07:09,MEM,,BKN,,Z. Edey,MEM,Edey REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,2,07:08,MEM,43.0,BKN,44.0,Z. Edey,MEM,Edey 1' Putback Layup (9 PTS),Made Shot,Putback Layup Shot,-10,5,1,1,2.0,2.0,h
S2424-G124,2,05:59,MEM,47.0,BKN,47.0,Z. Edey,MEM,Edey 1' Cutting Layup Shot (11 PTS) (Wells 1 AST),Made Shot,Cutting Layup Shot,5,10,1,1,2.0,2.0,h
S2424-G124,2,03:00,MEM,,BKN,,Z. Edey,MEM,MISS Edey 8' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,83,3,8,1,2.0,0.0,h
S2424-G124,2,02:43,MEM,55.0,BKN,58.0,Z. Edey,MEM,Edey Cutting Dunk Shot (13 PTS) (Pippen Jr. 3 AST),Made Shot,Cutting Dunk Shot,-1,0,0,1,2.0,2.0,h
S2424-G124,2,02:42,MEM,,BKN,,Z. Edey,MEM,SUB: Clarke FOR Edey,Substitution,,0,0,0,0,,,h
S2424-G124,3,10:39,MEM,,BKN,,Z. Edey,MEM,Edey OFF.Foul (P1) (A.Smith),Foul,Offensive,0,0,0,0,,,h
S2424-G124,3,10:39,MEM,,BKN,,Z. Edey,MEM,Edey Offensive Foul Turnover (P1.T16),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2424-G124,3,08:50,MEM,,BKN,,Z. Edey,MEM,Edey L.B.FOUL (P2.T1) (B.Nansel),Foul,Loose Ball,0,0,0,0,,,h
S2424-G124,3,08:38,MEM,,BKN,,Z. Edey,MEM,SUB: LaRavia FOR Edey,Substitution,,0,0,0,0,,,h
S2424-G124,3,01:16,MEM,,BKN,,Z. Edey,MEM,Edey REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,3,00:54.300000,MEM,,BKN,,Z. Edey,MEM,SUB: Konchar FOR Edey,Substitution,,0,0,0,0,,,h
S2425-G0070,1,10:04,UTA,,MEM,,Z. Edey,MEM,Edey S.FOUL (P1.T1) (J.Williams),Foul,Shooting,0,0,0,0,,,v
S2425-G0070,1,09:47,UTA,,MEM,,Z. Edey,MEM,Edey REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,1,09:47,UTA,8.0,MEM,5.0,Z. Edey,MEM,Edey Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0070,1,09:47,UTA,,MEM,,Z. Edey,MEM,MISS Edey Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2425-G0070,1,08:23,UTA,,MEM,,Z. Edey,MEM,Edey Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0070,1,07:27,UTA,,MEM,,Z. Edey,MEM,Edey REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,1,07:06,UTA,,MEM,,Z. Edey,MEM,SUB: Bane FOR Edey,Substitution,,0,0,0,0,,,v
S2425-G0070,2,09:26,UTA,,MEM,,Z. Edey,MEM,Edey L.B.FOUL (P2.T1) (J.Williams),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0070,2,06:50,UTA,,MEM,,Z. Edey,MEM,SUB: Wells FOR Edey,Substitution,,0,0,0,0,,,v
S2425-G0070,3,10:41,UTA,,MEM,,Z. Edey,MEM,MISS Edey 4' Alley Oop Layup,Missed Shot,Alley Oop Layup shot,21,37,4,1,2.0,0.0,v
S2425-G0070,3,10:32,UTA,,MEM,,Z. Edey,MEM,Edey REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,3,09:10,UTA,,MEM,,Z. Edey,MEM,MISS Edey 6' Layup,Missed Shot,Layup Shot,-51,31,6,1,2.0,0.0,v
S2425-G0070,3,09:10,UTA,,MEM,,Z. Edey,MEM,Edey P.FOUL (P4.T2) (K.Cutler),Foul,Personal,0,0,0,0,,,v
S2425-G0070,3,08:07,UTA,,MEM,,Z. Edey,MEM,Edey REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,3,08:07,UTA,66.0,MEM,71.0,Z. Edey,MEM,Edey Putback Layup (4 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0070,3,07:49,UTA,,MEM,,Z. Edey,MEM,SUB: Huff FOR Edey,Substitution,,0,0,0,0,,,v
S2425-G0070,4,11:48,UTA,,MEM,,Z. Edey,MEM,MISS Edey Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0070,4,11:48,UTA,,MEM,,Z. Edey,MEM,MISS Edey Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0070,4,10:32,UTA,,MEM,,Z. Edey,MEM,Edey S.FOUL (P5.T2) (K.Cutler),Foul,Shooting,0,0,0,0,,,v
S2425-G0070,4,09:47,UTA,,MEM,,Z. Edey,MEM,Edey REBOUND (Off:4 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,4,09:47,UTA,91.0,MEM,102.0,Z. Edey,MEM,Edey Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0070,4,09:47,UTA,,MEM,,Z. Edey,MEM,MISS Edey Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
