game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,02:57,MEM,,BKN,,Z. Williams,BKN,Williams P.FOUL (P1.PN) (B.Forte),Foul,Personal,0,0,0,0,,,v
S2424-G124,1,02:18,MEM,,BKN,,Z. Williams,BKN,Williams STEAL (1 STL),,,0,0,0,0,,,v
S2424-G124,1,02:13,MEM,26.0,BKN,24.0,Z. Williams,BKN,Williams 2' Running Dunk (2 PTS),Made Shot,Running Dunk Shot,-2,18,2,1,2.0,2.0,v
S2424-G124,2,10:49,MEM,33.0,BKN,35.0,Z. Williams,BKN,Williams Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2424-G124,2,10:49,MEM,,BKN,,Z. Williams,BKN,MISS Williams Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2424-G124,2,09:51,MEM,,BKN,,Z. Williams,BKN,MISS Williams 25' 3PT Jump Shot,Missed Shot,Jump Shot,-217,133,25,1,3.0,0.0,v
S2424-G124,2,08:18,MEM,,BKN,,Z. Williams,BKN,Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,2,08:08,MEM,,BKN,,Z. Williams,BKN,MISS Williams 26' 3PT Jump Shot,Missed Shot,Jump Shot,7,258,26,1,3.0,0.0,v
S2424-G124,2,07:58,MEM,,BKN,,Z. Williams,BKN,Williams STEAL (2 STL),,,0,0,0,0,,,v
S2424-G124,2,07:55,MEM,41.0,BKN,44.0,Z. Williams,BKN,Williams 3' Running Dunk (5 PTS) (Thomas 1 AST),Made Shot,Running Dunk Shot,22,16,3,1,2.0,2.0,v
S2424-G124,2,07:22,MEM,,BKN,,Z. Williams,BKN,Williams Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,v
S2424-G124,2,06:56,MEM,43.0,BKN,47.0,Z. Williams,BKN,Williams 3PT Jump Shot (8 PTS) (Finney-Smith 1 AST),Made Shot,Jump Shot,230,13,0,1,3.0,3.0,v
S2424-G124,2,05:24,MEM,,BKN,,Z. Williams,BKN,Williams S.FOUL (P2.T2) (B.Nansel),Foul,Shooting,0,0,0,0,,,v
S2424-G124,2,04:07,MEM,,BKN,,Z. Williams,BKN,Williams STEAL (3 STL),,,0,0,0,0,,,v
S2424-G124,2,04:04,MEM,51.0,BKN,51.0,Z. Williams,BKN,Williams 2' Running Dunk (10 PTS),Made Shot,Running Dunk Shot,-2,16,2,1,2.0,2.0,v
S2424-G124,2,03:56,MEM,,BKN,,Z. Williams,BKN,SUB: Wilson FOR Williams,Substitution,,0,0,0,0,,,v
S2424-G124,2,00:08.100000,MEM,,BKN,,Z. Williams,BKN,MISS Williams 2' Running Finger Roll Layup,Missed Shot,Running Finger Roll Layup Shot,-10,13,2,1,2.0,0.0,v
S2424-G124,3,02:54,MEM,,BKN,,Z. Williams,BKN,Williams Out of Bounds Lost Ball Turnover (P2.T13),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2424-G124,3,01:31,MEM,83.0,BKN,87.0,Z. Williams,BKN,Williams 2' Running Finger Roll Layup (12 PTS) (K. Johnson 1 AST),Made Shot,Running Finger Roll Layup Shot,-18,9,2,1,2.0,2.0,v
