game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,12:00,MEM,0.0,BKN,0.0,,,Start of 1st Period (8:12 PM EST),period,start,0,0,0,0,,,
S2424-G124,1,12:00,MEM,,BKN,,B. Simmons,BKN,Simmons Violation:Jump Ball (B.Forte),Violation,Jump Ball,0,0,0,0,,,v
S2424-G124,1,11:52,MEM,,BKN,,J. Jackson Jr.,MEM,MISS Jackson Jr. 4' Driving Layup,Missed Shot,Driving Layup Shot,-43,-6,4,1,2.0,0.0,h
S2424-G124,1,11:50,MEM,,BKN,,J. Morant,MEM,Morant REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,1,11:45,MEM,2.0,BKN,0.0,Z. Edey,MEM,Edey 1' Cutting Dunk Shot (2 PTS) (Morant 1 AST),Made Shot,Cutting Dunk Shot,-2,-7,1,1,2.0,2.0,h
S2424-G124,1,11:30,MEM,,BKN,,D. Schröder,BKN,Schröder Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,v
S2424-G124,1,11:30,MEM,,BKN,,Z. Edey,MEM,Edey STEAL (1 STL),,,0,0,0,0,,,h
S2424-G124,1,11:23,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith S.FOUL (P1.T1) (A.Smith),Foul,Shooting,0,0,0,0,,,v
S2424-G124,1,11:23,MEM,3.0,BKN,0.0,Z. Edey,MEM,Edey Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,1,11:23,MEM,,BKN,,Z. Edey,MEM,MISS Edey Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2424-G124,1,11:17,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,1,11:15,MEM,3.0,BKN,2.0,B. Simmons,BKN,Simmons 3' Running Reverse Layup (2 PTS),Made Shot,Running Reverse Layup Shot,-1,33,3,1,2.0,2.0,v
S2424-G124,1,11:04,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith S.FOUL (P2.T2) (B.Forte),Foul,Shooting,0,0,0,0,,,v
S2424-G124,1,11:04,MEM,,BKN,,J. Jackson Jr.,MEM,MISS Jackson Jr. Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2424-G124,1,11:04,MEM,,BKN,,,,GRIZZLIES Rebound,Rebound,Normal Rebound,0,0,0,0,,,h
S2424-G124,1,11:04,MEM,4.0,BKN,2.0,J. Jackson Jr.,MEM,Jackson Jr. Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,1,10:51,MEM,,BKN,,D. Bane,MEM,Bane P.FOUL (P1.T1) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2424-G124,1,10:51,MEM,,BKN,,D. Finney-Smith,BKN,SUB: Clowney FOR Finney-Smith,Substitution,,0,0,0,0,,,v
S2424-G124,1,10:41,MEM,4.0,BKN,4.0,B. Simmons,BKN,Simmons 7' Turnaround Hook Shot (4 PTS) (C. Johnson 1 AST),Made Shot,Turnaround Hook Shot,-20,69,7,1,2.0,2.0,v
S2424-G124,1,10:30,MEM,,BKN,,J. Morant,MEM,MISS Morant 6' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,12,63,6,1,2.0,0.0,h
S2424-G124,1,10:28,MEM,,BKN,,N. Clowney,BKN,Clowney REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,1,10:17,MEM,,BKN,,C. Thomas,BKN,Thomas OFF.Foul (P1) (B.Nansel),Foul,Offensive,0,0,0,0,,,v
S2424-G124,1,10:17,MEM,,BKN,,C. Thomas,BKN,Thomas Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2424-G124,1,10:17,MEM,,BKN,,,,Jordi Fernandez Foul:T.FOUL (B.Nansel),Foul,Technical,0,0,0,0,,,
S2424-G124,1,10:17,MEM,5.0,BKN,4.0,D. Bane,MEM,Bane Free Throw Technical (1 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,h
S2424-G124,1,10:03,MEM,,BKN,,B. Simmons,BKN,Simmons S.FOUL (P1.T3) (A.Smith),Foul,Shooting,0,0,0,0,,,v
S2424-G124,1,10:03,MEM,6.0,BKN,4.0,J. Jackson Jr.,MEM,Jackson Jr. Free Throw 1 of 2 (2 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,1,10:03,MEM,,BKN,,J. Jackson Jr.,MEM,MISS Jackson Jr. Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2424-G124,1,10:00,MEM,,BKN,,B. Simmons,BKN,Simmons REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,1,09:55,MEM,,BKN,,C. Johnson,BKN,MISS C. Johnson 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,227,95,25,1,3.0,0.0,v
