game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0073,1,12:00,WAS,0.0,BOS,0.0,,,Start of 1st Period (7:15 PM EST),period,start,0,0,0,0,,,
S2425-G0073,1,12:00,WAS,,BOS,,A. Sarr,WAS,Jump Ball Sarr vs. Horford: Tip to White,Jump Ball,,0,0,0,0,,,h
S2425-G0073,1,11:52,WAS,,BOS,,J. Brown,BOS,MISS Brown 10' Floating Jump Shot,Missed Shot,Floating Jump shot,15,103,10,1,2.0,0.0,v
S2425-G0073,1,11:49,WAS,,BOS,,A. Sarr,WAS,Sarr REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,1,11:40,WAS,,BOS,,B. Coulibaly,WAS,Coulibaly Traveling Turnover (P1.T1),Turnover,Traveling,0,0,0,0,,,h
S2425-G0073,1,11:23,WAS,0.0,BOS,3.0,D. White,BOS,White 26' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,-116,235,26,1,3.0,3.0,v
S2425-G0073,1,11:09,WAS,3.0,BOS,3.0,J. Poole,WAS,Poole 27' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,202,178,27,1,3.0,3.0,h
S2425-G0073,1,10:59,WAS,3.0,BOS,5.0,J. Tatum,BOS,Tatum 3' Driving Layup (2 PTS) (White 1 AST),Made Shot,Driving Layup Shot,-34,-7,3,1,2.0,2.0,v
S2425-G0073,1,10:59,WAS,,BOS,,,,Celtics Violation: Delay of game Violation,Violation,Delay Of Game,0,0,0,0,,,v
S2425-G0073,1,10:52,WAS,,BOS,,J. Poole,WAS,MISS Poole 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-105,236,26,1,3.0,0.0,h
S2425-G0073,1,10:49,WAS,,BOS,,,,WIZARDS Rebound,Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,1,10:43,WAS,,BOS,,A. Sarr,WAS,MISS Sarr 26' 3PT Jump Shot,Missed Shot,Jump Shot,129,225,26,1,3.0,0.0,h
S2425-G0073,1,10:40,WAS,,BOS,,J. Tatum,BOS,Tatum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,1,10:30,WAS,,BOS,,A. Horford,BOS,Horford Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0073,1,10:30,WAS,,BOS,,J. Poole,WAS,Poole STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0073,1,10:25,WAS,,BOS,,C. Carrington,WAS,MISS Carrington 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-126,207,24,1,3.0,0.0,h
S2425-G0073,1,10:22,WAS,,BOS,,A. Horford,BOS,Horford REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,1,10:17,WAS,,BOS,,J. Brown,BOS,MISS Brown 3' Driving Layup,Missed Shot,Driving Layup Shot,6,32,3,1,2.0,0.0,v
S2425-G0073,1,10:17,WAS,,BOS,,C. Carrington,WAS,Carrington BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0073,1,10:17,WAS,,BOS,,,,Celtics Rebound,Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,1,10:13,WAS,,BOS,,C. Carrington,WAS,Jump Ball Carrington vs. Brown: Tip to Tatum,Jump Ball,,0,0,0,0,,,h
S2425-G0073,1,10:08,WAS,,BOS,,J. Tatum,BOS,MISS Tatum 15' Step Back Jump Shot,Missed Shot,Step Back Jump shot,81,129,15,1,2.0,0.0,v
S2425-G0073,1,10:04,WAS,,BOS,,A. Sarr,WAS,Sarr REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,1,09:59,WAS,5.0,BOS,5.0,J. Poole,WAS,Poole 2' Running Layup (5 PTS),Made Shot,Running Layup Shot,18,5,2,1,2.0,2.0,h
S2425-G0073,1,09:53,WAS,5.0,BOS,7.0,D. White,BOS,White 3' Driving Floating Bank Jump Shot (5 PTS),Made Shot,Driving Floating Bank Jump Shot,-33,-10,3,1,2.0,2.0,v
S2425-G0073,1,09:39,WAS,,BOS,,K. Kuzma,WAS,MISS Kuzma 12' Floating Jump Shot,Missed Shot,Floating Jump shot,-70,96,12,1,2.0,0.0,h
S2425-G0073,1,09:37,WAS,,BOS,,J. Holiday,BOS,Holiday REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,1,09:32,WAS,,BOS,,J. Holiday,BOS,Holiday Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0073,1,09:32,WAS,,BOS,,J. Poole,WAS,Poole STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0073,1,09:23,WAS,7.0,BOS,7.0,B. Coulibaly,WAS,Coulibaly 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,29,17,3,1,2.0,2.0,h
S2425-G0073,1,09:13,WAS,7.0,BOS,9.0,J. Tatum,BOS,Tatum 17' Fadeaway Jumper (4 PTS),Made Shot,Fadeaway Jump Shot,148,87,17,1,2.0,2.0,v
S2425-G0073,1,08:57,WAS,,BOS,,A. Sarr,WAS,MISS Sarr 26' 3PT Jump Shot,Missed Shot,Jump Shot,-159,207,26,1,3.0,0.0,h
S2425-G0073,1,08:53,WAS,,BOS,,B. Coulibaly,WAS,Coulibaly REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,1,08:47,WAS,,BOS,,C. Carrington,WAS,MISS Carrington 26' 3PT Jump Shot,Missed Shot,Jump Shot,205,157,26,1,3.0,0.0,h
S2425-G0073,1,08:44,WAS,,BOS,,A. Horford,BOS,Horford REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,1,08:37,WAS,7.0,BOS,12.0,J. Brown,BOS,Brown 26' 3PT Jump Shot (3 PTS) (Horford 1 AST),Made Shot,Jump Shot,-11,263,26,1,3.0,3.0,v
S2425-G0073,1,08:19,WAS,10.0,BOS,12.0,J. Poole,WAS,Poole 25' 3PT Jump Shot (8 PTS) (Coulibaly 1 AST),Made Shot,Jump Shot,178,181,25,1,3.0,3.0,h
S2425-G0073,1,08:05,WAS,,BOS,,K. Kuzma,WAS,Kuzma Violation:Kicked Ball (J.Capers),Violation,Kicked Ball,0,0,0,0,,,h
S2425-G0073,1,08:00,WAS,,BOS,,C. Carrington,WAS,Carrington P.FOUL (P1.T1) (J.Reneau),Foul,Personal,0,0,0,0,,,h
S2425-G0073,1,07:50,WAS,,BOS,,J. Holiday,BOS,MISS Holiday 5' Layup,Missed Shot,Layup Shot,37,26,5,1,2.0,0.0,v
S2425-G0073,1,07:50,WAS,,BOS,,A. Sarr,WAS,Sarr BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0073,1,07:47,WAS,,BOS,,B. Coulibaly,WAS,Coulibaly REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,1,07:33,WAS,,BOS,,K. Kuzma,WAS,MISS Kuzma 8' Driving Layup,Missed Shot,Driving Layup Shot,-59,48,8,1,2.0,0.0,h
S2425-G0073,1,07:28,WAS,,BOS,,A. Sarr,WAS,Sarr REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,1,07:28,WAS,12.0,BOS,12.0,A. Sarr,WAS,Sarr Putback Dunk (2 PTS),Made Shot,Putback Dunk Shot,0,0,0,1,2.0,2.0,h
S2425-G0073,1,07:15,WAS,,BOS,,J. Brown,BOS,MISS Brown 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,143,226,27,1,3.0,0.0,v
S2425-G0073,1,07:13,WAS,,BOS,,K. Kuzma,WAS,Kuzma REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0073,1,07:09,WAS,15.0,BOS,12.0,J. Poole,WAS,Poole 26' 3PT Step Back Jump Shot (11 PTS) (Kuzma 1 AST),Made Shot,Step Back Jump shot,110,235,26,1,3.0,3.0,h
S2425-G0073,1,07:06,WAS,,BOS,,,,Celtics Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,0,0,,,v
