game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,12:00,ATL,0.0,CHA,0.0,,,Start of 1st Period (7:42 PM EST),period,start,0,0,0,0,,,
S2425-G0079,1,12:00,ATL,,CHA,,C. Capela,ATL,Jump Ball Capela vs. Richards: Tip to Ball,Jump Ball,,0,0,0,0,,,h
S2425-G0079,1,11:44,ATL,,CHA,,L. Ball,CHA,MISS Ball 27' 3PT Jump Shot,Missed Shot,Jump Shot,-131,232,27,1,3.0,0.0,v
S2425-G0079,1,11:40,ATL,,CHA,,T. Young,ATL,Young REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,11:33,ATL,3.0,CHA,0.0,T. Young,ATL,Young 25' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,21,252,25,1,3.0,3.0,h
S2425-G0079,1,11:27,ATL,,CHA,,D. Daniels,ATL,Daniels P.FOUL (P1.T1) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2425-G0079,1,11:13,ATL,,CHA,,S. Curry,CHA,MISS Curry 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-109,14,11,1,2.0,0.0,v
S2425-G0079,1,11:10,ATL,,CHA,,C. Capela,ATL,Capela REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,11:03,ATL,,CHA,,S. Curry,CHA,Curry S.FOUL (P1.T1) (B.Forte),Foul,Shooting,0,0,0,0,,,v
S2425-G0079,1,11:03,ATL,4.0,CHA,0.0,C. Capela,ATL,Capela Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,1,11:03,ATL,5.0,CHA,0.0,C. Capela,ATL,Capela Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,1,10:51,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 12' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,33,117,12,1,2.0,0.0,v
S2425-G0079,1,10:48,ATL,,CHA,,C. Capela,ATL,Capela REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,10:43,ATL,7.0,CHA,0.0,T. Young,ATL,Young 10' Driving Floating Jump Shot (5 PTS),Made Shot,Driving Floating Jump Shot,9,104,10,1,2.0,2.0,h
S2425-G0079,1,10:20,ATL,7.0,CHA,3.0,M. Bridges,CHA,Bridges 26' 3PT Jump Shot (3 PTS) (Ball 1 AST),Made Shot,Jump Shot,-164,197,26,1,3.0,3.0,v
S2425-G0079,1,10:05,ATL,,CHA,,L. Ball,CHA,Ball S.FOUL (P1.T2) (Z.Zarba),Foul,Shooting,0,0,0,0,,,v
S2425-G0079,1,10:05,ATL,,CHA,,T. Young,ATL,MISS Young Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0079,1,10:05,ATL,,CHA,,,,HAWKS Rebound,Rebound,Normal Rebound,0,0,0,0,,,h
S2425-G0079,1,10:05,ATL,8.0,CHA,3.0,T. Young,ATL,Young Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,1,10:03,ATL,,CHA,,S. Curry,CHA,Curry Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0079,1,10:03,ATL,,CHA,,D. Daniels,ATL,Daniels STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0079,1,09:59,ATL,,CHA,,T. Young,ATL,MISS Young 25' 3PT Jump Shot,Missed Shot,Jump Shot,-2,248,25,1,3.0,0.0,h
S2425-G0079,1,09:57,ATL,,CHA,,S. Curry,CHA,Curry REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,09:46,ATL,,CHA,,,,Hornets Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,0,0,,,v
S2425-G0079,1,09:43,ATL,8.0,CHA,6.0,S. Curry,CHA,Curry 26' 3PT Jump Shot (3 PTS) (Martin 1 AST),Made Shot,Jump Shot,61,253,26,1,3.0,3.0,v
S2425-G0079,1,09:32,ATL,,CHA,,L. Ball,CHA,Ball P.FOUL (P2.T3) (B.Forte),Foul,Personal,0,0,0,0,,,v
S2425-G0079,1,09:27,ATL,10.0,CHA,6.0,D. Hunter,ATL,Hunter 13' Pullup Jump Shot (2 PTS) (Capela 1 AST),Made Shot,Pullup Jump shot,-43,123,13,1,2.0,2.0,h
S2425-G0079,1,09:09,ATL,,CHA,,S. Curry,CHA,MISS Curry 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-20,73,8,1,2.0,0.0,v
S2425-G0079,1,09:05,ATL,,CHA,,L. Ball,CHA,Ball REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,09:00,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 24' 3PT Jump Shot,Missed Shot,Jump Shot,-233,35,24,1,3.0,0.0,v
S2425-G0079,1,08:57,ATL,,CHA,,S. Curry,CHA,Curry REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,08:51,ATL,,CHA,,L. Ball,CHA,Ball Traveling Turnover (P1.T2),Turnover,Traveling,0,0,0,0,,,v
S2425-G0079,1,08:39,ATL,13.0,CHA,6.0,D. Hunter,ATL,Hunter 24' 3PT Jump Shot (5 PTS) (Young 1 AST),Made Shot,Jump Shot,-206,132,24,1,3.0,3.0,h
S2425-G0079,1,08:30,ATL,,CHA,,C. Martin,CHA,MISS Martin 23' Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,107,204,23,1,2.0,0.0,v
S2425-G0079,1,08:27,ATL,,CHA,,C. Capela,ATL,Capela REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,08:22,ATL,15.0,CHA,6.0,D. Daniels,ATL,Daniels 1' Running Layup (2 PTS),Made Shot,Running Layup Shot,-9,7,1,1,2.0,2.0,h
S2425-G0079,1,08:09,ATL,,CHA,,S. Curry,CHA,MISS Curry 3PT Jump Shot,Missed Shot,Jump Shot,-232,20,0,1,3.0,0.0,v
S2425-G0079,1,08:06,ATL,,CHA,,S. Curry,CHA,Curry REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,08:05,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 26' 3PT Jump Shot,Missed Shot,Jump Shot,136,216,26,1,3.0,0.0,v
S2425-G0079,1,08:01,ATL,,CHA,,D. Hunter,ATL,Hunter REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,07:56,ATL,,CHA,,J. Johnson,ATL,MISS Johnson 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,49,95,11,1,2.0,0.0,h
S2425-G0079,1,07:52,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,07:39,ATL,15.0,CHA,9.0,M. Bridges,CHA,Bridges 26' 3PT Jump Shot (6 PTS) (Richards 1 AST),Made Shot,Jump Shot,87,241,26,1,3.0,3.0,v
S2425-G0079,1,07:25,ATL,,CHA,,J. Johnson,ATL,Johnson Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0079,1,07:25,ATL,,CHA,,S. Curry,CHA,Curry STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0079,1,07:21,ATL,,CHA,,S. Curry,CHA,MISS Curry 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,132,224,26,1,3.0,0.0,v
S2425-G0079,1,07:17,ATL,,CHA,,J. Johnson,ATL,Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,07:13,ATL,18.0,CHA,9.0,T. Young,ATL,Young 25' 3PT Running Pull-Up Jump Shot (9 PTS) (Johnson 1 AST),Made Shot,Running Pull-Up Jump Shot,-145,205,25,1,3.0,3.0,h
S2425-G0079,1,06:56,ATL,,CHA,,L. Ball,CHA,Ball Bad Pass Turnover (P2.T3),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0079,1,06:56,ATL,,CHA,,C. Capela,ATL,Capela STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0079,1,06:49,ATL,,CHA,,D. Hunter,ATL,MISS Hunter 4' Driving Layup,Missed Shot,Driving Layup Shot,-36,22,4,1,2.0,0.0,h
S2425-G0079,1,06:46,ATL,,CHA,,C. Martin,CHA,Martin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,06:42,ATL,,CHA,,L. Ball,CHA,Ball Bad Pass Turnover (P3.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0079,1,06:42,ATL,,CHA,,T. Young,ATL,Young STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0079,1,06:38,ATL,,CHA,,D. Hunter,ATL,MISS Hunter 3PT Running Jump Shot,Missed Shot,Running Jump Shot,228,6,0,1,3.0,0.0,h
S2425-G0079,1,06:35,ATL,,CHA,,S. Curry,CHA,Curry REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,06:25,ATL,18.0,CHA,12.0,S. Curry,CHA,Curry 26' 3PT Step Back Jump Shot (6 PTS) (Ball 2 AST),Made Shot,Step Back Jump shot,44,257,26,1,3.0,3.0,v
S2425-G0079,1,06:05,ATL,,CHA,,T. Young,ATL,Young Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0079,1,06:05,ATL,,CHA,,C. Capela,ATL,SUB: Okongwu FOR Capela,Substitution,,0,0,0,0,,,h
S2425-G0079,1,06:05,ATL,,CHA,,J. Johnson,ATL,SUB: Mathews FOR Johnson,Substitution,,0,0,0,0,,,h
S2425-G0079,1,06:05,ATL,,CHA,,C. Martin,CHA,SUB: Diabaté FOR Martin,Substitution,,0,0,0,0,,,v
S2425-G0079,1,06:05,ATL,,CHA,,N. Richards,CHA,SUB: Green FOR Richards,Substitution,,0,0,0,0,,,v
S2425-G0079,1,06:05,ATL,,CHA,,L. Ball,CHA,SUB: Micić FOR Ball,Substitution,,0,0,0,0,,,v
S2425-G0079,1,05:51,ATL,,CHA,,M. Bridges,CHA,MISS Bridges 4' Driving Layup,Missed Shot,Driving Layup Shot,6,36,4,1,2.0,0.0,v
S2425-G0079,1,05:51,ATL,,CHA,,D. Daniels,ATL,Daniels BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0079,1,05:50,ATL,,CHA,,,,Hornets Rebound,Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,05:50,ATL,,CHA,,D. Daniels,ATL,SUB: Krejčí FOR Daniels,Substitution,,0,0,0,0,,,h
S2425-G0079,1,05:50,ATL,,CHA,,S. Curry,CHA,SUB: Mann FOR Curry,Substitution,,0,0,0,0,,,v
S2425-G0079,1,05:40,ATL,,CHA,,T. Mann,CHA,Mann Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0079,1,05:40,ATL,,CHA,,T. Young,ATL,Young STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0079,1,05:31,ATL,,CHA,,T. Young,ATL,Young Bad Pass Turnover (P2.T3),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0079,1,05:31,ATL,,CHA,,J. Green,CHA,Green STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0079,1,05:25,ATL,,CHA,,T. Mann,CHA,MISS Mann 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,225,25,0,1,3.0,0.0,v
S2425-G0079,1,05:21,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,05:15,ATL,21.0,CHA,12.0,G. Mathews,ATL,Mathews 24' 3PT Jump Shot (3 PTS) (Young 2 AST),Made Shot,Jump Shot,202,134,24,1,3.0,3.0,h
S2425-G0079,1,05:07,ATL,,CHA,,T. Mann,CHA,Mann OFF.Foul (P1) (M.Dagher),Foul,Offensive,0,0,0,0,,,v
S2425-G0079,1,05:07,ATL,,CHA,,T. Mann,CHA,Mann Offensive Foul Turnover (P2.T6),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0079,1,05:07,ATL,,CHA,,M. Bridges,CHA,SUB: Williams FOR Bridges,Substitution,,0,0,0,0,,,v
S2425-G0079,1,04:49,ATL,,CHA,,V. Krejčí,ATL,MISS Krejčí 25' 3PT Jump Shot,Missed Shot,Jump Shot,-235,71,25,1,3.0,0.0,h
S2425-G0079,1,04:42,ATL,,CHA,,D. Hunter,ATL,Hunter REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,04:42,ATL,23.0,CHA,12.0,D. Hunter,ATL,Hunter Putback Layup (7 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0079,1,04:27,ATL,,CHA,,V. Krejčí,ATL,Krejčí P.FOUL (P1.T2) (Z.Zarba),Foul,Personal,0,0,0,0,,,h
S2425-G0079,1,04:22,ATL,,CHA,,D. Hunter,ATL,Hunter P.FOUL (P1.T3) (M.Dagher),Foul,Personal,0,0,0,0,,,h
S2425-G0079,1,04:12,ATL,,CHA,,T. Mann,CHA,MISS Mann 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-116,157,20,1,2.0,0.0,v
S2425-G0079,1,04:09,ATL,,CHA,,D. Hunter,ATL,Hunter REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,04:06,ATL,,CHA,,T. Young,ATL,MISS Young 29' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,146,249,29,1,3.0,0.0,h
S2425-G0079,1,04:04,ATL,,CHA,,,,Hornets Rebound,Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,03:50,ATL,,CHA,,J. Green,CHA,MISS Green 13' Step Back Jump Shot,Missed Shot,Step Back Jump shot,47,122,13,1,2.0,0.0,v
S2425-G0079,1,03:46,ATL,,CHA,,D. Hunter,ATL,Hunter REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,03:45,ATL,,CHA,,T. Young,ATL,Young Out of Bounds - Bad Pass Turnover Turnover (P3.T4),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0079,1,03:45,ATL,,CHA,,D. Hunter,ATL,SUB: Risacher FOR Hunter,Substitution,,0,0,0,0,,,h
S2425-G0079,1,03:33,ATL,23.0,CHA,14.0,T. Mann,CHA,Mann 6' Driving Floating Jump Shot (2 PTS) (Green 1 AST),Made Shot,Driving Floating Jump Shot,28,56,6,1,2.0,2.0,v
S2425-G0079,1,03:18,ATL,,CHA,,M. Diabate,CHA,Diabaté S.FOUL (P1.T4) (M.Dagher),Foul,Shooting,0,0,0,0,,,v
S2425-G0079,1,03:18,ATL,24.0,CHA,14.0,Z. Risacher,ATL,Risacher Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,1,03:18,ATL,25.0,CHA,14.0,Z. Risacher,ATL,Risacher Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,1,02:56,ATL,,CHA,,G. Williams,CHA,MISS Williams 3PT Jump Shot,Missed Shot,Jump Shot,227,37,0,1,3.0,0.0,v
S2425-G0079,1,02:52,ATL,,CHA,,G. Mathews,ATL,Mathews REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,02:43,ATL,,CHA,,O. Okongwu,ATL,MISS Okongwu 1' Layup,Missed Shot,Layup Shot,2,8,1,1,2.0,0.0,h
S2425-G0079,1,02:43,ATL,,CHA,,J. Green,CHA,Green BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0079,1,02:42,ATL,,CHA,,,,HAWKS Rebound,Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,02:42,ATL,,CHA,,,,HAWKS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,0,0,,,h
S2425-G0079,1,02:42,ATL,,CHA,,T. Young,ATL,SUB: Johnson FOR Young,Substitution,,0,0,0,0,,,h
S2425-G0079,1,02:42,ATL,,CHA,,,,HAWKS Turnover: 5 Second Violation (T#5),Turnover,5 Second Violation,0,0,0,0,,,h
S2425-G0079,1,02:28,ATL,,CHA,,T. Mann,CHA,MISS Mann 3' Driving Layup,Missed Shot,Driving Layup Shot,17,20,3,1,2.0,0.0,v
S2425-G0079,1,02:28,ATL,,CHA,,V. Krejčí,ATL,Krejčí BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0079,1,02:24,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,02:22,ATL,,CHA,,Z. Risacher,ATL,MISS Risacher 3' Running Layup,Missed Shot,Running Layup Shot,-15,21,3,1,2.0,0.0,h
S2425-G0079,1,02:19,ATL,,CHA,,M. Diabate,CHA,Diabaté REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,02:06,ATL,,CHA,,T. Mann,CHA,MISS Mann 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,194,167,26,1,3.0,0.0,v
S2425-G0079,1,02:02,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,01:57,ATL,,CHA,,O. Okongwu,ATL,MISS Okongwu 8' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-21,73,8,1,2.0,0.0,h
S2425-G0079,1,01:54,ATL,,CHA,,M. Diabate,CHA,Diabaté REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,01:45,ATL,25.0,CHA,16.0,V. Micić,CHA,Micić 12' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,10,119,12,1,2.0,2.0,v
S2425-G0079,1,01:30,ATL,28.0,CHA,16.0,G. Mathews,ATL,Mathews 3PT Jump Shot (6 PTS) (Okongwu 1 AST),Made Shot,Jump Shot,224,-20,0,1,3.0,3.0,h
S2425-G0079,1,01:10,ATL,,CHA,,V. Micić,CHA,Micić Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0079,1,01:10,ATL,,CHA,,V. Krejčí,ATL,Krejčí STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0079,1,01:04,ATL,,CHA,,J. Johnson,ATL,MISS Johnson 2' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-15,13,2,1,2.0,0.0,h
S2425-G0079,1,01:01,ATL,,CHA,,M. Diabate,CHA,Diabaté REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,00:55.400000,ATL,,CHA,,V. Micić,CHA,MISS Micić 5' Driving Layup,Missed Shot,Driving Layup Shot,9,51,5,1,2.0,0.0,v
S2425-G0079,1,00:52.600000,ATL,,CHA,,V. Micić,CHA,Micić REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,00:42.100000,ATL,,CHA,,M. Diabate,CHA,MISS Diabaté 4' Floating Jump Shot,Missed Shot,Floating Jump shot,1,36,4,1,2.0,0.0,v
S2425-G0079,1,00:39,ATL,,CHA,,J. Johnson,ATL,Johnson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,00:35.600000,ATL,,CHA,,Z. Risacher,ATL,MISS Risacher 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,203,133,24,1,3.0,0.0,h
S2425-G0079,1,00:32.600000,ATL,,CHA,,V. Micić,CHA,Micić REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,00:10,ATL,,CHA,,T. Mann,CHA,MISS Mann 17' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,104,131,17,1,2.0,0.0,v
S2425-G0079,1,00:06.800000,ATL,,CHA,,M. Diabate,CHA,Diabaté REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,00:06.800000,ATL,,CHA,,G. Mathews,ATL,Mathews S.FOUL (P1.T4) (M.Dagher),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,1,00:06.800000,ATL,,CHA,,M. Diabate,CHA,MISS Diabaté Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0079,1,00:06.800000,ATL,,CHA,,,,Hornets Rebound,Rebound,Normal Rebound,0,0,0,0,,,v
S2425-G0079,1,00:06.800000,ATL,,CHA,,V. Krejčí,ATL,SUB: Young FOR Krejčí,Substitution,,0,0,0,0,,,h
S2425-G0079,1,00:06.800000,ATL,,CHA,,V. Micić,CHA,SUB: Martin FOR Micić,Substitution,,0,0,0,0,,,v
S2425-G0079,1,00:06.800000,ATL,,CHA,,M. Diabate,CHA,MISS Diabaté Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0079,1,00:04.900000,ATL,,CHA,,O. Okongwu,ATL,Okongwu REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,00:00.400000,ATL,,CHA,,G. Mathews,ATL,MISS Mathews 3PT Jump Bank Shot,Missed Shot,Jump Bank Shot,225,8,0,1,3.0,0.0,h
S2425-G0079,1,00:00.200000,ATL,,CHA,,,,HAWKS Rebound,Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,1,00:00,ATL,28.0,CHA,16.0,,,End of 1st Period (8:07 PM EST),period,end,0,0,0,0,,,
S2425-G0079,2,12:00,ATL,28.0,CHA,16.0,,,Start of 2nd Period (8:10 PM EST),period,start,0,0,0,0,,,
S2425-G0079,2,11:42,ATL,30.0,CHA,16.0,D. Daniels,ATL,Daniels 11' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,-12,106,11,1,2.0,2.0,h
S2425-G0079,2,11:23,ATL,30.0,CHA,19.0,L. Ball,CHA,Ball 26' 3PT Jump Shot (3 PTS) (Williams 1 AST),Made Shot,Jump Shot,58,257,26,1,3.0,3.0,v
S2425-G0079,2,11:09,ATL,32.0,CHA,19.0,J. Johnson,ATL,Johnson 2' Driving Layup (2 PTS) (Risacher 1 AST),Made Shot,Driving Layup Shot,-17,4,2,1,2.0,2.0,h
S2425-G0079,2,10:53,ATL,,CHA,,C. Martin,CHA,MISS Martin 24' 3PT Jump Shot,Missed Shot,Jump Shot,-230,56,24,1,3.0,0.0,v
S2425-G0079,2,10:52,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:52,ATL,,CHA,,V. Krejčí,ATL,Krejčí S.FOUL (P2.T1) (Z.Zarba),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,2,10:52,ATL,32.0,CHA,20.0,N. Richards,CHA,Richards Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,10:52,ATL,32.0,CHA,21.0,N. Richards,CHA,Richards Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,10:39,ATL,,CHA,,D. Daniels,ATL,MISS Daniels 25' 3PT Jump Shot,Missed Shot,Jump Shot,-181,167,25,1,3.0,0.0,h
S2425-G0079,2,10:37,ATL,,CHA,,L. Ball,CHA,Ball REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:29,ATL,,CHA,,L. Ball,CHA,MISS Ball 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-116,229,26,1,3.0,0.0,v
S2425-G0079,2,10:24,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:24,ATL,,CHA,,N. Richards,CHA,MISS Richards 5' Tip Layup Shot,Missed Shot,Tip Layup Shot,34,42,5,1,2.0,0.0,v
S2425-G0079,2,10:23,ATL,,CHA,,G. Williams,CHA,Williams REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:23,ATL,,CHA,,T. Mann,CHA,MISS Mann 26' 3PT Jump Shot,Missed Shot,Jump Shot,99,237,26,1,3.0,0.0,v
S2425-G0079,2,10:19,ATL,,CHA,,C. Martin,CHA,Martin REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:17,ATL,,CHA,,T. Mann,CHA,MISS Mann 1' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-9,11,1,1,2.0,0.0,v
S2425-G0079,2,10:16,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:16,ATL,,CHA,,D. Daniels,ATL,Daniels S.FOUL (P2.T2) (M.Dagher),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,2,10:16,ATL,,CHA,,N. Richards,CHA,MISS Richards Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0079,2,10:16,ATL,,CHA,,,,Hornets Rebound,Rebound,Normal Rebound,0,0,0,0,,,v
S2425-G0079,2,10:16,ATL,,CHA,,G. Williams,CHA,SUB: Bridges FOR Williams,Substitution,,0,0,0,0,,,v
S2425-G0079,2,10:16,ATL,32.0,CHA,22.0,N. Richards,CHA,Richards Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,09:57,ATL,34.0,CHA,22.0,V. Krejčí,ATL,Krejčí 6' Driving Floating Bank Jump Shot (2 PTS) (Daniels 1 AST),Made Shot,Driving Floating Bank Jump Shot,-53,31,6,1,2.0,2.0,h
