game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0080,1,12:00,CLE,0.0,DET,0.0,,,Start of 1st Period (7:44 PM EST),period,start,0,0,0,0,,,
S2425-G0080,1,12:00,CLE,,DET,,J. Allen,CLE,Jump Ball Allen vs. Duren: Tip to Mobley,Jump Ball,,0,0,0,0,,,h
S2425-G0080,1,11:39,CLE,,DET,,E. Mobley,CLE,MISS Mobley 7' Layup,Missed Shot,Layup Shot,32,63,7,1,2.0,0.0,h
S2425-G0080,1,11:39,CLE,,DET,,T. Harris,DET,Harris BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0080,1,11:34,CLE,,DET,,J. Duren,DET,Duren REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,11:32,CLE,0.0,DET,2.0,C. Cunningham,DET,Cunningham 18' Running Jump Shot (2 PTS),Made Shot,Running Jump Shot,165,73,18,1,2.0,2.0,v
S2425-G0080,1,11:15,CLE,3.0,DET,2.0,D. Garland,CLE,Garland 3PT Jump Shot (3 PTS) (Mitchell 1 AST),Made Shot,Jump Shot,-234,-10,0,1,3.0,3.0,h
S2425-G0080,1,10:57,CLE,,DET,,D. Wade,CLE,Wade P.FOUL (P1.T1) (E.Malloy),Foul,Personal,0,0,0,0,,,h
S2425-G0080,1,10:46,CLE,3.0,DET,4.0,C. Cunningham,DET,Cunningham 12' Fadeaway Jumper (4 PTS),Made Shot,Fadeaway Jump Shot,-45,106,12,1,2.0,2.0,v
S2425-G0080,1,10:31,CLE,,DET,,D. Garland,CLE,MISS Garland 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,100,244,26,1,3.0,0.0,h
S2425-G0080,1,10:28,CLE,,DET,,J. Duren,DET,Duren REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,10:18,CLE,,DET,,C. Cunningham,DET,Cunningham Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0080,1,10:07,CLE,6.0,DET,4.0,D. Wade,CLE,Wade 26' 3PT Jump Shot (3 PTS) (Garland 1 AST),Made Shot,Jump Shot,152,207,26,1,3.0,3.0,h
S2425-G0080,1,09:53,CLE,6.0,DET,7.0,C. Cunningham,DET,Cunningham 25' 3PT Jump Shot (7 PTS) (Harris 1 AST),Made Shot,Jump Shot,-56,245,25,1,3.0,3.0,v
S2425-G0080,1,09:41,CLE,,DET,,D. Garland,CLE,Garland Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0080,1,09:25,CLE,6.0,DET,9.0,J. Duren,DET,Duren 1' Cutting Layup Shot (2 PTS) (Hardaway Jr. 1 AST),Made Shot,Cutting Layup Shot,1,11,1,1,2.0,2.0,v
S2425-G0080,1,09:14,CLE,9.0,DET,9.0,D. Garland,CLE,Garland 3PT Jump Shot (6 PTS) (Mitchell 2 AST),Made Shot,Jump Shot,225,12,0,1,3.0,3.0,h
S2425-G0080,1,09:00,CLE,,DET,,C. Cunningham,DET,MISS Cunningham 2' Driving Layup,Missed Shot,Driving Layup Shot,-15,5,2,1,2.0,0.0,v
S2425-G0080,1,08:57,CLE,,DET,,J. Duren,DET,Duren REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,08:57,CLE,,DET,,J. Duren,DET,MISS Duren Putback Layup,Missed Shot,Putback Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0080,1,08:57,CLE,,DET,,E. Mobley,CLE,Mobley BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0080,1,08:57,CLE,,DET,,,,Pistons Rebound,Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,08:50,CLE,,DET,,C. Cunningham,DET,Cunningham Bad Pass Turnover (P2.T2),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0080,1,08:50,CLE,,DET,,J. Allen,CLE,Allen STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0080,1,08:39,CLE,12.0,DET,9.0,D. Garland,CLE,Garland 24' 3PT Jump Shot (9 PTS) (Mitchell 3 AST),Made Shot,Jump Shot,-235,-6,24,1,3.0,3.0,h
S2425-G0080,1,08:22,CLE,,DET,,T. Harris,DET,MISS Harris 8' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-74,41,8,1,2.0,0.0,v
S2425-G0080,1,08:19,CLE,,DET,,D. Wade,CLE,Wade REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0080,1,08:13,CLE,,DET,,D. Mitchell,CLE,Mitchell Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0080,1,07:55,CLE,12.0,DET,12.0,J. Ivey,DET,Ivey 27' 3PT Jump Shot (3 PTS) (Cunningham 1 AST),Made Shot,Jump Shot,76,264,27,1,3.0,3.0,v
S2425-G0080,1,07:42,CLE,,DET,,D. Mitchell,CLE,MISS Mitchell 21' Jump Shot,Missed Shot,Jump Shot,-206,17,21,1,2.0,0.0,h
S2425-G0080,1,07:39,CLE,,DET,,J. Ivey,DET,Ivey REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,07:37,CLE,12.0,DET,15.0,T. Hardaway Jr.,DET,Hardaway Jr. 24' 3PT Running Jump Shot (3 PTS) (Ivey 1 AST),Made Shot,Running Jump Shot,225,93,24,1,3.0,3.0,v
S2425-G0080,1,07:37,CLE,,DET,,,,CAVALIERS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,0,0,,,h
S2425-G0080,1,07:20,CLE,,DET,,D. Wade,CLE,MISS Wade 24' 3PT Jump Shot,Missed Shot,Jump Shot,-235,7,24,1,3.0,0.0,h
S2425-G0080,1,07:17,CLE,,DET,,J. Ivey,DET,Ivey REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,07:13,CLE,,DET,,J. Ivey,DET,Ivey Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,v
