game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0066,1,12:00,PHI,0.0,MIL,0.0,,,Start of 1st Period (7:45 PM EST),period,start,0,0,0,0,,,
S2425-G0066,1,12:00,PHI,,MIL,,A. Drummond,PHI,Jump Ball Drummond vs. Lopez: Tip to Maxey,Jump Ball,,0,0,0,0,,,h
S2425-G0066,1,11:33,PHI,,MIL,,K. Oubre Jr.,PHI,MISS Oubre Jr. 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,40,4,4,1,2.0,0.0,h
S2425-G0066,1,11:30,PHI,,MIL,,B. Lopez,MIL,Lopez REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,11:26,PHI,,MIL,,K. Oubre Jr.,PHI,Oubre Jr. S.FOUL (P1.T1) (S.Foster),Foul,Shooting,0,0,0,0,,,h
S2425-G0066,1,11:26,PHI,0.0,MIL,1.0,G. Antetokounmpo,MIL,Antetokounmpo Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0066,1,11:26,PHI,0.0,MIL,2.0,G. Antetokounmpo,MIL,Antetokounmpo Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0066,1,11:04,PHI,3.0,MIL,2.0,T. Maxey,PHI,Maxey 26' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,-39,256,26,1,3.0,3.0,h
S2425-G0066,1,10:46,PHI,,MIL,,D. Lillard,MIL,MISS Lillard 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,274,27,1,3.0,0.0,v
S2425-G0066,1,10:44,PHI,,MIL,,A. Drummond,PHI,Drummond REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0066,1,10:39,PHI,,MIL,,T. Maxey,PHI,MISS Maxey 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-169,193,26,1,3.0,0.0,h
S2425-G0066,1,10:36,PHI,,MIL,,D. Lillard,MIL,Lillard REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,10:32,PHI,,MIL,,K. Martin,PHI,K. Martin P.FOUL (P1.T2) (M.Kogut),Foul,Personal,0,0,0,0,,,h
S2425-G0066,1,10:22,PHI,,MIL,,B. Lopez,MIL,MISS Lopez 7' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,-1,71,7,1,2.0,0.0,v
S2425-G0066,1,10:20,PHI,,MIL,,T. Maxey,PHI,Maxey REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0066,1,10:14,PHI,,MIL,,T. Maxey,PHI,MISS Maxey 4' Running Layup,Missed Shot,Running Layup Shot,28,24,4,1,2.0,0.0,h
S2425-G0066,1,10:12,PHI,,MIL,,A. Drummond,PHI,Drummond REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0066,1,10:07,PHI,,MIL,,E. Gordon,PHI,MISS Gordon 26' 3PT Jump Shot,Missed Shot,Jump Shot,70,251,26,1,3.0,0.0,h
S2425-G0066,1,10:04,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,09:48,PHI,,MIL,,G. Trent Jr.,MIL,MISS Trent Jr. 27' 3PT Jump Shot,Missed Shot,Jump Shot,10,269,27,1,3.0,0.0,v
S2425-G0066,1,09:44,PHI,,MIL,,A. Drummond,PHI,Drummond REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0066,1,09:38,PHI,,MIL,,T. Prince,MIL,Prince Violation:Kicked Ball (S.Foster),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0066,1,09:23,PHI,,MIL,,T. Maxey,PHI,MISS Maxey 1' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,9,-10,1,1,2.0,0.0,h
S2425-G0066,1,09:21,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,09:13,PHI,3.0,MIL,4.0,G. Antetokounmpo,MIL,Antetokounmpo 1' Cutting Dunk Shot (4 PTS) (Prince 1 AST),Made Shot,Cutting Dunk Shot,4,4,1,1,2.0,2.0,v
S2425-G0066,1,09:06,PHI,,MIL,,G. Trent Jr.,MIL,Trent Jr. P.FOUL (P1.T1) (B.Forte),Foul,Personal,0,0,0,0,,,v
S2425-G0066,1,08:52,PHI,,MIL,,K. Oubre Jr.,PHI,MISS Oubre Jr. 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,20,24,3,1,2.0,0.0,h
S2425-G0066,1,08:52,PHI,,MIL,,B. Lopez,MIL,Lopez BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0066,1,08:49,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,08:47,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo Out of Bounds Lost Ball Turnover (P1.T1),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2425-G0066,1,08:37,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo S.FOUL (P1.T2) (M.Kogut),Foul,Shooting,0,0,0,0,,,v
S2425-G0066,1,08:37,PHI,,MIL,,K. Martin,PHI,MISS K. Martin Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0066,1,08:37,PHI,,MIL,,,,76ERS Rebound,Rebound,Normal Rebound,0,0,0,0,,,h
S2425-G0066,1,08:37,PHI,4.0,MIL,4.0,K. Martin,PHI,K. Martin Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0066,1,08:27,PHI,,MIL,,G. Antetokounmpo,MIL,MISS Antetokounmpo 2' Cutting Finger Roll Layup Shot,Missed Shot,Cutting Finger Roll Layup Shot,7,17,2,1,2.0,0.0,v
S2425-G0066,1,08:25,PHI,,MIL,,K. Martin,PHI,K. Martin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0066,1,08:18,PHI,,MIL,,K. Martin,PHI,MISS K. Martin 2' Driving Hook Shot,Missed Shot,Driving Hook Shot,-1,24,2,1,2.0,0.0,h
S2425-G0066,1,08:16,PHI,,MIL,,A. Drummond,PHI,Drummond REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0066,1,08:12,PHI,6.0,MIL,4.0,A. Drummond,PHI,Drummond Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0066,1,08:02,PHI,,MIL,,D. Lillard,MIL,MISS Lillard 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,227,106,25,1,3.0,0.0,v
S2425-G0066,1,08:00,PHI,,MIL,,A. Drummond,PHI,Drummond REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0066,1,07:53,PHI,,MIL,,T. Maxey,PHI,MISS Maxey 2' Driving Layup,Missed Shot,Driving Layup Shot,6,16,2,1,2.0,0.0,h
S2425-G0066,1,07:52,PHI,,MIL,,K. Martin,PHI,K. Martin REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0066,1,07:51,PHI,8.0,MIL,4.0,K. Martin,PHI,K. Martin Tip Layup Shot (3 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0066,1,07:39,PHI,,MIL,,K. Martin,PHI,K. Martin P.FOUL (P2.T3) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2425-G0066,1,07:39,PHI,,MIL,,K. Martin,PHI,SUB: C. Martin FOR K. Martin,Substitution,,0,0,0,0,,,h
S2425-G0066,1,07:31,PHI,,MIL,,B. Lopez,MIL,MISS Lopez 27' 3PT Jump Shot,Missed Shot,Jump Shot,178,204,27,1,3.0,0.0,v
S2425-G0066,1,07:27,PHI,,MIL,,T. Maxey,PHI,Maxey REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0066,1,07:20,PHI,,MIL,,E. Gordon,PHI,MISS Gordon 2' Driving Layup,Missed Shot,Driving Layup Shot,18,-10,2,1,2.0,0.0,h
S2425-G0066,1,07:20,PHI,,MIL,,B. Lopez,MIL,Lopez BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0066,1,07:17,PHI,,MIL,,G. Antetokounmpo,MIL,Antetokounmpo REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0066,1,07:16,PHI,,MIL,,A. Drummond,PHI,Drummond S.FOUL (P1.T4) (S.Foster),Foul,Shooting,0,0,0,0,,,h
