game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,1,12:00,NYK,0.0,IND,0.0,,,Start of 1st Period (7:44 PM EST),period,start,0,0,0,0,,,
S2425-G0081,1,12:00,NYK,,IND,,K. Towns,NYK,Jump Ball Towns vs. Turner: Tip to Hart,Jump Ball,,0,0,0,0,,,h
S2425-G0081,1,11:39,NYK,,IND,,J. Brunson,NYK,MISS Brunson 25' 3PT Jump Shot,Missed Shot,Jump Shot,124,215,25,1,3.0,0.0,h
S2425-G0081,1,11:37,NYK,,IND,,M. Turner,IND,Turner REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,1,11:27,NYK,,IND,,O. Anunoby,NYK,Anunoby Violation:Kicked Ball (J.DeRosa),Violation,Kicked Ball,0,0,0,0,,,h
S2425-G0081,1,11:22,NYK,,IND,,K. Towns,NYK,Towns S.FOUL (P1.T1) (B.Kennedy),Foul,Shooting,0,0,0,0,,,h
S2425-G0081,1,11:22,NYK,0.0,IND,1.0,M. Turner,IND,Turner Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0081,1,11:22,NYK,0.0,IND,2.0,M. Turner,IND,Turner Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0081,1,11:07,NYK,,IND,,M. Bridges,NYK,MISS Bridges 13' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-18,130,13,1,2.0,0.0,h
S2425-G0081,1,11:05,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,1,10:55,NYK,,IND,,K. Towns,NYK,MISS Towns 20' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-66,188,20,1,2.0,0.0,h
S2425-G0081,1,10:53,NYK,,IND,,A. Nembhard,IND,Nembhard REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,1,10:44,NYK,,IND,,T. Haliburton,IND,MISS Haliburton 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,43,29,5,1,2.0,0.0,v
S2425-G0081,1,10:42,NYK,,IND,,K. Towns,NYK,Towns REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0081,1,10:31,NYK,,IND,,A. Nesmith,IND,Nesmith P.FOUL (P1.T1) (B.Kennedy),Foul,Personal,0,0,0,0,,,v
