game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0075,1,12:00,DEN,0.0,OKC,0.0,,,Start of 1st Period (10:11 PM EST),period,start,0,0,0,0,,,
S2425-G0075,1,12:00,DEN,,OKC,,J. Murray,DEN,Jump Ball Murray vs. Gilgeous-Alexander: Tip to Joe,Jump Ball,,0,0,0,0,,,h
S2425-G0075,1,11:41,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren 6' Floating Jump Shot,Missed Shot,Floating Jump shot,-44,38,6,1,2.0,0.0,v
S2425-G0075,1,11:41,DEN,,OKC,,N. Jokić,DEN,Jokić BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0075,1,11:38,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,11:37,DEN,,OKC,,C. Holmgren,OKC,Holmgren Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0075,1,11:37,DEN,,OKC,,C. Braun,DEN,Braun STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0075,1,11:36,DEN,,OKC,,J. Williams,OKC,Williams P.FOUL (P1.T1) (K.Scott),Foul,Personal,0,0,0,0,,,v
S2425-G0075,1,11:30,DEN,3.0,OKC,0.0,N. Jokić,DEN,Jokić 24' 3PT Jump Shot (3 PTS) (Gordon 1 AST),Made Shot,Jump Shot,61,237,24,1,3.0,3.0,h
S2425-G0075,1,11:17,DEN,,OKC,,S. Gilgeous-Alexander,OKC,MISS Gilgeous-Alexander 1' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-11,2,1,1,2.0,0.0,v
S2425-G0075,1,11:16,DEN,,OKC,,A. Gordon,DEN,Gordon REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,1,11:02,DEN,,OKC,,C. Braun,DEN,Braun Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0075,1,11:02,DEN,,OKC,,L. Dort,OKC,Dort STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0075,1,10:55,DEN,,OKC,,L. Dort,OKC,MISS Dort 27' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-99,247,27,1,3.0,0.0,v
S2425-G0075,1,10:51,DEN,,OKC,,C. Braun,DEN,Braun REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,1,10:47,DEN,,OKC,,M. Porter Jr.,DEN,MISS Porter Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,173,189,26,1,3.0,0.0,h
S2425-G0075,1,10:46,DEN,,OKC,,,,Thunder Rebound,Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,10:36,DEN,3.0,OKC,2.0,I. Joe,OKC,Joe 6' Floating Jump Shot (2 PTS) (Williams 1 AST),Made Shot,Floating Jump shot,60,1,6,1,2.0,2.0,v
S2425-G0075,1,10:20,DEN,,OKC,,M. Porter Jr.,DEN,MISS Porter Jr. 25' 3PT Jump Shot,Missed Shot,Jump Shot,116,219,25,1,3.0,0.0,h
S2425-G0075,1,10:19,DEN,,OKC,,C. Holmgren,OKC,Holmgren REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0075,1,10:12,DEN,3.0,OKC,5.0,J. Williams,OKC,Williams 25' 3PT Jump Shot (3 PTS) (Holmgren 1 AST),Made Shot,Jump Shot,94,230,25,1,3.0,3.0,v
S2425-G0075,1,09:52,DEN,,OKC,,J. Williams,OKC,Williams S.FOUL (P2.T2) (J.Orr),Foul,Shooting,0,0,0,0,,,v
S2425-G0075,1,09:52,DEN,4.0,OKC,5.0,J. Murray,DEN,Murray Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0075,1,09:52,DEN,5.0,OKC,5.0,J. Murray,DEN,Murray Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0075,1,09:36,DEN,,OKC,,J. Williams,OKC,Williams Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0075,1,09:36,DEN,,OKC,,C. Braun,DEN,Braun STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0075,1,09:26,DEN,7.0,OKC,5.0,C. Braun,DEN,Braun 1' Layup (2 PTS) (Murray 1 AST),Made Shot,Layup Shot,-7,-8,1,1,2.0,2.0,h
S2425-G0075,1,09:18,DEN,,OKC,,C. Holmgren,OKC,MISS Holmgren 24' 3PT Jump Shot,Missed Shot,Jump Shot,-238,10,24,1,3.0,0.0,v
S2425-G0075,1,09:16,DEN,,OKC,,C. Braun,DEN,Braun REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,1,08:59,DEN,,OKC,,J. Murray,DEN,MISS Murray 14' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-134,34,14,1,2.0,0.0,h
S2425-G0075,1,08:57,DEN,,OKC,,,,NUGGETS Rebound,Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,1,08:57,DEN,,OKC,,L. Dort,OKC,Dort L.B.FOUL (P1.T3) (D.Scott),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0075,1,08:47,DEN,,OKC,,C. Braun,DEN,MISS Braun 3PT Jump Shot,Missed Shot,Jump Shot,230,13,0,1,3.0,0.0,h
