game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0078,1,12:00,TOR,0.0,PHI,0.0,,,Start of 1st Period (7:13 PM EST),period,start,0,0,0,0,,,
S2425-G0078,1,12:00,TOR,,PHI,,J. Pöltl,TOR,Jump Ball Pöltl vs. Drummond: Tip to Maxey,Jump Ball,,0,0,0,0,,,h
S2425-G0078,1,11:43,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 25' 3PT Jump Shot,Missed Shot,Jump Shot,-207,142,25,1,3.0,0.0,v
S2425-G0078,1,11:39,TOR,,PHI,,J. Pöltl,TOR,Pöltl REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,11:37,TOR,2.0,PHI,0.0,S. Barnes,TOR,Barnes 1' Running Dunk (2 PTS),Made Shot,Running Dunk Shot,6,4,1,1,2.0,2.0,h
S2425-G0078,1,11:20,TOR,,PHI,,K. Oubre Jr.,PHI,Oubre Jr. Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0078,1,11:20,TOR,,PHI,,O. Agbaji,TOR,Agbaji STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0078,1,11:15,TOR,,PHI,,G. Dick,TOR,MISS Dick 1' Running Layup,Missed Shot,Running Layup Shot,-4,-8,1,1,2.0,0.0,h
S2425-G0078,1,11:11,TOR,,PHI,,O. Agbaji,TOR,Agbaji REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,11:11,TOR,4.0,PHI,0.0,O. Agbaji,TOR,Agbaji Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2425-G0078,1,10:52,TOR,4.0,PHI,3.0,K. Lowry,PHI,Lowry 24' 3PT Step Back Jump Shot (3 PTS) (Maxey 1 AST),Made Shot,Step Back Jump shot,228,82,24,1,3.0,3.0,v
S2425-G0078,1,10:40,TOR,,PHI,,K. Oubre Jr.,PHI,Oubre Jr. P.FOUL (P1.T1) (P.Fraher),Foul,Personal,0,0,0,0,,,v
S2425-G0078,1,10:26,TOR,7.0,PHI,3.0,D. Mitchell,TOR,Mitchell 27' 3PT Jump Shot (3 PTS) (Barnes 1 AST),Made Shot,Jump Shot,78,256,27,1,3.0,3.0,h
S2425-G0078,1,10:04,TOR,7.0,PHI,5.0,A. Drummond,PHI,Drummond 6' Hook Shot (2 PTS) (Lowry 1 AST),Made Shot,Hook Shot,4,58,6,1,2.0,2.0,v
S2425-G0078,1,09:54,TOR,,PHI,,D. Mitchell,TOR,Mitchell Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0078,1,09:54,TOR,,PHI,,A. Drummond,PHI,Drummond STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0078,1,09:49,TOR,,PHI,,K. Lowry,PHI,MISS Lowry 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-216,117,25,1,3.0,0.0,v
S2425-G0078,1,09:46,TOR,,PHI,,D. Mitchell,TOR,Mitchell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,09:36,TOR,,PHI,,A. Drummond,PHI,Drummond P.FOUL (P1.T2) (T.Brothers),Foul,Personal,0,0,0,0,,,v
S2425-G0078,1,09:25,TOR,10.0,PHI,5.0,D. Mitchell,TOR,Mitchell 27' 3PT Step Back Jump Shot (6 PTS),Made Shot,Step Back Jump shot,-154,220,27,1,3.0,3.0,h
S2425-G0078,1,09:06,TOR,10.0,PHI,7.0,T. Maxey,PHI,Maxey 10' Driving Floating Jump Shot (2 PTS) (Lowry 2 AST),Made Shot,Driving Floating Jump Shot,103,10,10,1,2.0,2.0,v
S2425-G0078,1,09:06,TOR,,PHI,,O. Agbaji,TOR,Agbaji S.FOUL (P1.T1) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,h
S2425-G0078,1,09:06,TOR,10.0,PHI,8.0,T. Maxey,PHI,Maxey Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0078,1,08:51,TOR,12.0,PHI,8.0,J. Pöltl,TOR,Pöltl 1' Cutting Layup Shot (2 PTS) (Barnes 2 AST),Made Shot,Cutting Layup Shot,5,-1,1,1,2.0,2.0,h
S2425-G0078,1,08:51,TOR,,PHI,,A. Drummond,PHI,Drummond S.FOUL (P2.T3) (T.Brothers),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,1,08:51,TOR,,PHI,,A. Drummond,PHI,SUB: Yabusele FOR Drummond,Substitution,,0,0,0,0,,,v
S2425-G0078,1,08:51,TOR,,PHI,,J. Pöltl,TOR,MISS Pöltl Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2425-G0078,1,08:47,TOR,,PHI,,C. Martin,PHI,C. Martin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,1,08:27,TOR,,PHI,,G. Yabusele,PHI,MISS Yabusele 27' 3PT Jump Shot,Missed Shot,Jump Shot,200,178,27,1,3.0,0.0,v
S2425-G0078,1,08:25,TOR,,PHI,,O. Agbaji,TOR,Agbaji REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,08:17,TOR,,PHI,,S. Barnes,TOR,MISS Barnes 27' 3PT Jump Shot,Missed Shot,Jump Shot,-37,265,27,1,3.0,0.0,h
S2425-G0078,1,08:15,TOR,,PHI,,T. Maxey,PHI,Maxey REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,1,08:05,TOR,,PHI,,K. Oubre Jr.,PHI,MISS Oubre Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,-222,132,26,1,3.0,0.0,v
S2425-G0078,1,08:05,TOR,,PHI,,,,76ers Rebound,Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,1,07:52,TOR,12.0,PHI,11.0,T. Maxey,PHI,Maxey 25' 3PT Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,145,209,25,1,3.0,3.0,v
S2425-G0078,1,07:41,TOR,,PHI,,J. Pöltl,TOR,MISS Pöltl 5' Driving Layup,Missed Shot,Driving Layup Shot,-47,27,5,1,2.0,0.0,h
S2425-G0078,1,07:41,TOR,,PHI,,G. Yabusele,PHI,Yabusele BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0078,1,07:41,TOR,,PHI,,,,RAPTORS Rebound,Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,07:38,TOR,,PHI,,G. Dick,TOR,MISS Dick 3PT Fadeaway Bank Shot,Missed Shot,Fadeaway Bank shot,-233,-13,0,1,3.0,0.0,h
S2425-G0078,1,07:36,TOR,,PHI,,G. Yabusele,PHI,Yabusele REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0078,1,07:27,TOR,12.0,PHI,14.0,T. Maxey,PHI,Maxey 26' 3PT Step Back Jump Shot (9 PTS),Made Shot,Step Back Jump shot,185,178,26,1,3.0,3.0,v
S2425-G0078,1,07:19,TOR,,PHI,,S. Barnes,TOR,Barnes Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0078,1,07:11,TOR,,PHI,,T. Maxey,PHI,MISS Maxey 2' Driving Layup,Missed Shot,Driving Layup Shot,-12,10,2,1,2.0,0.0,v
S2425-G0078,1,07:11,TOR,,PHI,,J. Pöltl,TOR,Pöltl BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0078,1,07:07,TOR,,PHI,,D. Mitchell,TOR,Mitchell REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0078,1,07:05,TOR,,PHI,,K. Lowry,PHI,Lowry S.FOUL (P1.T4) (T.Mirkovich),Foul,Shooting,0,0,0,0,,,v
S2425-G0078,1,07:05,TOR,13.0,PHI,14.0,O. Agbaji,TOR,Agbaji Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,1,07:05,TOR,14.0,PHI,14.0,O. Agbaji,TOR,Agbaji Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0078,1,06:48,TOR,,PHI,,K. Oubre Jr.,PHI,MISS Oubre Jr. 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,129,8,13,1,2.0,0.0,v
