game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0111,1,12:00,PHX,0.0,LAL,0.0,,,Start of 1st Period (10:11 PM EST),period,start,0,0,0,0,,,
S2425-G0111,1,12:00,PHX,,LAL,,J. Nurkić,PHX,Jump Ball Nurkić vs. Davis: Tip to Beal,Jump Ball,,0,0,0,0,,,h
S2425-G0111,1,11:41,PHX,,LAL,,J. Nurkić,PHX,MISS Nurkić 9' Hook Shot,Missed Shot,Hook Shot,83,22,9,1,2.0,0.0,h
S2425-G0111,1,11:41,PHX,,LAL,,A. Davis,LAL,Davis BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0111,1,11:35,PHX,,LAL,,A. Davis,LAL,Davis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,11:16,PHX,,LAL,,A. Davis,LAL,MISS Davis 21' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-94,184,21,1,2.0,0.0,v
S2425-G0111,1,11:14,PHX,,LAL,,K. Durant,PHX,Durant REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,1,11:01,PHX,2.0,LAL,0.0,K. Durant,PHX,Durant 13' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,-23,124,13,1,2.0,2.0,h
S2425-G0111,1,10:48,PHX,2.0,LAL,3.0,R. Hachimura,LAL,Hachimura 27' 3PT Jump Shot (3 PTS) (Russell 1 AST),Made Shot,Jump Shot,-208,178,27,1,3.0,3.0,v
S2425-G0111,1,10:33,PHX,,LAL,,T. Jones,PHX,MISS Jones 25' 3PT Jump Shot,Missed Shot,Jump Shot,151,199,25,1,3.0,0.0,h
S2425-G0111,1,10:29,PHX,,LAL,,A. Reaves,LAL,Reaves REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,10:23,PHX,,LAL,,A. Davis,LAL,MISS Davis 6' Driving Layup,Missed Shot,Driving Layup Shot,-15,54,6,1,2.0,0.0,v
S2425-G0111,1,10:23,PHX,,LAL,,J. Nurkić,PHX,Nurkić REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0111,1,10:16,PHX,4.0,LAL,3.0,D. Booker,PHX,Booker 10' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,-96,-5,10,1,2.0,2.0,h
S2425-G0111,1,09:50,PHX,,LAL,,D. Russell,LAL,MISS Russell 26' 3PT Jump Shot,Missed Shot,Jump Shot,-207,152,26,1,3.0,0.0,v
S2425-G0111,1,09:46,PHX,,LAL,,A. Davis,LAL,Davis REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,09:43,PHX,4.0,LAL,5.0,R. Hachimura,LAL,Hachimura 2' Layup (5 PTS) (Davis 1 AST),Made Shot,Layup Shot,5,16,2,1,2.0,2.0,v
