game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,1,12:00,LAC,0.0,POR,0.0,,,Start of 1st Period (10:41 PM EST),period,start,0,0,0,0,,,
S2425-G0127,1,12:00,LAC,,POR,,I. Zubac,LAC,Jump Ball Zubac vs. Ayton: Tip to Harden,Jump Ball,,0,0,0,0,,,h
S2425-G0127,1,11:42,LAC,2.0,POR,0.0,N. Powell,LAC,Powell 4' Cutting Layup Shot (2 PTS) (Harden 1 AST),Made Shot,Cutting Layup Shot,23,33,4,1,2.0,2.0,h
S2425-G0127,1,11:18,LAC,,POR,,D. Ayton,POR,MISS Ayton 4' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-32,16,4,1,2.0,0.0,v
S2425-G0127,1,11:16,LAC,,POR,,I. Zubac,LAC,Zubac REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,11:02,LAC,,POR,,J. Harden,LAC,MISS Harden 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-161,210,26,1,3.0,0.0,h
S2425-G0127,1,10:59,LAC,,POR,,D. Ayton,POR,Ayton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,10:40,LAC,,POR,,J. Harden,LAC,Harden P.FOUL (P1.T1) (M.Smith),Foul,Personal,0,0,0,0,,,h
S2425-G0127,1,10:32,LAC,,POR,,A. Simons,POR,MISS Simons 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,33,30,4,1,2.0,0.0,v
S2425-G0127,1,10:30,LAC,,POR,,N. Powell,LAC,Powell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,10:27,LAC,5.0,POR,0.0,N. Powell,LAC,Powell 28' 3PT Running Pull-Up Jump Shot (5 PTS),Made Shot,Running Pull-Up Jump Shot,-108,254,28,1,3.0,3.0,h
S2425-G0127,1,10:11,LAC,,POR,,D. Avdija,POR,MISS Avdija 24' 3PT Jump Shot,Missed Shot,Jump Shot,238,25,24,1,3.0,0.0,v
S2425-G0127,1,10:09,LAC,,POR,,J. Harden,LAC,Harden REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,10:06,LAC,,POR,,J. Grant,POR,Grant S.FOUL (P1.T1) (E.Dalen),Foul,Shooting,0,0,0,0,,,v
S2425-G0127,1,10:06,LAC,6.0,POR,0.0,I. Zubac,LAC,Zubac Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0127,1,10:06,LAC,,POR,,I. Zubac,LAC,MISS Zubac Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0127,1,10:03,LAC,,POR,,T. Mann,LAC,Mann REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,10:01,LAC,,POR,,J. Harden,LAC,MISS Harden 28' 3PT Jump Shot,Missed Shot,Jump Shot,-53,280,28,1,3.0,0.0,h
S2425-G0127,1,10:01,LAC,,POR,,,,CLIPPERS Rebound,Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,09:57,LAC,,POR,,D. Jones Jr.,LAC,MISS Jones Jr. 7' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,11,73,7,1,2.0,0.0,h
S2425-G0127,1,09:57,LAC,,POR,,D. Avdija,POR,Avdija BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0127,1,09:54,LAC,,POR,,T. Camara,POR,Camara REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0127,1,09:51,LAC,,POR,,D. Avdija,POR,MISS Avdija 2' Running Reverse Layup,Missed Shot,Running Reverse Layup Shot,-16,19,2,1,2.0,0.0,v
S2425-G0127,1,09:49,LAC,,POR,,N. Powell,LAC,Powell REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,09:48,LAC,8.0,POR,0.0,T. Mann,LAC,Mann 2' Running Alley Oop Dunk Shot (2 PTS) (Harden 2 AST),Made Shot,Running Alley Oop Dunk Shot,4,20,2,1,2.0,2.0,h
