game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0121,1,12:00,WAS,0.0,ATL,0.0,,,Start of 1st Period (7:11 PM EST),period,start,0,0,0,0,,,
S2425-G0121,1,12:00,WAS,,ATL,,A. Sarr,WAS,Jump Ball Sarr vs. Capela: Tip to Johnson,Jump Ball,,0,0,0,0,,,h
S2425-G0121,1,11:33,WAS,,ATL,,J. Johnson,ATL,MISS Johnson 26' 3PT Jump Shot,Missed Shot,Jump Shot,163,204,26,1,3.0,0.0,v
S2425-G0121,1,11:33,WAS,,ATL,,,,Hawks Rebound,Rebound,Unknown,0,0,0,0,,,v
S2425-G0121,1,11:33,WAS,,ATL,,,,Hawks Turnover: Shot Clock (T#1),Turnover,Shot Clock Turnover,0,0,0,0,,,v
S2425-G0121,1,11:17,WAS,3.0,ATL,0.0,A. Sarr,WAS,Sarr 24' 3PT Jump Shot (3 PTS) (Poole 1 AST),Made Shot,Jump Shot,243,-5,24,1,3.0,3.0,h
S2425-G0121,1,11:03,WAS,,ATL,,D. Roddy,ATL,MISS Roddy 24' 3PT Jump Shot,Missed Shot,Jump Shot,241,21,24,1,3.0,0.0,v
S2425-G0121,1,11:01,WAS,,ATL,,A. Sarr,WAS,Sarr REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,1,10:55,WAS,,ATL,,C. Capela,ATL,Capela S.FOUL (P1.T1) (S.Jelks),Foul,Shooting,0,0,0,0,,,v
S2425-G0121,1,10:55,WAS,4.0,ATL,0.0,A. Sarr,WAS,Sarr Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0121,1,10:55,WAS,,ATL,,A. Sarr,WAS,MISS Sarr Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0121,1,10:53,WAS,,ATL,,J. Johnson,ATL,Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0121,1,10:42,WAS,,ATL,,Z. Risacher,ATL,MISS Risacher 26' 3PT Jump Shot,Missed Shot,Jump Shot,-224,131,26,1,3.0,0.0,v
S2425-G0121,1,10:38,WAS,,ATL,,C. Carrington,WAS,Carrington REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,1,10:35,WAS,,ATL,,A. Sarr,WAS,MISS Sarr 5' Running Alley Oop Layup Shot,Missed Shot,Running Alley Oop Layup Shot,45,12,5,1,2.0,0.0,h
S2425-G0121,1,10:35,WAS,,ATL,,Z. Risacher,ATL,Risacher BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0121,1,10:28,WAS,,ATL,,B. Coulibaly,WAS,Coulibaly REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
