game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,11:27,ATL,,CHA,,D. Daniels,ATL,Daniels P.FOUL (P1.T1) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2425-G0079,1,10:03,ATL,,CHA,,D. Daniels,ATL,Daniels STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0079,1,08:22,ATL,15.0,CHA,6.0,D. Daniels,ATL,Daniels 1' Running Layup (2 PTS),Made Shot,Running Layup Shot,-9,7,1,1,2.0,2.0,h
S2425-G0079,1,05:51,ATL,,CHA,,D. Daniels,ATL,Daniels BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0079,1,05:50,ATL,,CHA,,D. Daniels,ATL,SUB: Krejčí FOR Daniels,Substitution,,0,0,0,0,,,h
S2425-G0079,2,11:42,ATL,30.0,CHA,16.0,D. Daniels,ATL,Daniels 11' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,-12,106,11,1,2.0,2.0,h
S2425-G0079,2,10:39,ATL,,CHA,,D. Daniels,ATL,MISS Daniels 25' 3PT Jump Shot,Missed Shot,Jump Shot,-181,167,25,1,3.0,0.0,h
S2425-G0079,2,10:16,ATL,,CHA,,D. Daniels,ATL,Daniels S.FOUL (P2.T2) (M.Dagher),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,2,09:40,ATL,,CHA,,D. Daniels,ATL,Daniels S.FOUL (P3.T4) (Z.Zarba),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,2,09:40,ATL,,CHA,,D. Daniels,ATL,SUB: Mathews FOR Daniels,Substitution,,0,0,0,0,,,h
S2425-G0079,3,10:16,ATL,65.0,CHA,60.0,D. Daniels,ATL,Daniels 26' 3PT Pullup Jump Shot (7 PTS) (Young 4 AST),Made Shot,Pullup Jump shot,-138,216,26,1,3.0,3.0,h
S2425-G0079,3,09:28,ATL,68.0,CHA,64.0,D. Daniels,ATL,Daniels 25' 3PT Jump Shot (10 PTS) (Young 5 AST),Made Shot,Jump Shot,140,211,25,1,3.0,3.0,h
S2425-G0079,3,07:23,ATL,,CHA,,D. Daniels,ATL,MISS Daniels 26' 3PT Jump Shot,Missed Shot,Jump Shot,-96,241,26,1,3.0,0.0,h
S2425-G0079,3,06:36,ATL,,CHA,,D. Daniels,ATL,Daniels STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0079,3,06:32,ATL,77.0,CHA,67.0,D. Daniels,ATL,Daniels 1' Running Dunk (12 PTS),Made Shot,Running Dunk Shot,-7,13,1,1,2.0,2.0,h
S2425-G0079,3,04:50,ATL,,CHA,,D. Daniels,ATL,SUB: Krejčí FOR Daniels,Substitution,,0,0,0,0,,,h
S2425-G0079,3,00:02,ATL,,CHA,,D. Daniels,ATL,Daniels S.FOUL (P4.PN) (M.Dagher),Foul,Shooting,0,0,0,0,,,h
S2425-G0079,4,10:55,ATL,90.0,CHA,87.0,D. Daniels,ATL,Daniels 1' Reverse Layup (14 PTS) (Young 7 AST),Made Shot,Reverse Layup Shot,-10,9,1,1,2.0,2.0,h
S2425-G0079,4,09:22,ATL,97.0,CHA,93.0,D. Daniels,ATL,Daniels 3' Driving Layup (16 PTS) (Young 8 AST),Made Shot,Driving Layup Shot,-11,31,3,1,2.0,2.0,h
S2425-G0079,4,08:09,ATL,,CHA,,D. Daniels,ATL,Daniels P.FOUL (P5.T2) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2425-G0079,4,08:09,ATL,,CHA,,D. Daniels,ATL,SUB: Hunter FOR Daniels,Substitution,,0,0,0,0,,,h
S2425-G0079,4,06:50,ATL,,CHA,,D. Daniels,ATL,SUB: Krejčí FOR Daniels,Substitution,,0,0,0,0,,,h
S2425-G0079,4,03:09,ATL,,CHA,,D. Daniels,ATL,Daniels Bad Pass Turnover (P1.T13),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0079,4,02:05,ATL,118.0,CHA,110.0,D. Daniels,ATL,Daniels 2' Cutting Layup Shot (18 PTS) (Hunter 3 AST),Made Shot,Cutting Layup Shot,-12,15,2,1,2.0,2.0,h
S2425-G0079,4,01:49,ATL,,CHA,,D. Daniels,ATL,Daniels REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0079,4,00:34.500000,ATL,,CHA,,D. Daniels,ATL,Daniels BLOCK (2 BLK),,,0,0,0,0,,,h
S2425-G0064,1,11:18,ATL,6.0,BKN,0.0,D. Daniels,ATL,Daniels 25' 3PT Jump Shot (3 PTS) (Capela 1 AST),Made Shot,Jump Shot,245,55,25,1,3.0,3.0,h
