game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0121,2,06:38,WAS,,ATL,,K. Wallace,ATL,Wallace REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0121,2,06:29,WAS,,ATL,,K. Wallace,ATL,SUB: Young FOR Wallace,Substitution,,0,0,0,0,,,v
S2425-G0121,2,00:02,WAS,,ATL,,K. Wallace,ATL,SUB: Mathews FOR Wallace,Substitution,,0,0,0,0,,,v
S2425-G0121,3,05:31,WAS,73.0,ATL,82.0,K. Wallace,ATL,Wallace 26' 3PT Jump Shot (3 PTS) (Young 9 AST),Made Shot,Jump Shot,-199,164,26,1,3.0,3.0,v
S2425-G0121,3,02:26,WAS,86.0,ATL,84.0,K. Wallace,ATL,Wallace 9' Driving Floating Jump Shot (5 PTS),Made Shot,Driving Floating Jump Shot,-12,88,9,1,2.0,2.0,v
S2425-G0121,3,01:27,WAS,91.0,ATL,89.0,K. Wallace,ATL,Wallace 3PT Jump Shot (8 PTS) (Young 10 AST),Made Shot,Jump Shot,233,-9,0,1,3.0,3.0,v
S2425-G0121,4,10:40,WAS,,ATL,,K. Wallace,ATL,SUB: Young FOR Wallace,Substitution,,0,0,0,0,,,v
S2425-G0100,4,01:18,OKC,126.0,ATL,103.0,K. Wallace,ATL,Wallace Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0100,4,01:18,OKC,126.0,ATL,104.0,K. Wallace,ATL,Wallace Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0100,4,00:26.800000,OKC,,ATL,,K. Wallace,ATL,Wallace REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0100,4,00:08,OKC,,ATL,,K. Wallace,ATL,MISS Wallace 12' Floating Jump Shot,Missed Shot,Floating Jump shot,64,105,12,1,2.0,0.0,v
