game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,03:18,ATL,24.0,CHA,14.0,Z. Risacher,ATL,Risacher Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,1,03:18,ATL,25.0,CHA,14.0,Z. Risacher,ATL,Risacher Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0079,1,02:22,ATL,,CHA,,Z. Risacher,ATL,MISS Risacher 3' Running Layup,Missed Shot,Running Layup Shot,-15,21,3,1,2.0,0.0,h
S2425-G0079,1,00:35.600000,ATL,,CHA,,Z. Risacher,ATL,MISS Risacher 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,203,133,24,1,3.0,0.0,h
S2425-G0079,2,03:40,ATL,,CHA,,Z. Risacher,ATL,MISS Risacher 25' 3PT Jump Shot,Missed Shot,Jump Shot,164,193,25,1,3.0,0.0,h
S2425-G0079,2,02:06,ATL,,CHA,,Z. Risacher,ATL,Risacher BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0079,2,00:45.800000,ATL,60.0,CHA,55.0,Z. Risacher,ATL,Risacher 27' 3PT Jump Shot (5 PTS) (Young 3 AST),Made Shot,Jump Shot,110,248,27,1,3.0,3.0,h
S2425-G0079,3,01:22,ATL,,CHA,,Z. Risacher,ATL,MISS Risacher 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-191,166,25,1,3.0,0.0,h
S2425-G0079,3,00:32.400000,ATL,,CHA,,Z. Risacher,ATL,SUB: Young FOR Risacher,Substitution,,0,0,0,0,,,h
S2425-G0064,1,03:31,ATL,20.0,BKN,15.0,Z. Risacher,ATL,Risacher 26' 3PT Running Jump Shot (3 PTS) (Young 5 AST),Made Shot,Running Jump Shot,207,163,26,1,3.0,3.0,h
S2425-G0064,1,03:14,ATL,,BKN,,Z. Risacher,ATL,Risacher S.FOUL (P1.T4) (A.Nagy),Foul,Shooting,0,0,0,0,,,h
