game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,11:23,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith S.FOUL (P1.T1) (A.Smith),Foul,Shooting,0,0,0,0,,,v
S2424-G124,1,11:17,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,1,11:04,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith S.FOUL (P2.T2) (B.Forte),Foul,Shooting,0,0,0,0,,,v
S2424-G124,1,10:51,MEM,,BKN,,D. Finney-Smith,BKN,SUB: Clowney FOR Finney-Smith,Substitution,,0,0,0,0,,,v
S2424-G124,1,05:46,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,1,04:28,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2424-G124,1,03:52,MEM,,BKN,,D. Finney-Smith,BKN,SUB: Wilson FOR Finney-Smith,Substitution,,0,0,0,0,,,v
S2424-G124,2,07:42,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith STEAL (1 STL),,,0,0,0,0,,,v
S2424-G124,2,07:24,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,2,06:18,MEM,,BKN,,D. Finney-Smith,BKN,MISS Finney-Smith 26' 3PT Jump Shot,Missed Shot,Jump Shot,-89,242,26,1,3.0,0.0,v
S2424-G124,2,04:42,MEM,,BKN,,D. Finney-Smith,BKN,MISS Finney-Smith 3PT Jump Shot,Missed Shot,Jump Shot,-232,-16,0,1,3.0,0.0,v
S2424-G124,2,04:31,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith STEAL (2 STL),,,0,0,0,0,,,v
S2424-G124,2,04:25,MEM,,BKN,,D. Finney-Smith,BKN,Finney-Smith Bad Pass Turnover (P2.T8),Turnover,Bad Pass,0,0,0,0,,,v
S2424-G124,2,03:39,MEM,51.0,BKN,53.0,D. Finney-Smith,BKN,Finney-Smith 5' Driving Layup (2 PTS) (C. Johnson 3 AST),Made Shot,Driving Layup Shot,28,44,5,1,2.0,2.0,v
