game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,05:30,MEM,,BKN,,K. Johnson,BKN,MISS K. Johnson 26' 3PT Jump Shot,Missed Shot,Jump Shot,39,258,26,1,3.0,0.0,v
S2424-G124,1,03:52,MEM,,BKN,,K. Johnson,BKN,K. Johnson Violation:Kicked Ball (B.Nansel),Violation,Kicked Ball,0,0,0,0,,,v
S2424-G124,1,02:32,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,1,02:32,MEM,26.0,BKN,22.0,K. Johnson,BKN,K. Johnson Putback Layup (2 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2424-G124,1,01:31,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,1,00:56.800000,MEM,,BKN,,K. Johnson,BKN,K. Johnson S.FOUL (P1.PN) (B.Nansel),Foul,Shooting,0,0,0,0,,,v
S2424-G124,2,11:27,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,2,09:01,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,2,08:53,MEM,39.0,BKN,42.0,K. Johnson,BKN,K. Johnson 3' Driving Reverse Layup (4 PTS) (Schröder 4 AST),Made Shot,Driving Reverse Layup Shot,-26,17,3,1,2.0,2.0,v
S2424-G124,2,08:29,MEM,,BKN,,K. Johnson,BKN,SUB: Thomas FOR K. Johnson,Substitution,,0,0,0,0,,,v
S2424-G124,3,05:48,MEM,,BKN,,K. Johnson,BKN,MISS K. Johnson 25' 3PT Jump Shot,Missed Shot,Jump Shot,-50,242,25,1,3.0,0.0,v
S2424-G124,3,05:44,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,3,03:22,MEM,,BKN,,K. Johnson,BKN,SUB: Williams FOR K. Johnson,Substitution,,0,0,0,0,,,v
S2424-G124,3,02:28,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,3,01:55,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2424-G124,3,01:34,MEM,,BKN,,K. Johnson,BKN,K. Johnson STEAL (1 STL),,,0,0,0,0,,,v
S2424-G124,3,00:28.300000,MEM,,BKN,,K. Johnson,BKN,K. Johnson Ejection:Other,Ejection,Other,0,0,0,0,,,v
S2424-G124,3,00:28.300000,MEM,,BKN,,K. Johnson,BKN,SUB: Schröder FOR K. Johnson,Substitution,,0,0,0,0,,,v
S2425-G0113,2,11:05,BKN,,DEN,,K. Johnson,BKN,K. Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0113,2,10:35,BKN,,DEN,,K. Johnson,BKN,K. Johnson S.FOUL (P1.T1) (B.Kennedy),Foul,Shooting,0,0,0,0,,,h
S2425-G0113,2,10:16,BKN,,DEN,,K. Johnson,BKN,MISS K. Johnson 27' 3PT Jump Shot,Missed Shot,Jump Shot,-96,257,27,1,3.0,0.0,h
S2425-G0113,2,09:00,BKN,,DEN,,K. Johnson,BKN,Jump Ball K. Johnson vs. Šarić: Tip to Braun,Jump Ball,,0,0,0,0,,,h
S2425-G0113,2,07:30,BKN,,DEN,,K. Johnson,BKN,SUB: C. Johnson FOR K. Johnson,Substitution,,0,0,0,0,,,h
S2425-G0113,4,05:47,BKN,,DEN,,K. Johnson,BKN,SUB: Schröder FOR K. Johnson,Substitution,,0,0,0,0,,,h
S2425-G0124,1,05:30,MEM,,BKN,,K. Johnson,BKN,MISS K. Johnson 26' 3PT Jump Shot,Missed Shot,Jump Shot,39,258,26,1,3.0,0.0,v
S2425-G0124,1,03:52,MEM,,BKN,,K. Johnson,BKN,K. Johnson Violation:Kicked Ball (B.Nansel),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0124,1,02:32,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0124,1,02:32,MEM,26.0,BKN,22.0,K. Johnson,BKN,K. Johnson Putback Layup (2 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0124,1,01:31,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0124,1,00:56.800000,MEM,,BKN,,K. Johnson,BKN,K. Johnson S.FOUL (P1.PN) (B.Nansel),Foul,Shooting,0,0,0,0,,,v
S2425-G0124,2,11:27,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0124,2,09:01,MEM,,BKN,,K. Johnson,BKN,K. Johnson REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0124,2,08:53,MEM,39.0,BKN,42.0,K. Johnson,BKN,K. Johnson 3' Driving Reverse Layup (4 PTS) (Schröder 4 AST),Made Shot,Driving Reverse Layup Shot,-26,17,3,1,2.0,2.0,v
S2425-G0124,2,08:29,MEM,,BKN,,K. Johnson,BKN,SUB: Thomas FOR K. Johnson,Substitution,,0,0,0,0,,,v
S2425-G0124,3,05:48,MEM,,BKN,,K. Johnson,BKN,MISS K. Johnson 25' 3PT Jump Shot,Missed Shot,Jump Shot,-50,242,25,1,3.0,0.0,v
