game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0073,1,10:30,WAS,,BOS,,A. Horford,BOS,Horford Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0073,1,10:22,WAS,,BOS,,A. Horford,BOS,Horford REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,1,08:44,WAS,,BOS,,A. Horford,BOS,Horford REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,1,06:41,WAS,,BOS,,A. Horford,BOS,SUB: Kornet FOR Horford,Substitution,,0,0,0,0,,,v
S2425-G0073,2,10:43,WAS,,BOS,,A. Horford,BOS,Horford Out of Bounds Lost Ball Turnover (P2.T3),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2425-G0073,2,08:55,WAS,,BOS,,A. Horford,BOS,Horford REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,2,06:25,WAS,,BOS,,A. Horford,BOS,SUB: Kornet FOR Horford,Substitution,,0,0,0,0,,,v
S2425-G0073,2,01:24,WAS,,BOS,,A. Horford,BOS,Horford REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,3,11:03,WAS,,BOS,,A. Horford,BOS,MISS Horford 8' Turnaround Bank Hook Shot,Missed Shot,Turnaround Bank Hook Shot,74,37,8,1,2.0,0.0,v
S2425-G0073,3,10:00,WAS,,BOS,,A. Horford,BOS,Horford REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0073,3,08:57,WAS,,BOS,,A. Horford,BOS,MISS Horford 26' 3PT Jump Shot,Missed Shot,Jump Shot,-165,201,26,1,3.0,0.0,v
S2425-G0073,3,06:39,WAS,,BOS,,A. Horford,BOS,SUB: Pritchard FOR Horford,Substitution,,0,0,0,0,,,v
S2425-G0119,1,10:53,IND,,BOS,,A. Horford,BOS,Horford REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0119,1,10:24,IND,,BOS,,A. Horford,BOS,Horford STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0119,1,10:09,IND,,BOS,,A. Horford,BOS,Horford REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0119,1,08:38,IND,8.0,BOS,9.0,A. Horford,BOS,Horford 27' 3PT Jump Shot (3 PTS) (Holiday 2 AST),Made Shot,Jump Shot,136,231,27,1,3.0,3.0,v
S2425-G0119,1,08:09,IND,10.0,BOS,11.0,A. Horford,BOS,Horford 4' Layup (5 PTS) (Holiday 3 AST),Made Shot,Layup Shot,-38,21,4,1,2.0,2.0,v
S2425-G0119,1,06:57,IND,,BOS,,A. Horford,BOS,SUB: Kornet FOR Horford,Substitution,,0,0,0,0,,,v
S2425-G0119,2,10:53,IND,40.0,BOS,34.0,A. Horford,BOS,Horford 26' 3PT Jump Shot (8 PTS) (White 1 AST),Made Shot,Jump Shot,121,234,26,1,3.0,3.0,v
S2425-G0119,2,08:23,IND,,BOS,,A. Horford,BOS,Horford REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0119,2,06:27,IND,,BOS,,A. Horford,BOS,Horford REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0119,2,06:27,IND,,BOS,,A. Horford,BOS,MISS Horford 2' Tip Layup Shot,Missed Shot,Tip Layup Shot,-12,15,2,1,2.0,0.0,v
S2425-G0119,2,05:59,IND,,BOS,,A. Horford,BOS,SUB: Kornet FOR Horford,Substitution,,0,0,0,0,,,v
