game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,07:52,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,06:05,ATL,,CHA,,N. Richards,CHA,SUB: Green FOR Richards,Substitution,,0,0,0,0,,,v
S2425-G0079,2,10:52,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:52,ATL,32.0,CHA,20.0,N. Richards,CHA,Richards Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,10:52,ATL,32.0,CHA,21.0,N. Richards,CHA,Richards Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,10:24,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:24,ATL,,CHA,,N. Richards,CHA,MISS Richards 5' Tip Layup Shot,Missed Shot,Tip Layup Shot,34,42,5,1,2.0,0.0,v
S2425-G0079,2,10:16,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,10:16,ATL,,CHA,,N. Richards,CHA,MISS Richards Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0079,2,10:16,ATL,32.0,CHA,22.0,N. Richards,CHA,Richards Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,2,08:54,ATL,,CHA,,N. Richards,CHA,Hornets T.Foul (Def. 3 Sec Richards ) (B.Forte),Foul,Defense 3 Second,0,0,0,0,,,v
S2425-G0079,2,08:35,ATL,,CHA,,N. Richards,CHA,Richards S.FOUL (P1.T2) (M.Dagher),Foul,Shooting,0,0,0,0,,,v
S2425-G0079,2,08:35,ATL,,CHA,,N. Richards,CHA,SUB: Curry FOR Richards,Substitution,,0,0,0,0,,,v
S2425-G0079,2,04:02,ATL,,CHA,,N. Richards,CHA,Richards Bad Pass Turnover (P1.T9),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0079,2,03:25,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:4 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,03:25,ATL,54.0,CHA,43.0,N. Richards,CHA,Richards Tip Layup Shot (5 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0079,2,03:10,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,02:16,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:4 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,01:56,ATL,57.0,CHA,49.0,N. Richards,CHA,Richards 2' Dunk (7 PTS) (Williams 4 AST),Made Shot,Dunk Shot,-7,14,2,1,2.0,2.0,v
S2425-G0079,2,00:09.300000,ATL,,CHA,,N. Richards,CHA,SUB: Bridges FOR Richards,Substitution,,0,0,0,0,,,v
S2425-G0079,3,09:49,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:4 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,3,09:42,ATL,,CHA,,N. Richards,CHA,MISS Richards Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0079,3,09:42,ATL,65.0,CHA,64.0,N. Richards,CHA,Richards Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,3,08:33,ATL,,CHA,,N. Richards,CHA,Richards BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0079,3,07:58,ATL,,CHA,,N. Richards,CHA,MISS Richards 1' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-4,7,1,1,2.0,0.0,v
S2425-G0079,3,07:37,ATL,,CHA,,N. Richards,CHA,MISS Richards 7' Driving Layup,Missed Shot,Driving Layup Shot,25,69,7,1,2.0,0.0,v
S2425-G0079,3,06:11,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:5 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,3,06:11,ATL,77.0,CHA,69.0,N. Richards,CHA,Richards Tip Dunk Shot (10 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,v
S2425-G0079,3,05:54,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:5 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,3,05:37,ATL,,CHA,,N. Richards,CHA,SUB: Micić FOR Richards,Substitution,,0,0,0,0,,,v
S2425-G0079,3,01:48,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:5 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,3,00:32.400000,ATL,86.0,CHA,83.0,N. Richards,CHA,Richards Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,3,00:32.400000,ATL,86.0,CHA,84.0,N. Richards,CHA,Richards Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0079,3,00:02,ATL,,CHA,,N. Richards,CHA,SUB: Green FOR Richards,Substitution,,0,0,0,0,,,v
S2425-G0079,4,09:09,ATL,,CHA,,N. Richards,CHA,Richards REBOUND (Off:6 Def:6),Rebound,Unknown,0,0,0,0,,,v
