game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0117,1,04:50,CHA,,TOR,,T. Salaün,CHA,Salaün STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0117,1,04:03,CHA,,TOR,,T. Salaün,CHA,MISS Salaün 24' 3PT Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,243,-2,24,1,3.0,0.0,h
S2425-G0117,1,03:07,CHA,,TOR,,T. Salaün,CHA,MISS Salaün 27' 3PT Jump Shot,Missed Shot,Jump Shot,-34,269,27,1,3.0,0.0,h
S2425-G0117,1,00:04.800000,CHA,,TOR,,T. Salaün,CHA,Salaün REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0117,2,02:29,CHA,,TOR,,T. Salaün,CHA,Salaün REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0117,2,02:26,CHA,61.0,TOR,51.0,T. Salaün,CHA,Salaün 5' Turnaround Jump Shot (2 PTS),Made Shot,Turnaround Jump Shot,2,48,5,1,2.0,2.0,h
S2425-G0117,2,00:51,CHA,,TOR,,T. Salaün,CHA,SUB: Richards FOR Salaün,Substitution,,0,0,0,0,,,h
S2425-G0117,3,01:02,CHA,,TOR,,T. Salaün,CHA,MISS Salaün Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0117,3,01:02,CHA,97.0,TOR,96.0,T. Salaün,CHA,Salaün Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0117,3,00:02.800000,CHA,,TOR,,T. Salaün,CHA,Salaün REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0088,1,03:09,CHA,,MIA,,T. Salaün,CHA,SUB: Ball FOR Salaün,Substitution,,0,0,0,0,,,h
S2425-G0088,2,09:52,CHA,,MIA,,T. Salaün,CHA,Salaün REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0088,2,08:59,CHA,,MIA,,T. Salaün,CHA,SUB: Micić FOR Salaün,Substitution,,0,0,0,0,,,h
S2425-G0088,3,04:11,CHA,,MIA,,T. Salaün,CHA,MISS Salaün 3PT Jump Shot,Missed Shot,Jump Shot,-225,11,0,1,3.0,0.0,h
S2425-G0088,3,03:33,CHA,,MIA,,T. Salaün,CHA,Salaün STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0088,3,02:38,CHA,,MIA,,T. Salaün,CHA,Salaün S.FOUL (P1.PN) (S.Mitchell),Foul,Shooting,0,0,0,0,,,h
S2425-G0088,3,02:25,CHA,,MIA,,T. Salaün,CHA,Salaün Lost Ball Turnover (P1.T15),Turnover,Lost Ball,0,0,0,0,,,h
