game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0079,1,01:45,ATL,25.0,CHA,16.0,V. Micić,CHA,Micić 12' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,10,119,12,1,2.0,2.0,v
S2425-G0079,1,01:10,ATL,,CHA,,V. Micić,CHA,Micić Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0079,1,00:55.400000,ATL,,CHA,,V. Micić,CHA,MISS Micić 5' Driving Layup,Missed Shot,Driving Layup Shot,9,51,5,1,2.0,0.0,v
S2425-G0079,1,00:52.600000,ATL,,CHA,,V. Micić,CHA,Micić REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,00:32.600000,ATL,,CHA,,V. Micić,CHA,Micić REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,1,00:06.800000,ATL,,CHA,,V. Micić,CHA,SUB: Martin FOR Micić,Substitution,,0,0,0,0,,,v
S2425-G0079,2,03:37,ATL,,CHA,,V. Micić,CHA,Micić REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,2,01:59,ATL,,CHA,,V. Micić,CHA,Micić REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,3,05:02,ATL,,CHA,,V. Micić,CHA,MISS Micić 12' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,16,120,12,1,2.0,0.0,v
S2425-G0079,3,04:27,ATL,,CHA,,V. Micić,CHA,MISS Micić 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,168,188,25,1,3.0,0.0,v
S2425-G0079,3,02:54,ATL,,CHA,,V. Micić,CHA,Micić REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0079,3,01:10,ATL,,CHA,,V. Micić,CHA,MISS Micić 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,67,239,25,1,3.0,0.0,v
S2425-G0079,3,01:04,ATL,,CHA,,V. Micić,CHA,SUB: Martin FOR Micić,Substitution,,0,0,0,0,,,v
