game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0091,1,12:00,CHI,,OKC,,N. Vučević,CHI,Jump Ball Vučević vs. Holmgren: Tip to Dort,Jump Ball,,0,0,0,0,,,h
S2425-G0091,1,11:24,CHI,3.0,OKC,2.0,N. Vučević,CHI,Vučević 3' Floating Jump Shot (2 PTS) (White 1 AST),Made Shot,Floating Jump shot,-32,3,3,1,2.0,2.0,h
S2425-G0091,1,09:17,CHI,,OKC,,N. Vučević,CHI,Vučević Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0091,1,08:59,CHI,,OKC,,N. Vučević,CHI,MISS Vučević 3' Driving Layup,Missed Shot,Driving Layup Shot,0,26,3,1,2.0,0.0,h
S2425-G0091,1,08:57,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,08:57,CHI,,OKC,,N. Vučević,CHI,MISS Vučević Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0091,1,07:38,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,07:14,CHI,,OKC,,N. Vučević,CHI,MISS Vučević 10' Jump Shot,Missed Shot,Jump Shot,-9,96,10,1,2.0,0.0,h
S2425-G0091,1,07:04,CHI,,OKC,,N. Vučević,CHI,Vučević S.FOUL (P1.T2) (J.Tiven),Foul,Shooting,0,0,0,0,,,h
S2425-G0091,1,06:46,CHI,10.0,OKC,12.0,N. Vučević,CHI,Vučević 27' 3PT Jump Shot (5 PTS) (Dosunmu 1 AST),Made Shot,Jump Shot,11,268,27,1,3.0,3.0,h
S2425-G0091,1,06:01,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,05:52,CHI,,OKC,,N. Vučević,CHI,MISS Vučević 4' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-32,27,4,1,2.0,0.0,h
S2425-G0091,1,03:52,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,03:44,CHI,13.0,OKC,16.0,N. Vučević,CHI,Vučević Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0091,1,03:44,CHI,14.0,OKC,16.0,N. Vučević,CHI,Vučević Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0091,1,03:29,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,03:07,CHI,,OKC,,N. Vučević,CHI,SUB: Smith FOR Vučević,Substitution,,0,0,0,0,,,h
S2425-G0091,2,06:49,CHI,34.0,OKC,35.0,N. Vučević,CHI,Vučević 26' 3PT Jump Shot (10 PTS),Made Shot,Jump Shot,-1,255,26,1,3.0,3.0,h
S2425-G0091,2,06:32,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,2,06:21,CHI,,OKC,,N. Vučević,CHI,Vučević S.FOUL (P2.T4) (J.Tiven),Foul,Shooting,0,0,0,0,,,h
S2425-G0091,2,06:10,CHI,36.0,OKC,37.0,N. Vučević,CHI,Vučević 9' Floating Jump Shot (12 PTS) (Dosunmu 2 AST),Made Shot,Floating Jump shot,-5,87,9,1,2.0,2.0,h
S2425-G0091,2,02:15,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,2,02:15,CHI,,OKC,,N. Vučević,CHI,Vučević Out of Bounds Lost Ball Turnover (P2.T13),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0091,3,10:25,CHI,44.0,OKC,61.0,N. Vučević,CHI,Vučević 11' Floating Jump Shot (14 PTS) (White 3 AST),Made Shot,Floating Jump shot,-70,85,11,1,2.0,2.0,h
S2425-G0091,3,10:01,CHI,,OKC,,N. Vučević,CHI,Vučević Bad Pass Turnover (P3.T16),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0091,3,09:54,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:1 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,3,09:38,CHI,,OKC,,N. Vučević,CHI,Vučević BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0091,3,08:47,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:1 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,3,06:57,CHI,46.0,OKC,67.0,N. Vučević,CHI,Vučević 2' Driving Hook Shot (16 PTS),Made Shot,Driving Hook Shot,-12,17,2,1,2.0,2.0,h
S2425-G0091,3,06:25,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:2 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,3,03:19,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:3 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,3,03:19,CHI,,OKC,,N. Vučević,CHI,MISS Vučević Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0091,3,03:13,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:3 Def:9),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,3,03:01,CHI,,OKC,,N. Vučević,CHI,SUB: Smith FOR Vučević,Substitution,,0,0,0,0,,,h
S2425-G0091,4,08:15,CHI,,OKC,,N. Vučević,CHI,Vučević REBOUND (Off:3 Def:10),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,4,06:47,CHI,79.0,OKC,101.0,N. Vučević,CHI,Vučević 1' Layup (18 PTS) (LaVine 3 AST),Made Shot,Layup Shot,-10,0,1,1,2.0,2.0,h
S2425-G0091,4,04:26,CHI,,OKC,,N. Vučević,CHI,SUB: Buzelis FOR Vučević,Substitution,,0,0,0,0,,,h
S2425-G0069,1,11:31,NOP,2.0,CHI,2.0,N. Vučević,CHI,Vučević 11' Hook Shot (2 PTS) (Giddey 1 AST),Made Shot,Hook Shot,-16,112,11,1,2.0,2.0,v
S2425-G0069,1,10:33,NOP,,CHI,,N. Vučević,CHI,MISS Vučević 26' 3PT Jump Shot,Missed Shot,Jump Shot,-158,204,26,1,3.0,0.0,v
S2425-G0069,1,09:17,NOP,,CHI,,N. Vučević,CHI,Vučević REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0069,1,07:57,NOP,,CHI,,N. Vučević,CHI,Vučević L.B.FOUL (P1.T2) (N.Green),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0069,1,07:38,NOP,,CHI,,N. Vučević,CHI,Vučević REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0069,1,07:07,NOP,8.0,CHI,9.0,N. Vučević,CHI,Vučević 2' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,-23,1,2,1,2.0,2.0,v
S2425-G0069,1,06:14,NOP,10.0,CHI,11.0,N. Vučević,CHI,Vučević 1' Cutting Layup Shot (6 PTS) (Giddey 2 AST),Made Shot,Cutting Layup Shot,12,4,1,1,2.0,2.0,v
S2425-G0069,1,03:40,NOP,,CHI,,N. Vučević,CHI,SUB: Phillips FOR Vučević,Substitution,,0,0,0,0,,,v
S2425-G0069,2,03:07,NOP,50.0,CHI,54.0,N. Vučević,CHI,Vučević 2' Layup (8 PTS) (Ball 3 AST),Made Shot,Layup Shot,15,5,2,1,2.0,2.0,v
S2425-G0069,2,01:52,NOP,,CHI,,N. Vučević,CHI,Vučević Offensive Charge Foul (P2) (G.Petraitis),Foul,Offensive Charge,0,0,0,0,,,v
S2425-G0069,2,01:52,NOP,,CHI,,N. Vučević,CHI,Vučević Offensive Foul Turnover (P1.T8),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0069,3,11:50,NOP,59.0,CHI,60.0,N. Vučević,CHI,Vučević 1' Cutting Dunk Shot (10 PTS) (Giddey 3 AST),Made Shot,Cutting Dunk Shot,0,-7,1,1,2.0,2.0,v
S2425-G0069,3,11:50,NOP,59.0,CHI,61.0,N. Vučević,CHI,Vučević Free Throw 1 of 1 (11 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
