game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0091,1,11:31,CHI,1.0,OKC,2.0,Z. LaVine,CHI,LaVine Free Throw Technical (1 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,h
S2425-G0091,1,09:06,CHI,,OKC,,Z. LaVine,CHI,LaVine REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,07:56,CHI,,OKC,,Z. LaVine,CHI,LaVine Out of Bounds - Bad Pass Turnover Turnover (P1.T4),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0091,1,05:35,CHI,,OKC,,Z. LaVine,CHI,LaVine REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,05:29,CHI,,OKC,,Z. LaVine,CHI,LaVine Lost Ball Turnover (P2.T6),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0091,1,05:15,CHI,,OKC,,Z. LaVine,CHI,LaVine REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,05:14,CHI,11.0,OKC,14.0,Z. LaVine,CHI,LaVine Free Throw 1 of 2 (2 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0091,1,05:14,CHI,12.0,OKC,14.0,Z. LaVine,CHI,LaVine Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0091,1,04:07,CHI,,OKC,,Z. LaVine,CHI,LaVine REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,1,04:00,CHI,,OKC,,Z. LaVine,CHI,MISS LaVine 5' Layup,Missed Shot,Layup Shot,-15,48,5,1,2.0,0.0,h
S2425-G0091,1,03:44,CHI,,OKC,,Z. LaVine,CHI,SUB: White FOR LaVine,Substitution,,0,0,0,0,,,h
S2425-G0091,2,09:14,CHI,,OKC,,Z. LaVine,CHI,MISS LaVine 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-12,247,25,1,3.0,0.0,h
S2425-G0091,2,08:56,CHI,27.0,OKC,32.0,Z. LaVine,CHI,LaVine Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0091,2,08:56,CHI,28.0,OKC,32.0,Z. LaVine,CHI,LaVine Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0091,2,05:17,CHI,,OKC,,Z. LaVine,CHI,LaVine BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0091,2,05:05,CHI,,OKC,,Z. LaVine,CHI,MISS LaVine 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,126,221,25,1,3.0,0.0,h
S2425-G0091,2,04:50,CHI,,OKC,,Z. LaVine,CHI,LaVine REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,2,04:00,CHI,,OKC,,Z. LaVine,CHI,LaVine Traveling Turnover (P3.T12),Turnover,Traveling,0,0,0,0,,,h
S2425-G0091,2,02:39,CHI,,OKC,,Z. LaVine,CHI,LaVine REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,2,01:28,CHI,,OKC,,Z. LaVine,CHI,LaVine Lost Ball Turnover (P4.T14),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0091,2,01:15,CHI,,OKC,,Z. LaVine,CHI,LaVine Bad Pass Turnover (P5.T15),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0091,2,00:52.200000,CHI,,OKC,,Z. LaVine,CHI,MISS LaVine 25' 3PT Jump Shot,Missed Shot,Jump Shot,150,205,25,1,3.0,0.0,h
S2425-G0091,2,00:20.200000,CHI,39.0,OKC,57.0,Z. LaVine,CHI,LaVine Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0091,2,00:20.200000,CHI,,OKC,,Z. LaVine,CHI,MISS LaVine Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0091,3,07:44,CHI,,OKC,,Z. LaVine,CHI,LaVine Bad Pass Turnover (P6.T17),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0091,3,07:31,CHI,,OKC,,Z. LaVine,CHI,LaVine REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0091,3,07:27,CHI,,OKC,,Z. LaVine,CHI,LaVine Lost Ball Turnover (P7.T18),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0091,3,06:35,CHI,,OKC,,Z. LaVine,CHI,LaVine REBOUND (Off:0 Def:8),Rebound,Unknown,0,0,0,0,,,h
