game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0106,1,11:42,NYK,0.0,CLE,2.0,D. Garland,CLE,Garland 3' Floating Jump Shot (2 PTS) (Wade 1 AST),Made Shot,Floating Jump shot,11,27,3,1,2.0,2.0,v
S2425-G0106,1,11:13,NYK,,CLE,,D. Garland,CLE,MISS Garland 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,69,155,17,1,2.0,0.0,v
S2425-G0106,1,07:42,NYK,,CLE,,D. Garland,CLE,Garland REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,1,07:38,NYK,4.0,CLE,9.0,D. Garland,CLE,Garland 26' 3PT Running Jump Shot (5 PTS),Made Shot,Running Jump Shot,-42,258,26,1,3.0,3.0,v
S2425-G0106,1,05:55,NYK,8.0,CLE,11.0,D. Garland,CLE,Garland 10' Floating Jump Shot (7 PTS),Made Shot,Floating Jump shot,48,89,10,1,2.0,2.0,v
S2425-G0106,1,05:47,NYK,,CLE,,D. Garland,CLE,Garland P.FOUL (P1.T2) (R.Mott),Foul,Personal,0,0,0,0,,,v
S2425-G0106,1,04:56,NYK,,CLE,,D. Garland,CLE,MISS Garland 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-150,205,25,1,3.0,0.0,v
S2425-G0106,1,04:03,NYK,,CLE,,D. Garland,CLE,MISS Garland 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-9,79,8,1,2.0,0.0,v
S2425-G0106,1,03:19,NYK,,CLE,,D. Garland,CLE,SUB: Mitchell FOR Garland,Substitution,,0,0,0,0,,,v
S2425-G0106,2,06:00,NYK,36.0,CLE,32.0,D. Garland,CLE,Garland Free Throw 1 of 1 (8 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2425-G0106,2,05:26,NYK,,CLE,,D. Garland,CLE,Garland REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,2,04:48,NYK,40.0,CLE,36.0,D. Garland,CLE,Garland 9' Pullup Jump Shot (10 PTS),Made Shot,Pullup Jump shot,11,85,9,1,2.0,2.0,v
S2425-G0106,2,03:34,NYK,,CLE,,D. Garland,CLE,Garland Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0106,2,03:17,NYK,,CLE,,D. Garland,CLE,MISS Garland 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-15,170,17,1,2.0,0.0,v
S2425-G0106,2,02:47,NYK,48.0,CLE,41.0,D. Garland,CLE,Garland 26' 3PT Jump Shot (13 PTS) (Mitchell 3 AST),Made Shot,Jump Shot,-194,169,26,1,3.0,3.0,v
S2425-G0106,2,00:23.900000,NYK,,CLE,,D. Garland,CLE,SUB: Okoro FOR Garland,Substitution,,0,0,0,0,,,v
S2425-G0106,3,11:26,NYK,,CLE,,D. Garland,CLE,Garland P.FOUL (P2.T1) (R.Hussey),Foul,Personal,0,0,0,0,,,v
S2425-G0106,3,10:12,NYK,55.0,CLE,49.0,D. Garland,CLE,Garland Free Throw 1 of 2 (14 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0106,3,10:12,NYK,55.0,CLE,50.0,D. Garland,CLE,Garland Free Throw 2 of 2 (15 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
