game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0106,1,10:21,NYK,,CLE,,J. Allen,CLE,Allen REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,1,10:12,NYK,2.0,CLE,4.0,J. Allen,CLE,Allen 1' Cutting Layup Shot (2 PTS) (Wade 2 AST),Made Shot,Cutting Layup Shot,-5,12,1,1,2.0,2.0,v
S2425-G0106,1,09:10,NYK,,CLE,,J. Allen,CLE,Allen REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,1,06:04,NYK,,CLE,,J. Allen,CLE,Allen REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,1,04:45,NYK,,CLE,,J. Allen,CLE,Allen REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,1,04:44,NYK,,CLE,,J. Allen,CLE,MISS Allen 2' Putback Layup,Missed Shot,Putback Layup Shot,-13,8,2,1,2.0,0.0,v
S2425-G0106,1,04:35,NYK,,CLE,,J. Allen,CLE,MISS Allen Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0106,1,04:35,NYK,10.0,CLE,12.0,J. Allen,CLE,Allen Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0106,1,04:02,NYK,,CLE,,J. Allen,CLE,Allen REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0106,1,03:42,NYK,10.0,CLE,13.0,J. Allen,CLE,Allen Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0106,1,03:42,NYK,10.0,CLE,14.0,J. Allen,CLE,Allen Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0106,1,03:19,NYK,,CLE,,J. Allen,CLE,SUB: Mobley FOR Allen,Substitution,,0,0,0,0,,,v
S2425-G0106,2,07:11,NYK,,CLE,,J. Allen,CLE,Allen OFF.Foul (P1) (S.Corbin),Foul,Offensive,0,0,0,0,,,v
S2425-G0106,2,07:11,NYK,,CLE,,J. Allen,CLE,Allen Offensive Foul Turnover (P1.T4),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0106,2,06:52,NYK,,CLE,,J. Allen,CLE,Allen REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,v
