game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0090,4,06:19,WAS,,CLE,,J. Tyson,CLE,Tyson S.FOUL (P1.PN) (M.Boland),Foul,Shooting,0,0,0,0,,,v
S2425-G0090,4,06:00,WAS,,CLE,,J. Tyson,CLE,Tyson Out of Bounds - Bad Pass Turnover Turnover (P1.T14),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0090,4,05:59,WAS,,CLE,,J. Tyson,CLE,Tyson P.FOUL (P2.PN) (A.Smith),Foul,Personal,0,0,0,0,,,v
S2425-G0090,4,05:02,WAS,,CLE,,J. Tyson,CLE,Tyson S.FOUL (P3.PN) (A.Smith),Foul,Shooting,0,0,0,0,,,v
S2425-G0090,4,04:37,WAS,,CLE,,J. Tyson,CLE,Tyson P.FOUL (P4.PN) (M.Boland),Foul,Personal,0,0,0,0,,,v
S2425-G0090,4,03:55,WAS,106.0,CLE,127.0,J. Tyson,CLE,Tyson 24' 3PT Jump Shot (3 PTS) (Jerome 3 AST),Made Shot,Jump Shot,-241,38,24,1,3.0,3.0,v
S2425-G0090,4,02:50,WAS,,CLE,,J. Tyson,CLE,Tyson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0090,4,01:38,WAS,,CLE,,J. Tyson,CLE,MISS Tyson 2' Reverse Layup,Missed Shot,Reverse Layup Shot,18,11,2,1,2.0,0.0,v
S2425-G0090,4,01:12,WAS,,CLE,,J. Tyson,CLE,MISS Tyson 7' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,33,56,7,1,2.0,0.0,v
S2425-G0090,4,01:06,WAS,,CLE,,J. Tyson,CLE,Tyson S.FOUL (P5.PN) (K.Cutler),Foul,Shooting,0,0,0,0,,,v
S2425-G0067,4,05:16,TOR,,CLE,,J. Tyson,CLE,Tyson Lost Ball Turnover (P1.T10),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0067,4,04:49,TOR,,CLE,,J. Tyson,CLE,Tyson Bad Pass Turnover (P2.T11),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0067,4,04:45,TOR,,CLE,,J. Tyson,CLE,Tyson S.FOUL (P1.T2) (S.Wright),Foul,Shooting,0,0,0,0,,,v
S2425-G0067,4,04:30,TOR,,CLE,,J. Tyson,CLE,MISS Tyson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0067,4,04:30,TOR,98.0,CLE,124.0,J. Tyson,CLE,Tyson Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0067,4,04:02,TOR,100.0,CLE,127.0,J. Tyson,CLE,Tyson 28' 3PT Jump Shot (4 PTS) (Porter Jr. 1 AST),Made Shot,Jump Shot,168,226,28,1,3.0,3.0,v
S2425-G0067,4,03:34,TOR,,CLE,,J. Tyson,CLE,Tyson P.FOUL (P2.T3) (J.Ralls),Foul,Personal,0,0,0,0,,,v
S2425-G0067,4,01:52,TOR,,CLE,,J. Tyson,CLE,Tyson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0067,4,01:23,TOR,,CLE,,J. Tyson,CLE,Tyson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0118,4,00:09.200000,CLE,,LAL,,J. Tyson,CLE,Tyson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
