game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,1,03:35,DAL,,SAS,,M. Kleber,DAL,Kleber REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,01:23,DAL,,SAS,,M. Kleber,DAL,MISS Kleber 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,21,66,7,1,2.0,0.0,h
S2425-G0074,1,00:23.500000,DAL,,SAS,,M. Kleber,DAL,Kleber REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,2,09:57,DAL,,SAS,,M. Kleber,DAL,MISS Kleber 5' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-1,46,5,1,2.0,0.0,h
S2425-G0074,2,09:50,DAL,,SAS,,M. Kleber,DAL,SUB: Washington FOR Kleber,Substitution,,0,0,0,0,,,h
S2425-G0074,3,02:31,DAL,,SAS,,M. Kleber,DAL,Kleber REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,3,02:26,DAL,83.0,SAS,75.0,M. Kleber,DAL,Kleber 3PT Running Jump Shot (3 PTS) (Marshall 1 AST),Made Shot,Running Jump Shot,-224,28,0,1,3.0,3.0,h
S2425-G0074,4,10:42,DAL,,SAS,,M. Kleber,DAL,Kleber BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0074,4,10:02,DAL,,SAS,,M. Kleber,DAL,Kleber P.FOUL (P1.T2) (J.Goldenberg),Foul,Personal,0,0,0,0,,,h
S2425-G0074,4,09:24,DAL,,SAS,,M. Kleber,DAL,Kleber REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,4,07:26,DAL,,SAS,,M. Kleber,DAL,SUB: Washington FOR Kleber,Substitution,,0,0,0,0,,,h
S2425-G0095,1,03:31,PHX,,DAL,,M. Kleber,DAL,Kleber P.FOUL (P1.PN) (J.Orr),Foul,Personal,0,0,0,0,,,v
S2425-G0095,2,08:42,PHX,,DAL,,M. Kleber,DAL,SUB: Washington FOR Kleber,Substitution,,0,0,0,0,,,v
S2425-G0095,2,04:07,PHX,51.0,DAL,40.0,M. Kleber,DAL,Kleber 15' Fadeaway Jumper (2 PTS) (Marshall 1 AST),Made Shot,Fadeaway Jump Shot,142,31,15,1,2.0,2.0,v
S2425-G0095,2,03:57,PHX,,DAL,,M. Kleber,DAL,Kleber P.FOUL (P2.PN) (S.Mehta),Foul,Personal,0,0,0,0,,,v
S2425-G0095,2,00:32.400000,PHX,,DAL,,M. Kleber,DAL,Kleber REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0095,3,00:24.200000,PHX,,DAL,,M. Kleber,DAL,SUB: Dončić FOR Kleber,Substitution,,0,0,0,0,,,v
S2425-G0095,4,10:08,PHX,,DAL,,M. Kleber,DAL,MISS Kleber 3PT Jump Shot,Missed Shot,Jump Shot,228,18,0,1,3.0,0.0,v
S2425-G0095,4,09:42,PHX,,DAL,,M. Kleber,DAL,SUB: Washington FOR Kleber,Substitution,,0,0,0,0,,,v
