game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0107,1,08:33,TOR,13.0,DEN,10.0,J. Murray,DEN,Murray 12' Turnaround Fadeaway (2 PTS),Made Shot,Turnaround Fadeaway shot,-48,114,12,1,2.0,2.0,v
S2425-G0107,1,08:09,TOR,15.0,DEN,12.0,J. Murray,DEN,Murray 14' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,-109,80,14,1,2.0,2.0,v
S2425-G0107,1,06:14,TOR,,DEN,,J. Murray,DEN,MISS Murray 25' 3PT Jump Shot,Missed Shot,Jump Shot,12,252,25,1,3.0,0.0,v
S2425-G0107,1,05:33,TOR,,DEN,,J. Murray,DEN,Murray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,1,04:45,TOR,19.0,DEN,21.0,J. Murray,DEN,Murray Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,1,04:45,TOR,19.0,DEN,22.0,J. Murray,DEN,Murray Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,1,03:38,TOR,,DEN,,J. Murray,DEN,MISS Murray 5' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-42,19,5,1,2.0,0.0,v
S2425-G0107,1,03:33,TOR,,DEN,,J. Murray,DEN,SUB: Porter Jr. FOR Murray,Substitution,,0,0,0,0,,,v
S2425-G0107,2,07:12,TOR,,DEN,,J. Murray,DEN,Murray P.FOUL (P1.T1) (A.Smith),Foul,Personal,0,0,0,0,,,v
S2425-G0107,2,06:17,TOR,,DEN,,J. Murray,DEN,MISS Murray 3' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-25,0,3,1,2.0,0.0,v
S2425-G0107,2,03:58,TOR,,DEN,,J. Murray,DEN,MISS Murray 17' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,109,130,17,1,2.0,0.0,v
