game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0107,1,10:25,TOR,4.0,DEN,5.0,N. Jokić,DEN,Jokić 6' Hook Shot (2 PTS) (Murray 1 AST),Made Shot,Hook Shot,50,38,6,1,2.0,2.0,v
S2425-G0107,1,09:57,TOR,,DEN,,N. Jokić,DEN,MISS Jokić 7' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,60,32,7,1,2.0,0.0,v
S2425-G0107,1,09:33,TOR,9.0,DEN,8.0,N. Jokić,DEN,Jokić 27' 3PT Jump Shot (5 PTS) (Murray 2 AST),Made Shot,Jump Shot,115,247,27,1,3.0,3.0,v
S2425-G0107,1,07:19,TOR,15.0,DEN,16.0,N. Jokić,DEN,Jokić 3' Turnaround Bank Hook Shot (7 PTS),Made Shot,Turnaround Bank Hook Shot,28,19,3,1,2.0,2.0,v
S2425-G0107,1,06:59,TOR,,DEN,,N. Jokić,DEN,Jokić STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0107,1,04:01,TOR,,DEN,,N. Jokić,DEN,Jokić REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,1,04:01,TOR,,DEN,,N. Jokić,DEN,Jokić Out of Bounds - Bad Pass Turnover Turnover (P1.T4),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0107,1,03:50,TOR,,DEN,,N. Jokić,DEN,Jokić REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,1,03:36,TOR,,DEN,,N. Jokić,DEN,Jokić REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,1,03:36,TOR,21.0,DEN,24.0,N. Jokić,DEN,Jokić Tip Layup Shot (9 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0107,1,03:08,TOR,24.0,DEN,27.0,N. Jokić,DEN,Jokić 25' 3PT Jump Shot (12 PTS) (Watson 1 AST),Made Shot,Jump Shot,120,219,25,1,3.0,3.0,v
S2425-G0107,1,01:56,TOR,,DEN,,N. Jokić,DEN,Jokić REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,1,01:52,TOR,,DEN,,N. Jokić,DEN,SUB: Šarić FOR Jokić,Substitution,,0,0,0,0,,,v
S2425-G0107,2,07:32,TOR,42.0,DEN,41.0,N. Jokić,DEN,Jokić 8' Turnaround Hook Shot (14 PTS),Made Shot,Turnaround Hook Shot,55,63,8,1,2.0,2.0,v
S2425-G0107,2,06:50,TOR,,DEN,,N. Jokić,DEN,Jokić Bad Pass Turnover (P2.T9),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0107,2,05:42,TOR,,DEN,,N. Jokić,DEN,Jokić BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0107,2,05:40,TOR,,DEN,,N. Jokić,DEN,Jokić REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,2,03:27,TOR,,DEN,,N. Jokić,DEN,Jokić BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0107,2,03:26,TOR,,DEN,,N. Jokić,DEN,Jokić REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,2,02:15,TOR,55.0,DEN,49.0,N. Jokić,DEN,Jokić 9' Floating Jump Shot (16 PTS),Made Shot,Floating Jump shot,40,79,9,1,2.0,2.0,v
S2425-G0107,2,01:07,TOR,,DEN,,N. Jokić,DEN,Jokić S.FOUL (P1.PN) (S.Mitchell),Foul,Shooting,0,0,0,0,,,v
S2425-G0107,3,11:48,TOR,,DEN,,N. Jokić,DEN,MISS Jokić 9' Jump Shot,Missed Shot,Jump Shot,-2,86,9,1,2.0,0.0,v
S2425-G0107,3,09:54,TOR,,DEN,,N. Jokić,DEN,MISS Jokić 12' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-53,113,12,1,2.0,0.0,v
S2425-G0107,3,08:32,TOR,71.0,DEN,60.0,N. Jokić,DEN,Jokić 7' Turnaround Hook Shot (18 PTS) (Gordon 7 AST),Made Shot,Turnaround Hook Shot,-4,65,7,1,2.0,2.0,v
S2425-G0107,3,05:09,TOR,,DEN,,N. Jokić,DEN,MISS Jokić Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0107,3,05:09,TOR,78.0,DEN,71.0,N. Jokić,DEN,Jokić Free Throw 2 of 2 (19 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,3,02:39,TOR,,DEN,,N. Jokić,DEN,MISS Jokić 3' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-25,7,3,1,2.0,0.0,v
S2425-G0107,3,02:34,TOR,,DEN,,N. Jokić,DEN,Jokić REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,3,02:34,TOR,86.0,DEN,77.0,N. Jokić,DEN,Jokić Putback Layup (21 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0107,3,01:54,TOR,,DEN,,N. Jokić,DEN,MISS Jokić 7' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-11,70,7,1,2.0,0.0,v
S2425-G0107,3,01:37,TOR,,DEN,,N. Jokić,DEN,Jokić REBOUND (Off:2 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,3,00:48.800000,TOR,,DEN,,N. Jokić,DEN,Jokić REBOUND (Off:2 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,3,00:21.700000,TOR,88.0,DEN,83.0,N. Jokić,DEN,Jokić 4' Layup (23 PTS) (Watson 2 AST),Made Shot,Layup Shot,-16,36,4,1,2.0,2.0,v
S2425-G0107,3,00:06.500000,TOR,,DEN,,N. Jokić,DEN,SUB: Gordon FOR Jokić,Substitution,,0,0,0,0,,,v
S2425-G0107,4,08:41,TOR,,DEN,,N. Jokić,DEN,MISS Jokić 26' 3PT Jump Shot,Missed Shot,Jump Shot,223,142,26,1,3.0,0.0,v
S2425-G0107,4,08:09,TOR,,DEN,,N. Jokić,DEN,Jokić REBOUND (Off:3 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,4,07:21,TOR,,DEN,,N. Jokić,DEN,MISS Jokić 5' Cutting Finger Roll Layup Shot,Missed Shot,Cutting Finger Roll Layup Shot,18,44,5,1,2.0,0.0,v
S2425-G0107,4,05:41,TOR,106.0,DEN,99.0,N. Jokić,DEN,Jokić 6' Driving Finger Roll Layup (25 PTS),Made Shot,Driving Finger Roll Layup Shot,5,58,6,1,2.0,2.0,v
S2425-G0107,4,03:11,TOR,108.0,DEN,101.0,N. Jokić,DEN,Jokić 8' Turnaround Hook Shot (27 PTS),Made Shot,Turnaround Hook Shot,-27,70,8,1,2.0,2.0,v
S2425-G0107,4,02:49,TOR,,DEN,,N. Jokić,DEN,MISS Jokić 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,124,236,27,1,3.0,0.0,v
S2425-G0107,4,02:33,TOR,,DEN,,N. Jokić,DEN,Jokić Out of Bounds - Bad Pass Turnover Turnover (P3.T16),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0107,4,01:19,TOR,112.0,DEN,106.0,N. Jokić,DEN,Jokić 9' Turnaround Hook Shot (29 PTS) (Murray 4 AST),Made Shot,Turnaround Hook Shot,32,83,9,1,2.0,2.0,v
S2425-G0107,4,00:55.600000,TOR,112.0,DEN,108.0,N. Jokić,DEN,Jokić 6' Turnaround Hook Shot (31 PTS),Made Shot,Turnaround Hook Shot,47,29,6,1,2.0,2.0,v
S2425-G0107,4,00:14.800000,TOR,113.0,DEN,112.0,N. Jokić,DEN,Jokić 5' Driving Finger Roll Layup (33 PTS) (Murray 6 AST),Made Shot,Driving Finger Roll Layup Shot,2,53,5,1,2.0,2.0,v
S2425-G0107,5,04:45,TOR,114.0,DEN,116.0,N. Jokić,DEN,Jokić 6' Turnaround Hook Shot (35 PTS),Made Shot,Turnaround Hook Shot,62,18,6,1,2.0,2.0,v
S2425-G0107,5,03:47,TOR,116.0,DEN,122.0,N. Jokić,DEN,Jokić 27' 3PT Running Jump Shot (38 PTS) (Porter Jr. 2 AST),Made Shot,Running Jump Shot,-18,270,27,1,3.0,3.0,v
S2425-G0107,5,02:55,TOR,116.0,DEN,124.0,N. Jokić,DEN,Jokić 1' Running Finger Roll Layup (40 PTS) (Murray 7 AST),Made Shot,Running Finger Roll Layup Shot,-6,4,1,1,2.0,2.0,v
S2425-G0107,5,02:13,TOR,,DEN,,N. Jokić,DEN,MISS Jokić 9' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-38,80,9,1,2.0,0.0,v
S2425-G0107,5,00:32.200000,TOR,,DEN,,N. Jokić,DEN,Jokić S.FOUL (P2.T1) (S.Mitchell),Foul,Shooting,0,0,0,0,,,v
S2425-G0075,1,11:41,DEN,,OKC,,N. Jokić,DEN,Jokić BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0075,1,11:30,DEN,3.0,OKC,0.0,N. Jokić,DEN,Jokić 24' 3PT Jump Shot (3 PTS) (Gordon 1 AST),Made Shot,Jump Shot,61,237,24,1,3.0,3.0,h
S2425-G0075,1,08:20,DEN,,OKC,,N. Jokić,DEN,Jokić REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,1,07:47,DEN,,OKC,,N. Jokić,DEN,Jokić S.FOUL (P1.T1) (D.Scott),Foul,Shooting,0,0,0,0,,,h
S2425-G0075,1,07:10,DEN,,OKC,,N. Jokić,DEN,Jokić REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,1,06:26,DEN,18.0,OKC,10.0,N. Jokić,DEN,Jokić 4' Driving Layup (5 PTS) (Murray 2 AST),Made Shot,Driving Layup Shot,32,20,4,1,2.0,2.0,h
S2425-G0075,1,05:48,DEN,,OKC,,N. Jokić,DEN,Jokić STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0075,1,05:47,DEN,,OKC,,N. Jokić,DEN,MISS Jokić Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0075,1,05:47,DEN,19.0,OKC,10.0,N. Jokić,DEN,Jokić Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0075,1,03:14,DEN,23.0,OKC,23.0,N. Jokić,DEN,Jokić 1' Dunk (8 PTS) (Westbrook 2 AST),Made Shot,Dunk Shot,6,-13,1,1,2.0,2.0,h
S2425-G0075,1,02:34,DEN,,OKC,,N. Jokić,DEN,SUB: Šarić FOR Jokić,Substitution,,0,0,0,0,,,h
S2425-G0075,2,06:52,DEN,,OKC,,N. Jokić,DEN,Jokić REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0075,2,06:10,DEN,35.0,OKC,44.0,N. Jokić,DEN,Jokić Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0075,2,06:10,DEN,36.0,OKC,44.0,N. Jokić,DEN,Jokić Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0075,2,05:40,DEN,38.0,OKC,46.0,N. Jokić,DEN,Jokić 3' Driving Finger Roll Layup (12 PTS) (Braun 1 AST),Made Shot,Driving Finger Roll Layup Shot,25,5,3,1,2.0,2.0,h
S2425-G0075,2,01:57,DEN,,OKC,,N. Jokić,DEN,MISS Jokić 29' 3PT Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,69,279,29,1,3.0,0.0,h
S2425-G0075,2,00:40.400000,DEN,,OKC,,N. Jokić,DEN,Jokić Violation:Kicked Ball (J.Orr),Violation,Kicked Ball,0,0,0,0,,,h
