game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0107,1,01:16,TOR,,DEN,,R. Westbrook,DEN,Westbrook S.FOUL (P1.T2) (J.Capers),Foul,Shooting,0,0,0,0,,,v
S2425-G0107,1,00:46.900000,TOR,,DEN,,R. Westbrook,DEN,Westbrook REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,1,00:38.900000,TOR,,DEN,,R. Westbrook,DEN,MISS Westbrook 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,5,168,17,1,2.0,0.0,v
S2425-G0107,2,11:51,TOR,,DEN,,R. Westbrook,DEN,MISS Westbrook 3' Driving Layup,Missed Shot,Driving Layup Shot,-21,14,3,1,2.0,0.0,v
S2425-G0107,2,11:50,TOR,,DEN,,R. Westbrook,DEN,Westbrook REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,2,11:49,TOR,30.0,DEN,30.0,R. Westbrook,DEN,Westbrook Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,2,11:49,TOR,,DEN,,R. Westbrook,DEN,MISS Westbrook Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0107,2,11:16,TOR,,DEN,,R. Westbrook,DEN,Westbrook Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0107,2,08:40,TOR,38.0,DEN,36.0,R. Westbrook,DEN,Westbrook 3' Running Finger Roll Layup (3 PTS) (Gordon 3 AST),Made Shot,Running Finger Roll Layup Shot,20,21,3,1,2.0,2.0,v
S2425-G0107,2,06:40,TOR,,DEN,,R. Westbrook,DEN,SUB: Braun FOR Westbrook,Substitution,,0,0,0,0,,,v
S2425-G0107,3,01:59,TOR,,DEN,,R. Westbrook,DEN,Westbrook REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,3,01:09,TOR,88.0,DEN,80.0,R. Westbrook,DEN,Westbrook Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,3,01:09,TOR,88.0,DEN,81.0,R. Westbrook,DEN,Westbrook Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0107,4,11:24,TOR,,DEN,,R. Westbrook,DEN,Westbrook FLAGRANT.FOUL.TYPE1 (P2.T1) (J.Capers),Foul,Flagrant Type 1,0,0,0,0,,,v
S2425-G0107,4,11:01,TOR,,DEN,,R. Westbrook,DEN,Westbrook REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0107,4,10:51,TOR,89.0,DEN,85.0,R. Westbrook,DEN,Westbrook 7' Turnaround Fadeaway (7 PTS),Made Shot,Turnaround Fadeaway shot,11,71,7,1,2.0,2.0,v
S2425-G0107,4,09:57,TOR,,DEN,,R. Westbrook,DEN,MISS Westbrook 13' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-134,13,13,1,2.0,0.0,v
S2425-G0107,4,09:04,TOR,,DEN,,R. Westbrook,DEN,Westbrook Bad Pass Turnover (P2.T15),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0107,4,08:22,TOR,,DEN,,R. Westbrook,DEN,Westbrook STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0107,4,08:10,TOR,,DEN,,R. Westbrook,DEN,MISS Westbrook 26' 3PT Jump Shot,Missed Shot,Jump Shot,211,155,26,1,3.0,0.0,v
S2425-G0107,4,07:43,TOR,,DEN,,R. Westbrook,DEN,Westbrook S.FOUL (P3.T4) (J.Capers),Foul,Shooting,0,0,0,0,,,v
S2425-G0107,4,07:32,TOR,,DEN,,R. Westbrook,DEN,SUB: Braun FOR Westbrook,Substitution,,0,0,0,0,,,v
S2425-G0107,4,00:24,TOR,112.0,DEN,110.0,R. Westbrook,DEN,Westbrook 1' Layup (9 PTS) (Murray 5 AST),Made Shot,Layup Shot,-9,0,1,1,2.0,2.0,v
S2425-G0107,4,00:21.300000,TOR,,DEN,,R. Westbrook,DEN,Westbrook P.FOUL (P4.PN) (J.Capers),Foul,Personal,0,0,0,0,,,v
S2425-G0107,4,00:21,TOR,,DEN,,R. Westbrook,DEN,SUB: Porter Jr. FOR Westbrook,Substitution,,0,0,0,0,,,v
S2425-G0075,1,04:11,DEN,,OKC,,R. Westbrook,DEN,Westbrook Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0075,1,03:45,DEN,,OKC,,R. Westbrook,DEN,MISS Westbrook 25' 3PT Jump Shot,Missed Shot,Jump Shot,6,253,25,1,3.0,0.0,h
S2425-G0075,1,00:48.800000,DEN,,OKC,,R. Westbrook,DEN,MISS Westbrook Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
