game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0080,1,11:32,CLE,0.0,DET,2.0,C. Cunningham,DET,Cunningham 18' Running Jump Shot (2 PTS),Made Shot,Running Jump Shot,165,73,18,1,2.0,2.0,v
S2425-G0080,1,10:46,CLE,3.0,DET,4.0,C. Cunningham,DET,Cunningham 12' Fadeaway Jumper (4 PTS),Made Shot,Fadeaway Jump Shot,-45,106,12,1,2.0,2.0,v
S2425-G0080,1,10:18,CLE,,DET,,C. Cunningham,DET,Cunningham Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0080,1,09:53,CLE,6.0,DET,7.0,C. Cunningham,DET,Cunningham 25' 3PT Jump Shot (7 PTS) (Harris 1 AST),Made Shot,Jump Shot,-56,245,25,1,3.0,3.0,v
S2425-G0080,1,09:00,CLE,,DET,,C. Cunningham,DET,MISS Cunningham 2' Driving Layup,Missed Shot,Driving Layup Shot,-15,5,2,1,2.0,0.0,v
S2425-G0080,1,08:50,CLE,,DET,,C. Cunningham,DET,Cunningham Bad Pass Turnover (P2.T2),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0080,1,05:34,CLE,,DET,,C. Cunningham,DET,Cunningham Bad Pass Turnover (P3.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0080,1,05:01,CLE,,DET,,C. Cunningham,DET,MISS Cunningham 26' 3PT Jump Shot,Missed Shot,Jump Shot,25,255,26,1,3.0,0.0,v
S2425-G0080,1,04:35,CLE,,DET,,C. Cunningham,DET,Cunningham Out of Bounds - Bad Pass Turnover Turnover (P4.T5),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0080,1,04:03,CLE,24.0,DET,21.0,C. Cunningham,DET,Cunningham 11' Turnaround Fadeaway (9 PTS),Made Shot,Turnaround Fadeaway shot,49,101,11,1,2.0,2.0,v
