game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0080,1,07:55,CLE,12.0,DET,12.0,J. Ivey,DET,Ivey 27' 3PT Jump Shot (3 PTS) (Cunningham 1 AST),Made Shot,Jump Shot,76,264,27,1,3.0,3.0,v
S2425-G0080,1,07:39,CLE,,DET,,J. Ivey,DET,Ivey REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,07:17,CLE,,DET,,J. Ivey,DET,Ivey REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,07:13,CLE,,DET,,J. Ivey,DET,Ivey Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0080,1,06:46,CLE,12.0,DET,17.0,J. Ivey,DET,Ivey 1' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,2,9,1,1,2.0,2.0,v
S2425-G0080,1,06:02,CLE,15.0,DET,19.0,J. Ivey,DET,Ivey 1' Driving Layup (7 PTS) (Duren 1 AST),Made Shot,Driving Layup Shot,-6,5,1,1,2.0,2.0,v
S2425-G0080,1,06:02,CLE,,DET,,J. Ivey,DET,MISS Ivey Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2425-G0080,1,05:28,CLE,,DET,,J. Ivey,DET,SUB: Stewart FOR Ivey,Substitution,,0,0,0,0,,,v
S2425-G0080,1,02:17,CLE,,DET,,J. Ivey,DET,Ivey Bad Pass Turnover (P2.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0080,1,01:48,CLE,,DET,,J. Ivey,DET,Ivey REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,1,00:39.700000,CLE,,DET,,J. Ivey,DET,MISS Ivey 1' Driving Layup,Missed Shot,Driving Layup Shot,-2,5,1,1,2.0,0.0,v
S2425-G0080,2,11:43,CLE,,DET,,J. Ivey,DET,MISS Ivey 1' Driving Layup,Missed Shot,Driving Layup Shot,-1,5,1,1,2.0,0.0,v
