game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0080,1,05:08,CLE,,DET,,M. Beasley,DET,MISS Beasley 3PT Jump Shot,Missed Shot,Jump Shot,229,52,0,1,3.0,0.0,v
S2425-G0080,1,03:08,CLE,24.0,DET,24.0,M. Beasley,DET,Beasley 25' 3PT Pullup Jump Shot (3 PTS) (Stewart 1 AST),Made Shot,Pullup Jump shot,-121,216,25,1,3.0,3.0,v
S2425-G0080,1,02:48,CLE,24.0,DET,27.0,M. Beasley,DET,Beasley 24' 3PT Running Jump Shot (6 PTS) (Cunningham 2 AST),Made Shot,Running Jump Shot,-235,-13,24,1,3.0,3.0,v
S2425-G0080,1,01:47,CLE,26.0,DET,29.0,M. Beasley,DET,Beasley 1' Running Dunk (8 PTS) (Ivey 2 AST),Made Shot,Running Dunk Shot,1,6,1,1,2.0,2.0,v
S2425-G0080,1,01:10,CLE,,DET,,M. Beasley,DET,MISS Beasley 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,203,214,29,1,3.0,0.0,v
S2425-G0080,2,11:19,CLE,,DET,,M. Beasley,DET,Beasley REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,2,09:28,CLE,31.0,DET,35.0,M. Beasley,DET,Beasley 18' Pullup Jump Shot (10 PTS),Made Shot,Pullup Jump shot,-114,140,18,1,2.0,2.0,v
S2425-G0080,2,08:38,CLE,35.0,DET,38.0,M. Beasley,DET,Beasley 26' 3PT Pullup Jump Shot (13 PTS) (Ivey 3 AST),Made Shot,Pullup Jump shot,121,235,26,1,3.0,3.0,v
S2425-G0080,2,07:46,CLE,,DET,,M. Beasley,DET,Beasley S.FOUL (P1.T1) (D.Taylor),Foul,Shooting,0,0,0,0,,,v
S2425-G0080,2,06:15,CLE,,DET,,M. Beasley,DET,SUB: Hardaway Jr. FOR Beasley,Substitution,,0,0,0,0,,,v
