game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0080,1,07:37,CLE,12.0,DET,15.0,T. Hardaway Jr.,DET,Hardaway Jr. 24' 3PT Running Jump Shot (3 PTS) (Ivey 1 AST),Made Shot,Running Jump Shot,225,93,24,1,3.0,3.0,v
S2425-G0080,1,06:33,CLE,,DET,,T. Hardaway Jr.,DET,MISS Hardaway Jr. 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,216,124,25,1,3.0,0.0,v
S2425-G0080,1,04:49,CLE,,DET,,T. Hardaway Jr.,DET,SUB: Fontecchio FOR Hardaway Jr.,Substitution,,0,0,0,0,,,v
S2425-G0080,2,05:00,CLE,46.0,DET,46.0,T. Hardaway Jr.,DET,Hardaway Jr. 25' 3PT Jump Shot (6 PTS) (Cunningham 3 AST),Made Shot,Jump Shot,-97,234,25,1,3.0,3.0,v
S2425-G0080,3,10:33,CLE,,DET,,T. Hardaway Jr.,DET,Hardaway Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,3,10:31,CLE,,DET,,T. Hardaway Jr.,DET,Hardaway Jr. Bad Pass Turnover (P1.T15),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0080,3,10:15,CLE,,DET,,T. Hardaway Jr.,DET,Hardaway Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0080,3,09:31,CLE,69.0,DET,60.0,T. Hardaway Jr.,DET,Hardaway Jr. 3PT Jump Shot (9 PTS) (Harris 3 AST),Made Shot,Jump Shot,228,4,0,1,3.0,3.0,v
S2425-G0080,3,07:33,CLE,,DET,,T. Hardaway Jr.,DET,Hardaway Jr. P.FOUL (P1.PN) (C.Flores),Foul,Personal,0,0,0,0,,,v
S2425-G0080,3,06:30,CLE,,DET,,T. Hardaway Jr.,DET,MISS Hardaway Jr. 10' Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-82,54,10,1,2.0,0.0,v
S2425-G0080,3,06:24,CLE,,DET,,T. Hardaway Jr.,DET,SUB: Holland II FOR Hardaway Jr.,Substitution,,0,0,0,0,,,v
S2425-G0080,3,00:39,CLE,,DET,,T. Hardaway Jr.,DET,Hardaway Jr. REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
