game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0126,2,09:00,GSW,,NOP,,G. Payton II,GSW,Payton II OFF.Foul (P1) (M.Kallio),Foul,Offensive,0,0,0,0,,,h
S2425-G0126,2,09:00,GSW,,NOP,,G. Payton II,GSW,Payton II Offensive Foul Turnover (P1.T7),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0126,2,08:41,GSW,,NOP,,G. Payton II,GSW,SUB: Podziemski FOR Payton II,Substitution,,0,0,0,0,,,h
S2425-G0126,2,05:21,GSW,,NOP,,G. Payton II,GSW,Payton II S.FOUL (P2.T3) (B.Taylor),Foul,Shooting,0,0,0,0,,,h
S2425-G0126,2,03:53,GSW,,NOP,,G. Payton II,GSW,SUB: Waters III FOR Payton II,Substitution,,0,0,0,0,,,h
S2425-G0126,4,00:15.400000,GSW,,NOP,,G. Payton II,GSW,Payton II REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,1,04:17,GSW,26.0,LAC,23.0,G. Payton II,GSW,Payton II 2' Cutting Layup Shot (2 PTS) (Podziemski 1 AST),Made Shot,Cutting Layup Shot,-17,9,2,1,2.0,2.0,h
S2425-G0101,1,03:02,GSW,28.0,LAC,25.0,G. Payton II,GSW,Payton II Reverse Layup (4 PTS) (Curry 4 AST),Made Shot,Reverse Layup Shot,1,0,0,1,2.0,2.0,h
S2425-G0101,1,00:18,GSW,,LAC,,G. Payton II,GSW,Payton II REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,1,00:18,GSW,33.0,LAC,32.0,G. Payton II,GSW,Payton II Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0101,1,00:18,GSW,34.0,LAC,32.0,G. Payton II,GSW,Payton II Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0101,1,00:01.100000,GSW,,LAC,,G. Payton II,GSW,Payton II S.FOUL (P1.PN) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2425-G0101,3,08:07,GSW,,LAC,,G. Payton II,GSW,MISS Payton II 2' Reverse Layup,Missed Shot,Reverse Layup Shot,-4,18,2,1,2.0,0.0,h
S2425-G0101,3,07:23,GSW,,LAC,,G. Payton II,GSW,Payton II REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,3,06:23,GSW,,LAC,,G. Payton II,GSW,MISS Payton II 25' 3PT Jump Shot,Missed Shot,Jump Shot,-167,191,25,1,3.0,0.0,h
S2425-G0101,3,05:44,GSW,,LAC,,G. Payton II,GSW,Payton II REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,3,03:04,GSW,,LAC,,G. Payton II,GSW,MISS Payton II 6' Driving Layup,Missed Shot,Driving Layup Shot,50,34,6,1,2.0,0.0,h
S2425-G0072,1,05:04,POR,,GSW,,G. Payton II,GSW,MISS Payton II 3PT Jump Shot,Missed Shot,Jump Shot,222,6,0,1,3.0,0.0,v
S2425-G0072,1,04:25,POR,,GSW,,G. Payton II,GSW,Payton II STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0072,1,04:21,POR,18.0,GSW,11.0,G. Payton II,GSW,Payton II 2' Running Layup (2 PTS),Made Shot,Running Layup Shot,-23,1,2,1,2.0,2.0,v
S2425-G0072,1,03:40,POR,18.0,GSW,13.0,G. Payton II,GSW,Payton II 1' Cutting Layup Shot (4 PTS) (Looney 1 AST),Made Shot,Cutting Layup Shot,0,6,1,1,2.0,2.0,v
S2425-G0072,1,01:39,POR,,GSW,,G. Payton II,GSW,SUB: Anderson FOR Payton II,Substitution,,0,0,0,0,,,v
S2425-G0072,3,05:07,POR,,GSW,,G. Payton II,GSW,Payton II REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0072,3,02:46,POR,,GSW,,G. Payton II,GSW,SUB: Anderson FOR Payton II,Substitution,,0,0,0,0,,,v
S2425-G0072,4,01:41,POR,98.0,GSW,132.0,G. Payton II,GSW,Payton II Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0072,4,01:41,POR,98.0,GSW,133.0,G. Payton II,GSW,Payton II Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0072,4,00:57.400000,POR,101.0,GSW,137.0,G. Payton II,GSW,Payton II 1' Cutting Layup Shot (8 PTS) (Santos 1 AST),Made Shot,Cutting Layup Shot,-13,-5,1,1,2.0,2.0,v
S2425-G0072,4,00:13.500000,POR,,GSW,,G. Payton II,GSW,Payton II STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0116,1,06:40,GSW,,NOP,,G. Payton II,GSW,Payton II BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0116,1,06:40,GSW,,NOP,,G. Payton II,GSW,Jump Ball Payton II vs. Hawkins: Tip to Jones,Jump Ball,,0,0,0,0,,,h
S2425-G0116,1,05:34,GSW,,NOP,,G. Payton II,GSW,MISS Payton II 27' 3PT Jump Shot,Missed Shot,Jump Shot,129,232,27,1,3.0,0.0,h
S2425-G0116,1,03:14,GSW,,NOP,,G. Payton II,GSW,Payton II Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0116,1,02:59,GSW,,NOP,,G. Payton II,GSW,SUB: Waters III FOR Payton II,Substitution,,0,0,0,0,,,h
S2425-G0116,2,04:43,GSW,37.0,NOP,42.0,G. Payton II,GSW,Payton II 3' Running Dunk (2 PTS),Made Shot,Running Dunk Shot,-9,27,3,1,2.0,2.0,h
