game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0126,4,00:24.800000,GSW,,NOP,,G. Santos,GSW,MISS Santos 25' 3PT Jump Shot,Missed Shot,Jump Shot,-217,130,25,1,3.0,0.0,h
S2425-G0072,4,04:26,POR,89.0,GSW,118.0,G. Santos,GSW,Santos Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0072,4,04:26,POR,,GSW,,G. Santos,GSW,MISS Santos Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0072,4,03:48,POR,,GSW,,G. Santos,GSW,Santos S.FOUL (P1.PN) (T.Maddox),Foul,Shooting,0,0,0,0,,,v
S2425-G0072,4,02:37,POR,93.0,GSW,128.0,G. Santos,GSW,Santos 1' Running Dunk (3 PTS) (Podziemski 4 AST),Made Shot,Running Dunk Shot,2,-12,1,1,2.0,2.0,v
S2425-G0072,4,01:23,POR,,GSW,,G. Santos,GSW,Santos REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0116,4,02:14,GSW,,NOP,,G. Santos,GSW,Santos Bad Pass Turnover (P1.T8),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0084,4,05:48,UTA,,GSW,,G. Santos,GSW,Santos S.FOUL (P1.PN) (J.Goble),Foul,Shooting,0,0,0,0,,,v
S2425-G0084,4,04:35,UTA,,GSW,,G. Santos,GSW,Santos L.B.FOUL (P2.PN) (J.Goble),Foul,Loose Ball,0,0,0,0,,,v
S2425-G0084,4,03:08,UTA,,GSW,,G. Santos,GSW,Santos REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0084,4,01:41,UTA,,GSW,,G. Santos,GSW,Santos REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0084,4,01:27,UTA,,GSW,,G. Santos,GSW,Santos Lost Ball Turnover (P1.T14),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0084,4,00:23.300000,UTA,,GSW,,G. Santos,GSW,Santos REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
