game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0126,1,02:23,GSW,,NOP,,J. Kuminga,GSW,MISS Kuminga 4' Running Layup,Missed Shot,Running Layup Shot,11,40,4,1,2.0,0.0,h
S2425-G0126,1,02:19,GSW,,NOP,,J. Kuminga,GSW,Kuminga REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,1,02:19,GSW,,NOP,,J. Kuminga,GSW,MISS Kuminga Putback Layup,Missed Shot,Putback Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0126,1,01:47,GSW,23.0,NOP,15.0,J. Kuminga,GSW,Kuminga 6' Driving Layup (2 PTS) (Moody 1 AST),Made Shot,Driving Layup Shot,-47,31,6,1,2.0,2.0,h
S2425-G0126,1,00:35.800000,GSW,,NOP,,J. Kuminga,GSW,Kuminga Out of Bounds Lost Ball Turnover (P1.T5),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0126,1,00:03.500000,GSW,28.0,NOP,20.0,J. Kuminga,GSW,Kuminga 7' Pullup Jump Shot (4 PTS) (Anderson 1 AST),Made Shot,Pullup Jump shot,-59,35,7,1,2.0,2.0,h
S2425-G0126,2,11:25,GSW,30.0,NOP,20.0,J. Kuminga,GSW,Kuminga 14' Step Back Jump Shot (6 PTS) (Payton II 1 AST),Made Shot,Step Back Jump shot,-48,127,14,1,2.0,2.0,h
S2425-G0126,2,11:04,GSW,,NOP,,J. Kuminga,GSW,Kuminga REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,2,08:41,GSW,,NOP,,J. Kuminga,GSW,SUB: Anderson FOR Kuminga,Substitution,,0,0,0,0,,,h
S2425-G0126,2,03:30,GSW,,NOP,,J. Kuminga,GSW,Kuminga REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,3,03:37,GSW,,NOP,,J. Kuminga,GSW,MISS Kuminga 25' 3PT Jump Shot,Missed Shot,Jump Shot,-227,97,25,1,3.0,0.0,h
S2425-G0126,3,02:32,GSW,,NOP,,J. Kuminga,GSW,MISS Kuminga 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-32,173,18,1,2.0,0.0,h
S2425-G0126,3,02:24,GSW,,NOP,,J. Kuminga,GSW,Kuminga STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0126,4,11:25,GSW,,NOP,,J. Kuminga,GSW,Kuminga P.FOUL (P1.T1) (D.Taylor),Foul,Personal,0,0,0,0,,,h
S2425-G0126,4,10:41,GSW,,NOP,,J. Kuminga,GSW,Kuminga P.FOUL (P2.T2) (B.Taylor),Foul,Personal,0,0,0,0,,,h
S2425-G0126,4,10:18,GSW,81.0,NOP,66.0,J. Kuminga,GSW,Kuminga 5' Layup (8 PTS),Made Shot,Layup Shot,1,48,5,1,2.0,2.0,h
S2425-G0126,4,10:18,GSW,82.0,NOP,66.0,J. Kuminga,GSW,Kuminga Free Throw 1 of 1 (9 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0126,4,10:09,GSW,,NOP,,J. Kuminga,GSW,Kuminga P.FOUL (P3.T3) (D.Taylor),Foul,Personal,0,0,0,0,,,h
S2425-G0126,4,08:52,GSW,,NOP,,J. Kuminga,GSW,MISS Kuminga 6' Driving Layup,Missed Shot,Driving Layup Shot,59,16,6,1,2.0,0.0,h
S2425-G0126,4,07:51,GSW,,NOP,,J. Kuminga,GSW,MISS Kuminga Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0126,4,07:51,GSW,86.0,NOP,71.0,J. Kuminga,GSW,Kuminga Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0126,4,07:00,GSW,91.0,NOP,71.0,J. Kuminga,GSW,Kuminga 3' Running Layup (12 PTS),Made Shot,Running Layup Shot,27,12,3,1,2.0,2.0,h
