game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0126,1,03:42,GSW,,NOP,,K. Anderson,GSW,Anderson BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0126,1,03:41,GSW,,NOP,,K. Anderson,GSW,Anderson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,1,03:33,GSW,18.0,NOP,15.0,K. Anderson,GSW,Anderson 5' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,0,52,5,1,2.0,2.0,h
S2425-G0126,1,02:29,GSW,,NOP,,K. Anderson,GSW,Anderson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,1,01:14,GSW,26.0,NOP,18.0,K. Anderson,GSW,Anderson 26' 3PT Step Back Jump Shot (5 PTS) (Looney 1 AST),Made Shot,Step Back Jump shot,18,257,26,1,3.0,3.0,h
S2425-G0126,2,07:24,GSW,34.0,NOP,30.0,K. Anderson,GSW,Anderson 4' Reverse Layup (7 PTS) (Hield 1 AST),Made Shot,Reverse Layup Shot,-38,9,4,1,2.0,2.0,h
S2425-G0126,2,03:53,GSW,,NOP,,K. Anderson,GSW,SUB: Kuminga FOR Anderson,Substitution,,0,0,0,0,,,h
S2425-G0126,3,05:20,GSW,,NOP,,K. Anderson,GSW,Anderson P.FOUL (P1.T4) (M.Kallio),Foul,Personal,0,0,0,0,,,h
S2425-G0126,3,00:34.700000,GSW,78.0,NOP,66.0,K. Anderson,GSW,Anderson 6' Turnaround Hook Shot (9 PTS) (Kuminga 2 AST),Made Shot,Turnaround Hook Shot,-61,0,6,1,2.0,2.0,h
S2425-G0126,3,00:12.700000,GSW,,NOP,,K. Anderson,GSW,Anderson REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,3,00:07,GSW,,NOP,,K. Anderson,GSW,Anderson REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,3,00:07,GSW,,NOP,,K. Anderson,GSW,MISS Anderson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0126,3,00:07,GSW,79.0,NOP,66.0,K. Anderson,GSW,Anderson Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0101,2,09:05,GSW,,LAC,,K. Anderson,GSW,Anderson REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,2,08:25,GSW,,LAC,,K. Anderson,GSW,Anderson Out of Bounds - Bad Pass Turnover Turnover (P1.T8),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0101,2,08:14,GSW,,LAC,,K. Anderson,GSW,SUB: Curry FOR Anderson,Substitution,,0,0,0,0,,,h
S2425-G0072,2,10:13,POR,,GSW,,K. Anderson,GSW,Anderson BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0072,2,08:27,POR,,GSW,,K. Anderson,GSW,SUB: Wiggins FOR Anderson,Substitution,,0,0,0,0,,,v
S2425-G0072,3,01:57,POR,,GSW,,K. Anderson,GSW,Anderson REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0072,3,01:53,POR,,GSW,,K. Anderson,GSW,Anderson REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0072,3,01:52,POR,67.0,GSW,94.0,K. Anderson,GSW,Anderson Putback Layup (2 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,v
S2425-G0072,3,01:00,POR,,GSW,,K. Anderson,GSW,Anderson STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0072,4,11:25,POR,,GSW,,K. Anderson,GSW,Anderson STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0072,4,08:25,POR,,GSW,,K. Anderson,GSW,Anderson REBOUND (Off:3 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0072,4,08:23,POR,,GSW,,K. Anderson,GSW,Anderson Out of Bounds - Bad Pass Turnover Turnover (P1.T17),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0072,4,07:50,POR,,GSW,,K. Anderson,GSW,Anderson S.FOUL (P1.PN) (D.Collins),Foul,Shooting,0,0,0,0,,,v
S2425-G0072,4,07:11,POR,,GSW,,K. Anderson,GSW,Anderson REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0072,4,06:15,POR,,GSW,,K. Anderson,GSW,Anderson REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0072,4,05:10,POR,,GSW,,K. Anderson,GSW,MISS Anderson 27' 3PT Jump Shot,Missed Shot,Jump Shot,154,221,27,1,3.0,0.0,v
S2425-G0072,4,05:07,POR,,GSW,,K. Anderson,GSW,SUB: Waters III FOR Anderson,Substitution,,0,0,0,0,,,v
S2425-G0116,1,02:20,GSW,,NOP,,K. Anderson,GSW,WARRIORS T.Foul (Def. 3 Sec Anderson ) (M.Lindsay),Foul,Defense 3 Second,0,0,0,0,,,h
S2425-G0116,1,01:12,GSW,,NOP,,K. Anderson,GSW,MISS Anderson 3PT Jump Shot,Missed Shot,Jump Shot,227,35,0,1,3.0,0.0,h
S2425-G0116,1,00:04.700000,GSW,,NOP,,K. Anderson,GSW,Anderson P.FOUL (P1.T1) (M.Lindsay),Foul,Personal,0,0,0,0,,,h
S2425-G0116,1,00:02.400000,GSW,,NOP,,K. Anderson,GSW,Anderson STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0116,1,00:00.200000,GSW,,NOP,,K. Anderson,GSW,MISS Anderson 50' 3PT Jump Shot,Missed Shot,Jump Shot,105,484,50,1,3.0,0.0,h
S2425-G0116,2,09:46,GSW,,NOP,,K. Anderson,GSW,Anderson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0116,2,08:09,GSW,,NOP,,K. Anderson,GSW,Anderson STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0116,2,08:05,GSW,27.0,NOP,38.0,K. Anderson,GSW,Anderson Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0116,2,08:05,GSW,,NOP,,K. Anderson,GSW,MISS Anderson Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0116,2,07:48,GSW,,NOP,,K. Anderson,GSW,MISS Anderson 14' Jump Shot,Missed Shot,Jump Shot,140,36,14,1,2.0,0.0,h
S2425-G0116,2,06:01,GSW,,NOP,,K. Anderson,GSW,Anderson STEAL (3 STL),,,0,0,0,0,,,h
S2425-G0116,2,05:33,GSW,,NOP,,K. Anderson,GSW,MISS Anderson 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,271,27,1,3.0,0.0,h
S2425-G0116,2,05:03,GSW,,NOP,,K. Anderson,GSW,SUB: Payton II FOR Anderson,Substitution,,0,0,0,0,,,h
