game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0126,1,04:32,GSW,,NOP,,K. Looney,GSW,Looney REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,1,04:28,GSW,16.0,NOP,13.0,K. Looney,GSW,Looney 2' Running Dunk (2 PTS) (Waters III 3 AST),Made Shot,Running Dunk Shot,-2,17,2,1,2.0,2.0,h
S2425-G0126,1,03:21,GSW,,NOP,,K. Looney,GSW,Looney P.FOUL (P1.T3) (M.Kallio),Foul,Personal,0,0,0,0,,,h
S2425-G0126,1,02:18,GSW,,NOP,,K. Looney,GSW,Looney REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,1,02:03,GSW,,NOP,,K. Looney,GSW,Looney REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,2,11:40,GSW,,NOP,,K. Looney,GSW,Looney REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,2,10:09,GSW,,NOP,,K. Looney,GSW,Looney Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0126,2,10:07,GSW,,NOP,,K. Looney,GSW,Looney S.FOUL (P2.T1) (D.Taylor),Foul,Shooting,0,0,0,0,,,h
S2425-G0126,2,08:41,GSW,,NOP,,K. Looney,GSW,SUB: Green FOR Looney,Substitution,,0,0,0,0,,,h
S2425-G0101,1,04:28,GSW,,LAC,,K. Looney,GSW,Looney REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,1,03:50,GSW,,LAC,,K. Looney,GSW,Looney REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,1,02:49,GSW,,LAC,,K. Looney,GSW,WARRIORS T.Foul (Def. 3 Sec Looney ) (C.Kirkland),Foul,Defense 3 Second,0,0,0,0,,,h
S2425-G0101,1,01:44,GSW,,LAC,,K. Looney,GSW,Looney REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,1,01:19,GSW,32.0,LAC,30.0,K. Looney,GSW,Looney Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0101,1,01:19,GSW,,LAC,,K. Looney,GSW,MISS Looney Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0101,1,00:31.300000,GSW,,LAC,,K. Looney,GSW,Jump Ball Looney vs. Dunn: Tip to Melton,Jump Ball,,0,0,0,0,,,h
S2425-G0101,1,00:31.300000,GSW,,LAC,,K. Looney,GSW,Looney STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0101,1,00:05,GSW,,LAC,,K. Looney,GSW,SUB: Wiggins FOR Looney,Substitution,,0,0,0,0,,,h
S2425-G0101,2,11:19,GSW,,LAC,,K. Looney,GSW,MISS Looney 15' Jump Shot,Missed Shot,Jump Shot,13,147,15,1,2.0,0.0,h
S2425-G0101,2,10:47,GSW,,LAC,,K. Looney,GSW,Looney Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0101,2,10:16,GSW,,LAC,,K. Looney,GSW,Looney S.FOUL (P1.T1) (J.Goble),Foul,Shooting,0,0,0,0,,,h
S2425-G0101,2,09:29,GSW,,LAC,,K. Looney,GSW,Looney REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,2,09:16,GSW,,LAC,,K. Looney,GSW,SUB: Jackson-Davis FOR Looney,Substitution,,0,0,0,0,,,h
S2425-G0101,3,02:43,GSW,,LAC,,K. Looney,GSW,MISS Looney Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0101,3,02:43,GSW,73.0,LAC,81.0,K. Looney,GSW,Looney Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0101,3,02:20,GSW,,LAC,,K. Looney,GSW,MISS Looney 5' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,-2,49,5,1,2.0,0.0,h
S2425-G0101,3,01:56,GSW,,LAC,,K. Looney,GSW,Looney REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
