game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0126,1,08:35,GSW,,NOP,,M. Moody,GSW,Moody P.FOUL (P1.T1) (M.Kallio),Foul,Personal,0,0,0,0,,,h
S2425-G0126,1,07:10,GSW,12.0,NOP,8.0,M. Moody,GSW,Moody 25' 3PT Jump Shot (3 PTS) (Waters III 2 AST),Made Shot,Jump Shot,-54,247,25,1,3.0,3.0,h
S2425-G0126,1,05:27,GSW,,NOP,,M. Moody,GSW,Moody Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0126,1,05:14,GSW,,NOP,,M. Moody,GSW,SUB: Kuminga FOR Moody,Substitution,,0,0,0,0,,,h
S2425-G0126,1,03:03,GSW,21.0,NOP,15.0,M. Moody,GSW,Moody 25' 3PT Jump Shot (6 PTS) (Kuminga 1 AST),Made Shot,Jump Shot,-228,110,25,1,3.0,3.0,h
S2425-G0126,1,02:09,GSW,,NOP,,M. Moody,GSW,MISS Moody 26' 3PT Jump Shot,Missed Shot,Jump Shot,194,171,26,1,3.0,0.0,h
S2425-G0126,1,01:26,GSW,,NOP,,M. Moody,GSW,MISS Moody 3PT Jump Shot,Missed Shot,Jump Shot,-225,4,0,1,3.0,0.0,h
S2425-G0126,2,06:00,GSW,,NOP,,M. Moody,GSW,Moody Lost Ball Turnover (P2.T9),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0126,2,05:18,GSW,,NOP,,M. Moody,GSW,Moody REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,2,04:17,GSW,,NOP,,M. Moody,GSW,Moody REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,2,02:46,GSW,,NOP,,M. Moody,GSW,Moody Out of Bounds Lost Ball Turnover (P3.T11),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2425-G0126,2,01:13,GSW,,NOP,,M. Moody,GSW,SUB: Hield FOR Moody,Substitution,,0,0,0,0,,,h
S2425-G0126,3,11:15,GSW,52.0,NOP,46.0,M. Moody,GSW,Moody 3' Driving Layup (8 PTS),Made Shot,Driving Layup Shot,33,7,3,1,2.0,2.0,h
S2425-G0126,3,09:48,GSW,,NOP,,M. Moody,GSW,Moody REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0126,3,08:42,GSW,,NOP,,M. Moody,GSW,MISS Moody 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,114,0,11,1,2.0,0.0,h
S2425-G0126,3,08:03,GSW,,NOP,,M. Moody,GSW,Moody P.FOUL (P2.T2) (B.Taylor),Foul,Personal,0,0,0,0,,,h
S2425-G0126,3,06:42,GSW,,NOP,,M. Moody,GSW,SUB: Hield FOR Moody,Substitution,,0,0,0,0,,,h
S2425-G0126,3,01:51,GSW,,NOP,,M. Moody,GSW,MISS Moody 26' 3PT Jump Shot,Missed Shot,Jump Shot,118,235,26,1,3.0,0.0,h
S2425-G0126,3,00:46.700000,GSW,,NOP,,M. Moody,GSW,Moody S.FOUL (P3.PN) (D.Taylor),Foul,Shooting,0,0,0,0,,,h
