game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0101,1,11:32,GSW,3.0,LAC,0.0,S. Curry,GSW,Curry 24' 3PT Jump Shot (3 PTS) (Jackson-Davis 1 AST),Made Shot,Jump Shot,239,52,24,1,3.0,3.0,h
S2425-G0101,1,09:43,GSW,,LAC,,S. Curry,GSW,Curry REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0101,1,09:00,GSW,,LAC,,S. Curry,GSW,Curry Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0101,1,08:19,GSW,15.0,LAC,11.0,S. Curry,GSW,Curry 28' 3PT Running Pull-Up Jump Shot (6 PTS),Made Shot,Running Pull-Up Jump Shot,-16,277,28,1,3.0,3.0,h
S2425-G0101,1,06:41,GSW,,LAC,,S. Curry,GSW,Curry BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0101,1,04:53,GSW,,LAC,,S. Curry,GSW,Curry OFF.Foul (P1) (C.Kirkland),Foul,Offensive,0,0,0,0,,,h
S2425-G0101,1,04:53,GSW,,LAC,,S. Curry,GSW,Curry Offensive Foul Turnover (P2.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0101,1,03:26,GSW,,LAC,,S. Curry,GSW,MISS Curry 24' 3PT Jump Shot,Missed Shot,Jump Shot,-221,85,24,1,3.0,0.0,h
S2425-G0101,1,03:02,GSW,,LAC,,S. Curry,GSW,SUB: Melton FOR Curry,Substitution,,0,0,0,0,,,h
S2425-G0101,2,07:40,GSW,,LAC,,S. Curry,GSW,Curry STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0101,2,03:49,GSW,,LAC,,S. Curry,GSW,Curry Bad Pass Turnover (P3.T11),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0101,2,03:37,GSW,,LAC,,S. Curry,GSW,MISS Curry 31' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,16,306,31,1,3.0,0.0,h
