game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0068,1,03:36,HOU,17.0,CHA,12.0,A. Thompson,HOU,Thompson Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0068,1,03:36,HOU,18.0,CHA,12.0,A. Thompson,HOU,Thompson Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0068,1,03:17,HOU,,CHA,,A. Thompson,HOU,Thompson BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0068,1,02:48,HOU,,CHA,,A. Thompson,HOU,Thompson S.FOUL (P1.T3) (R.Hussey),Foul,Shooting,0,0,0,0,,,h
S2425-G0068,1,01:53,HOU,23.0,CHA,19.0,A. Thompson,HOU,Thompson 3' Cutting Dunk Shot (4 PTS) (Landale 1 AST),Made Shot,Cutting Dunk Shot,20,18,3,1,2.0,2.0,h
S2425-G0068,1,01:28,HOU,26.0,CHA,21.0,A. Thompson,HOU,Thompson 3PT Jump Shot (7 PTS) (Landale 2 AST),Made Shot,Jump Shot,-233,20,0,1,3.0,3.0,h
S2425-G0068,1,01:04,HOU,,CHA,,A. Thompson,HOU,Thompson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,00:50.800000,HOU,,CHA,,A. Thompson,HOU,MISS Thompson 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,188,19,1,2.0,0.0,h
S2425-G0068,2,11:04,HOU,,CHA,,A. Thompson,HOU,Thompson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,2,10:03,HOU,,CHA,,A. Thompson,HOU,MISS Thompson 9' Driving Layup,Missed Shot,Driving Layup Shot,70,49,9,1,2.0,0.0,h
S2425-G0068,2,09:36,HOU,33.0,CHA,27.0,A. Thompson,HOU,Thompson 3' Running Dunk (9 PTS) (Eason 1 AST),Made Shot,Running Dunk Shot,20,17,3,1,2.0,2.0,h
S2425-G0068,2,08:31,HOU,38.0,CHA,30.0,A. Thompson,HOU,Thompson 7' Driving Floating Jump Shot (11 PTS),Made Shot,Driving Floating Jump Shot,-10,65,7,1,2.0,2.0,h
S2425-G0068,2,08:06,HOU,,CHA,,A. Thompson,HOU,MISS Thompson 12' Floating Jump Shot,Missed Shot,Floating Jump shot,5,117,12,1,2.0,0.0,h
S2425-G0068,2,07:46,HOU,,CHA,,A. Thompson,HOU,SUB: Brooks FOR Thompson,Substitution,,0,0,0,0,,,h
S2425-G0068,2,00:59.300000,HOU,60.0,CHA,44.0,A. Thompson,HOU,Thompson 4' Cutting Layup Shot (13 PTS) (VanVleet 3 AST),Made Shot,Cutting Layup Shot,-17,33,4,1,2.0,2.0,h
S2425-G0068,2,00:01,HOU,,CHA,,A. Thompson,HOU,MISS Thompson 3PT Jump Shot,Missed Shot,Jump Shot,-233,8,0,1,3.0,0.0,h
S2425-G0068,3,05:19,HOU,,CHA,,A. Thompson,HOU,Thompson REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,3,01:07,HOU,,CHA,,A. Thompson,HOU,Thompson REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,3,00:19.200000,HOU,,CHA,,A. Thompson,HOU,MISS Thompson 11' Finger Roll Layup,Missed Shot,Finger Roll Layup Shot,29,104,11,1,2.0,0.0,h
S2425-G0068,3,00:07.800000,HOU,,CHA,,A. Thompson,HOU,Thompson S.FOUL (P2.PN) (R.Hussey),Foul,Shooting,0,0,0,0,,,h
S2425-G0068,3,00:02.200000,HOU,,CHA,,A. Thompson,HOU,MISS Thompson 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-99,130,16,1,2.0,0.0,h
S2425-G0068,4,04:52,HOU,,CHA,,A. Thompson,HOU,MISS Thompson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0068,4,04:52,HOU,,CHA,,A. Thompson,HOU,MISS Thompson Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0068,4,04:03,HOU,,CHA,,A. Thompson,HOU,Jump Ball Thompson vs. Williams: Tip to Curry,Jump Ball,,0,0,0,0,,,h
S2425-G0068,4,01:40,HOU,,CHA,,A. Thompson,HOU,SUB: Sengun FOR Thompson,Substitution,,0,0,0,0,,,h
S2425-G0068,4,00:06.600000,HOU,,CHA,,A. Thompson,HOU,Thompson Personal Take Foul (P3.PN) (R.Hussey),Foul,Personal Take,0,0,0,0,,,h
S2425-G0068,4,00:06.600000,HOU,,CHA,,A. Thompson,HOU,SUB: Sengun FOR Thompson,Substitution,,0,0,0,0,,,h
S2425-G0068,4,00:03.700000,HOU,,CHA,,A. Thompson,HOU,SUB: Sengun FOR Thompson,Substitution,,0,0,0,0,,,h
S2425-G0109,1,05:04,SAS,,HOU,,A. Thompson,HOU,MISS Thompson 2' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-17,7,2,1,2.0,0.0,v
S2425-G0109,1,04:52,SAS,,HOU,,A. Thompson,HOU,Thompson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0109,1,03:12,SAS,,HOU,,A. Thompson,HOU,Thompson STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0109,1,00:46.500000,SAS,,HOU,,A. Thompson,HOU,Thompson BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0109,1,00:36,SAS,15.0,HOU,27.0,A. Thompson,HOU,Thompson 3PT Jump Shot (3 PTS) (VanVleet 4 AST),Made Shot,Jump Shot,-225,21,0,1,3.0,3.0,v
S2425-G0109,1,00:23.600000,SAS,,HOU,,A. Thompson,HOU,Thompson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0109,1,00:09.700000,SAS,,HOU,,A. Thompson,HOU,SUB: Ja. Green FOR Thompson,Substitution,,0,0,0,0,,,v
S2425-G0109,2,11:40,SAS,15.0,HOU,30.0,A. Thompson,HOU,Thompson Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0109,2,11:40,SAS,15.0,HOU,31.0,A. Thompson,HOU,Thompson Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0109,2,11:21,SAS,,HOU,,A. Thompson,HOU,Thompson Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0109,2,07:28,SAS,,HOU,,A. Thompson,HOU,MISS Thompson 7' Floating Jump Shot,Missed Shot,Floating Jump shot,2,69,7,1,2.0,0.0,v
S2425-G0109,2,07:06,SAS,,HOU,,A. Thompson,HOU,Thompson Bad Pass Turnover (P2.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0109,2,06:45,SAS,,HOU,,A. Thompson,HOU,SUB: Sheppard FOR Thompson,Substitution,,0,0,0,0,,,v
S2425-G0109,3,05:08,SAS,,HOU,,A. Thompson,HOU,Thompson REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
