game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0068,1,11:13,HOU,,CHA,,J. Green,HOU,MISS Ja. Green 2' Driving Layup,Missed Shot,Driving Layup Shot,13,18,2,1,2.0,0.0,h
S2425-G0068,1,09:31,HOU,,CHA,,J. Green,HOU,Ja. Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,09:24,HOU,3.0,CHA,3.0,J. Green,HOU,Ja. Green Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0068,1,09:24,HOU,4.0,CHA,3.0,J. Green,HOU,Ja. Green Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0068,1,08:11,HOU,,CHA,,J. Green,HOU,Ja. Green REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,07:29,HOU,10.0,CHA,6.0,J. Green,HOU,Ja. Green 28' 3PT Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,33,274,28,1,3.0,3.0,h
S2425-G0068,1,06:15,HOU,12.0,CHA,12.0,J. Green,HOU,Ja. Green 4' Driving Dunk (7 PTS),Made Shot,Driving Dunk Shot,28,33,4,1,2.0,2.0,h
S2425-G0068,1,04:38,HOU,,CHA,,J. Green,HOU,SUB: Thompson FOR Ja. Green,Substitution,,0,0,0,0,,,h
S2425-G0068,1,02:38,HOU,21.0,CHA,14.0,J. Green,HOU,Ja. Green 27' 3PT Pullup Jump Shot (10 PTS),Made Shot,Pullup Jump shot,141,228,27,1,3.0,3.0,h
S2425-G0068,1,01:34,HOU,,CHA,,J. Green,HOU,MISS Ja. Green 27' 3PT Jump Shot,Missed Shot,Jump Shot,188,188,27,1,3.0,0.0,h
S2425-G0068,1,00:15.200000,HOU,,CHA,,J. Green,HOU,MISS Ja. Green 15' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-12,154,15,1,2.0,0.0,h
S2425-G0068,2,03:57,HOU,53.0,CHA,37.0,J. Green,HOU,Ja. Green 3PT Jump Shot (13 PTS) (VanVleet 1 AST),Made Shot,Jump Shot,234,15,0,1,3.0,3.0,h
S2425-G0068,2,03:15,HOU,,CHA,,J. Green,HOU,MISS Ja. Green 4' Driving Dunk,Missed Shot,Driving Dunk Shot,9,36,4,1,2.0,0.0,h
S2425-G0068,2,02:05,HOU,,CHA,,J. Green,HOU,MISS Ja. Green 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,188,181,26,1,3.0,0.0,h
S2425-G0068,2,01:59,HOU,,CHA,,J. Green,HOU,MISS Ja. Green 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-158,205,26,1,3.0,0.0,h
