game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0068,1,11:26,HOU,,CHA,,J. Smith Jr.,HOU,Smith Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,10:59,HOU,,CHA,,J. Smith Jr.,HOU,MISS Smith Jr. 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-203,149,25,1,3.0,0.0,h
S2425-G0068,1,07:42,HOU,,CHA,,J. Smith Jr.,HOU,Smith Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,06:38,HOU,,CHA,,J. Smith Jr.,HOU,MISS Smith Jr. 26' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-146,211,26,1,3.0,0.0,h
S2425-G0068,1,04:46,HOU,,CHA,,J. Smith Jr.,HOU,Smith Jr. REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,1,04:38,HOU,,CHA,,J. Smith Jr.,HOU,SUB: Sheppard FOR Smith Jr.,Substitution,,0,0,0,0,,,h
S2425-G0068,2,04:10,HOU,,CHA,,J. Smith Jr.,HOU,Smith Jr. REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,2,04:08,HOU,,CHA,,J. Smith Jr.,HOU,MISS Smith Jr. 3' Layup,Missed Shot,Layup Shot,23,15,3,1,2.0,0.0,h
S2425-G0068,3,11:27,HOU,63.0,CHA,51.0,J. Smith Jr.,HOU,Smith Jr. 26' 3PT Jump Shot (3 PTS) (VanVleet 4 AST),Made Shot,Jump Shot,207,150,26,1,3.0,3.0,h
S2425-G0068,3,10:43,HOU,,CHA,,J. Smith Jr.,HOU,Smith Jr. REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0068,3,09:43,HOU,,CHA,,J. Smith Jr.,HOU,Smith Jr. BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0068,3,08:25,HOU,70.0,CHA,57.0,J. Smith Jr.,HOU,Smith Jr. 25' 3PT Running Pull-Up Jump Shot (6 PTS),Made Shot,Running Pull-Up Jump Shot,-62,239,25,1,3.0,3.0,h
S2425-G0068,3,06:12,HOU,,CHA,,J. Smith Jr.,HOU,MISS Smith Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,120,229,26,1,3.0,0.0,h
S2425-G0068,3,05:37,HOU,,CHA,,J. Smith Jr.,HOU,Smith Jr. Transition Take Foul (P1.T2) (B.Taylor),Foul                                    ,Transition Take,0,0,0,0,,,h
S2425-G0068,3,04:10,HOU,,CHA,,J. Smith Jr.,HOU,SUB: Eason FOR Smith Jr.,Substitution,,0,0,0,0,,,h
S2425-G0068,4,04:17,HOU,,CHA,,J. Smith Jr.,HOU,MISS Smith Jr. 8' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-16,79,8,1,2.0,0.0,h
S2425-G0068,4,00:07.100000,HOU,,CHA,,J. Smith Jr.,HOU,Smith Jr. Personal Take Foul (P2.T3) (B.Taylor),Foul,Personal Take,0,0,0,0,,,h
S2425-G0068,4,00:04.800000,HOU,,CHA,,J. Smith Jr.,HOU,MISS Smith Jr. Free Throw 1 of 3,Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,0.0,h
S2425-G0068,4,00:04.800000,HOU,104.0,CHA,108.0,J. Smith Jr.,HOU,Smith Jr. Free Throw 2 of 3 (7 PTS),Free Throw,Free Throw 2 of 3,0,0,0,0,1.0,1.0,h
S2425-G0068,4,00:04.800000,HOU,105.0,CHA,108.0,J. Smith Jr.,HOU,Smith Jr. Free Throw 3 of 3 (8 PTS),Free Throw,Free Throw 3 of 3,0,0,0,0,1.0,1.0,h
S2425-G0068,4,00:04.800000,HOU,,CHA,,J. Smith Jr.,HOU,SUB: Thompson FOR Smith Jr.,Substitution,,0,0,0,0,,,h
S2425-G0109,1,11:29,SAS,0.0,HOU,3.0,J. Smith Jr.,HOU,Smith Jr. 25' 3PT Jump Shot (3 PTS) (VanVleet 1 AST),Made Shot,Jump Shot,181,172,25,1,3.0,3.0,v
S2425-G0109,1,10:22,SAS,,HOU,,J. Smith Jr.,HOU,MISS Smith Jr. 2' Layup,Missed Shot,Layup Shot,6,21,2,1,2.0,0.0,v
S2425-G0109,1,09:51,SAS,3.0,HOU,9.0,J. Smith Jr.,HOU,Smith Jr. 8' Turnaround Fadeaway (5 PTS) (VanVleet 3 AST),Made Shot,Turnaround Fadeaway shot,-33,70,8,1,2.0,2.0,v
S2425-G0109,1,07:08,SAS,,HOU,,J. Smith Jr.,HOU,Smith Jr. P.FOUL (P1.T2) (A.Nagy),Foul,Personal,0,0,0,0,,,v
S2425-G0109,1,06:20,SAS,,HOU,,J. Smith Jr.,HOU,MISS Smith Jr. 3PT Jump Shot,Missed Shot,Jump Shot,-233,1,0,1,3.0,0.0,v
S2425-G0109,1,05:40,SAS,,HOU,,J. Smith Jr.,HOU,Smith Jr. REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0109,1,05:40,SAS,10.0,HOU,17.0,J. Smith Jr.,HOU,Smith Jr. Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
