game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,1,10:53,NYK,,IND,,A. Nembhard,IND,Nembhard REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,1,06:36,NYK,,IND,,A. Nembhard,IND,Nembhard STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0081,1,05:29,NYK,,IND,,A. Nembhard,IND,Nembhard Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2425-G0081,1,03:31,NYK,,IND,,A. Nembhard,IND,Nembhard STEAL (2 STL),,,0,0,0,0,,,v
S2425-G0081,1,03:27,NYK,,IND,,A. Nembhard,IND,Nembhard Bad Pass Turnover (P2.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0081,1,03:23,NYK,,IND,,A. Nembhard,IND,SUB: I. Jackson FOR Nembhard,Substitution,,0,0,0,0,,,v
S2425-G0081,2,03:52,NYK,,IND,,A. Nembhard,IND,MISS Nembhard 25' 3PT Jump Shot,Missed Shot,Jump Shot,89,235,25,1,3.0,0.0,v
S2425-G0081,3,09:57,NYK,,IND,,A. Nembhard,IND,Nembhard REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,3,09:53,NYK,65.0,IND,49.0,A. Nembhard,IND,Nembhard 1' Running Layup (2 PTS),Made Shot,Running Layup Shot,5,5,1,1,2.0,2.0,v
S2425-G0081,3,09:16,NYK,,IND,,A. Nembhard,IND,MISS Nembhard 27' 3PT Jump Shot,Missed Shot,Jump Shot,23,274,27,1,3.0,0.0,v
S2425-G0081,3,08:48,NYK,,IND,,A. Nembhard,IND,Nembhard Bad Pass Turnover (P3.T10),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0081,3,05:48,NYK,,IND,,A. Nembhard,IND,SUB: McConnell FOR Nembhard,Substitution,,0,0,0,0,,,v
S2425-G0097,1,09:11,IND,,PHI,,A. Nembhard,IND,MISS Nembhard 4' Running Layup,Missed Shot,Running Layup Shot,23,29,4,1,2.0,0.0,h
S2425-G0097,1,07:50,IND,,PHI,,A. Nembhard,IND,MISS Nembhard 27' 3PT Jump Shot,Missed Shot,Jump Shot,103,253,27,1,3.0,0.0,h
S2425-G0097,1,07:20,IND,9.0,PHI,6.0,A. Nembhard,IND,Nembhard 26' 3PT Jump Shot (3 PTS) (Siakam 2 AST),Made Shot,Jump Shot,81,244,26,1,3.0,3.0,h
S2425-G0097,1,05:41,IND,,PHI,,A. Nembhard,IND,SUB: Toppin FOR Nembhard,Substitution,,0,0,0,0,,,h
S2425-G0097,2,05:47,IND,39.0,PHI,42.0,A. Nembhard,IND,Nembhard 17' Pullup Jump Shot (5 PTS) (Haliburton 1 AST),Made Shot,Pullup Jump shot,-39,170,17,1,2.0,2.0,h
S2425-G0097,2,04:48,IND,,PHI,,A. Nembhard,IND,MISS Nembhard 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,53,265,27,1,3.0,0.0,h
S2425-G0097,2,03:52,IND,,PHI,,A. Nembhard,IND,Nembhard S.FOUL (P1.PN) (M.Ervin),Foul,Shooting,0,0,0,0,,,h
S2425-G0097,3,11:31,IND,,PHI,,A. Nembhard,IND,Nembhard REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0097,3,11:03,IND,,PHI,,A. Nembhard,IND,Nembhard S.FOUL (P2.T1) (T.Maddox),Foul,Shooting,0,0,0,0,,,h
S2425-G0097,3,09:36,IND,,PHI,,A. Nembhard,IND,MISS Nembhard 3PT Jump Shot,Missed Shot,Jump Shot,-225,15,0,1,3.0,0.0,h
S2425-G0097,3,07:11,IND,,PHI,,A. Nembhard,IND,Nembhard S.FOUL (P3.T3) (T.Maddox),Foul,Shooting,0,0,0,0,,,h
S2425-G0097,3,06:24,IND,,PHI,,A. Nembhard,IND,MISS Nembhard 4' Running Layup,Missed Shot,Running Layup Shot,-27,24,4,1,2.0,0.0,h
S2425-G0097,3,06:18,IND,,PHI,,A. Nembhard,IND,SUB: Mathurin FOR Nembhard,Substitution,,0,0,0,0,,,h
