game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,1,04:17,NYK,14.0,IND,14.0,B. Mathurin,IND,Mathurin 3PT Jump Shot (3 PTS) (Haliburton 2 AST),Made Shot,Jump Shot,-230,-7,0,1,3.0,3.0,v
S2425-G0081,1,03:43,NYK,17.0,IND,16.0,B. Mathurin,IND,Mathurin 18' Pullup Jump Shot (5 PTS) (Haliburton 3 AST),Made Shot,Pullup Jump shot,-102,147,18,1,2.0,2.0,v
S2425-G0081,1,02:35,NYK,19.0,IND,18.0,B. Mathurin,IND,Mathurin 2' Driving Finger Roll Layup (7 PTS) (Haliburton 4 AST),Made Shot,Driving Finger Roll Layup Shot,16,6,2,1,2.0,2.0,v
S2425-G0081,1,02:10,NYK,,IND,,B. Mathurin,IND,Mathurin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,1,01:04,NYK,,IND,,B. Mathurin,IND,MISS Mathurin 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-1,251,25,1,3.0,0.0,v
S2425-G0081,1,00:01.700000,NYK,,IND,,B. Mathurin,IND,Mathurin S.FOUL (P1.PN) (J.Butler),Foul,Shooting,0,0,0,0,,,v
S2425-G0081,2,10:58,NYK,,IND,,B. Mathurin,IND,MISS Mathurin 13' Step Back Jump Shot,Missed Shot,Step Back Jump shot,131,-8,13,1,2.0,0.0,v
S2425-G0081,2,09:48,NYK,32.0,IND,32.0,B. Mathurin,IND,Mathurin 25' 3PT Jump Shot (10 PTS) (Toppin 1 AST),Made Shot,Jump Shot,-121,215,25,1,3.0,3.0,v
S2425-G0081,2,08:31,NYK,,IND,,B. Mathurin,IND,Mathurin STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0081,2,08:29,NYK,34.0,IND,35.0,B. Mathurin,IND,Mathurin Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0081,2,08:29,NYK,,IND,,B. Mathurin,IND,MISS Mathurin Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0081,2,07:29,NYK,,IND,,B. Mathurin,IND,Mathurin Step Out of Bounds Turnover (P1.T7),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2425-G0081,2,07:29,NYK,,IND,,B. Mathurin,IND,SUB: Siakam FOR Mathurin,Substitution,,0,0,0,0,,,v
S2425-G0081,3,01:59,NYK,,IND,,B. Mathurin,IND,MISS Mathurin 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-202,33,20,1,2.0,0.0,v
S2425-G0081,3,00:01.500000,NYK,,IND,,B. Mathurin,IND,Mathurin REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,4,10:33,NYK,97.0,IND,70.0,B. Mathurin,IND,Mathurin 1' Driving Layup (13 PTS) (McConnell 5 AST),Made Shot,Driving Layup Shot,-10,11,1,1,2.0,2.0,v
S2425-G0081,4,09:14,NYK,100.0,IND,74.0,B. Mathurin,IND,Mathurin 17' Pullup Jump Shot (15 PTS),Made Shot,Pullup Jump shot,6,165,17,1,2.0,2.0,v
S2425-G0081,4,08:37,NYK,102.0,IND,76.0,B. Mathurin,IND,Mathurin 2' Driving Layup (17 PTS),Made Shot,Driving Layup Shot,-20,8,2,1,2.0,2.0,v
S2425-G0081,4,08:11,NYK,,IND,,B. Mathurin,IND,MISS Mathurin Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0081,4,08:11,NYK,102.0,IND,77.0,B. Mathurin,IND,Mathurin Free Throw 2 of 2 (18 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0081,4,07:15,NYK,,IND,,B. Mathurin,IND,MISS Mathurin 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-130,214,25,1,3.0,0.0,v
S2425-G0081,4,06:17,NYK,108.0,IND,81.0,B. Mathurin,IND,Mathurin 1' Driving Layup (20 PTS) (Toppin 4 AST),Made Shot,Driving Layup Shot,5,0,1,1,2.0,2.0,v
S2425-G0081,4,04:42,NYK,,IND,,B. Mathurin,IND,MISS Mathurin 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,26,248,25,1,3.0,0.0,v
S2425-G0081,4,04:24,NYK,,IND,,B. Mathurin,IND,SUB: Q. Jackson FOR Mathurin,Substitution,,0,0,0,0,,,v
