game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,3,04:28,NYK,,IND,,B. Sheppard,IND,Sheppard S.FOUL (P1.T4) (J.Butler),Foul,Shooting,0,0,0,0,,,v
S2425-G0081,3,04:20,NYK,77.0,IND,59.0,B. Sheppard,IND,Sheppard 2' Cutting Layup Shot (2 PTS) (McConnell 4 AST),Made Shot,Cutting Layup Shot,6,23,2,1,2.0,2.0,v
S2425-G0081,3,03:49,NYK,,IND,,B. Sheppard,IND,MISS Sheppard 3PT Jump Shot,Missed Shot,Jump Shot,229,40,0,1,3.0,0.0,v
S2425-G0081,3,03:31,NYK,,IND,,B. Sheppard,IND,Sheppard S.FOUL (P2.PN) (J.DeRosa),Foul,Shooting,0,0,0,0,,,v
S2425-G0081,4,08:00,NYK,,IND,,B. Sheppard,IND,Sheppard P.FOUL (P3.T2) (J.Butler),Foul,Personal,0,0,0,0,,,v
S2425-G0081,4,07:31,NYK,,IND,,B. Sheppard,IND,Sheppard S.FOUL (P4.T4) (B.Kennedy),Foul,Shooting,0,0,0,0,,,v
S2425-G0081,4,07:01,NYK,,IND,,B. Sheppard,IND,Sheppard S.FOUL (P5.PN) (J.DeRosa),Foul,Shooting,0,0,0,0,,,v
S2425-G0081,4,06:51,NYK,108.0,IND,79.0,B. Sheppard,IND,Sheppard 2' Driving Finger Roll Layup (4 PTS),Made Shot,Driving Finger Roll Layup Shot,-17,10,2,1,2.0,2.0,v
S2425-G0081,4,05:00,NYK,,IND,,B. Sheppard,IND,MISS Sheppard 2' Driving Layup,Missed Shot,Driving Layup Shot,-17,16,2,1,2.0,0.0,v
S2425-G0081,4,03:45,NYK,,IND,,B. Sheppard,IND,Sheppard S.FOUL (P6.PN) (B.Kennedy),Foul,Shooting,0,0,0,0,,,v
S2425-G0081,4,03:45,NYK,,IND,,B. Sheppard,IND,SUB: Johnson FOR Sheppard,Substitution,,0,0,0,0,,,v
S2425-G0097,2,03:50,IND,,PHI,,B. Sheppard,IND,Sheppard REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0097,2,03:36,IND,46.0,PHI,45.0,B. Sheppard,IND,Sheppard 3PT Jump Shot (3 PTS) (Nembhard 2 AST),Made Shot,Jump Shot,227,37,0,1,3.0,3.0,h
S2425-G0097,2,01:42,IND,,PHI,,B. Sheppard,IND,MISS Sheppard 4' Running Layup,Missed Shot,Running Layup Shot,23,38,4,1,2.0,0.0,h
S2425-G0097,2,01:15,IND,,PHI,,B. Sheppard,IND,Sheppard REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0097,4,09:00,IND,88.0,PHI,85.0,B. Sheppard,IND,Sheppard 24' 3PT Jump Shot (6 PTS) (McConnell 4 AST),Made Shot,Jump Shot,-238,14,24,1,3.0,3.0,h
S2425-G0097,4,07:19,IND,,PHI,,B. Sheppard,IND,SUB: Nembhard FOR Sheppard,Substitution,,0,0,0,0,,,h
S2425-G0097,4,00:11.700000,IND,,PHI,,B. Sheppard,IND,SUB: Haliburton FOR Sheppard,Substitution,,0,0,0,0,,,h
