game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0081,1,10:44,NYK,,IND,,T. Haliburton,IND,MISS Haliburton 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,43,29,5,1,2.0,0.0,v
S2425-G0081,1,05:40,NYK,,IND,,T. Haliburton,IND,Haliburton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0081,1,04:46,NYK,,IND,,T. Haliburton,IND,MISS Haliburton 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,162,194,25,1,3.0,0.0,v
S2425-G0081,1,02:07,NYK,,IND,,T. Haliburton,IND,SUB: Walker FOR Haliburton,Substitution,,0,0,0,0,,,v
S2425-G0081,2,07:05,NYK,,IND,,T. Haliburton,IND,MISS Haliburton 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,114,264,29,1,3.0,0.0,v
S2425-G0081,2,06:00,NYK,,IND,,T. Haliburton,IND,MISS Haliburton 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-216,127,25,1,3.0,0.0,v
S2425-G0081,2,02:33,NYK,,IND,,T. Haliburton,IND,Haliburton Lost Ball Turnover (P1.T8),Turnover,Lost Ball,0,0,0,0,,,v
S2425-G0081,2,00:47.400000,NYK,,IND,,T. Haliburton,IND,MISS Haliburton 3PT Jump Shot,Missed Shot,Jump Shot,-222,-18,0,1,3.0,0.0,v
S2425-G0081,2,00:01,NYK,,IND,,T. Haliburton,IND,MISS Haliburton 45' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,134,428,45,1,3.0,0.0,v
S2425-G0081,3,11:25,NYK,,IND,,T. Haliburton,IND,Haliburton S.FOUL (P1.T1) (B.Kennedy),Foul,Shooting,0,0,0,0,,,v
S2425-G0081,3,09:09,NYK,,IND,,T. Haliburton,IND,MISS Haliburton 25' 3PT Jump Shot,Missed Shot,Jump Shot,205,151,25,1,3.0,0.0,v
S2425-G0081,3,08:31,NYK,,IND,,T. Haliburton,IND,MISS Haliburton 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,4,254,25,1,3.0,0.0,v
S2425-G0081,3,07:47,NYK,,IND,,T. Haliburton,IND,Haliburton STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0081,3,05:48,NYK,,IND,,T. Haliburton,IND,Haliburton S.FOUL (P2.T2) (J.DeRosa),Foul,Shooting,0,0,0,0,,,v
S2425-G0081,3,03:31,NYK,,IND,,T. Haliburton,IND,SUB: Mathurin FOR Haliburton,Substitution,,0,0,0,0,,,v
S2425-G0097,1,11:43,IND,2.0,PHI,0.0,T. Haliburton,IND,Haliburton 5' Driving Finger Roll Layup (2 PTS) (Turner 1 AST),Made Shot,Driving Finger Roll Layup Shot,-12,47,5,1,2.0,2.0,h
S2425-G0097,1,10:06,IND,6.0,PHI,0.0,T. Haliburton,IND,Haliburton 5' Driving Layup (4 PTS) (Siakam 1 AST),Made Shot,Driving Layup Shot,21,44,5,1,2.0,2.0,h
S2425-G0097,1,09:43,IND,,PHI,,T. Haliburton,IND,MISS Haliburton 7' Finger Roll Layup,Missed Shot,Finger Roll Layup Shot,-50,53,7,1,2.0,0.0,h
S2425-G0097,1,09:43,IND,,PHI,,T. Haliburton,IND,Haliburton T.FOUL (P0.T0) (J.Sterling),Foul,Technical,0,0,0,0,,,h
S2425-G0097,1,09:42,IND,,PHI,,T. Haliburton,IND,MISS Haliburton 26' 3PT Jump Shot,Missed Shot,Jump Shot,-197,163,26,1,3.0,0.0,h
S2425-G0097,1,09:01,IND,,PHI,,T. Haliburton,IND,Haliburton P.FOUL (P1.T1) (T.Maddox),Foul,Personal,0,0,0,0,,,h
S2425-G0097,1,03:40,IND,,PHI,,T. Haliburton,IND,Haliburton Discontinue Dribble Turnover (P1.T3),Turnover,Discontinue Dribble,0,0,0,0,,,h
S2425-G0097,1,02:06,IND,,PHI,,T. Haliburton,IND,SUB: Nesmith FOR Haliburton,Substitution,,0,0,0,0,,,h
S2425-G0097,2,07:02,IND,37.0,PHI,37.0,T. Haliburton,IND,Haliburton 2' Driving Layup (6 PTS) (Turner 2 AST),Made Shot,Driving Layup Shot,17,5,2,1,2.0,2.0,h
S2425-G0097,2,02:33,IND,50.0,PHI,45.0,T. Haliburton,IND,Haliburton Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
