game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,1,12:00,LAC,,POR,,I. Zubac,LAC,Jump Ball Zubac vs. Ayton: Tip to Harden,Jump Ball,,0,0,0,0,,,h
S2425-G0127,1,11:16,LAC,,POR,,I. Zubac,LAC,Zubac REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,10:06,LAC,6.0,POR,0.0,I. Zubac,LAC,Zubac Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0127,1,10:06,LAC,,POR,,I. Zubac,LAC,MISS Zubac Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0127,1,08:23,LAC,,POR,,I. Zubac,LAC,Zubac L.B.FOUL (P1.T2) (E.Dalen),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0127,1,08:05,LAC,,POR,,I. Zubac,LAC,Zubac REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,07:19,LAC,,POR,,I. Zubac,LAC,Zubac REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,05:35,LAC,,POR,,I. Zubac,LAC,Zubac REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,1,05:34,LAC,,POR,,I. Zubac,LAC,SUB: Jones FOR Zubac,Substitution,,0,0,0,0,,,h
S2425-G0127,2,07:24,LAC,,POR,,I. Zubac,LAC,MISS Zubac 17' Jump Shot,Missed Shot,Jump Shot,-6,173,17,1,2.0,0.0,h
S2425-G0127,2,05:18,LAC,,POR,,I. Zubac,LAC,Zubac REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,2,05:17,LAC,,POR,,I. Zubac,LAC,MISS Zubac 2' Putback Layup,Missed Shot,Putback Layup Shot,-9,23,2,1,2.0,0.0,h
S2425-G0127,2,05:14,LAC,,POR,,I. Zubac,LAC,Zubac REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,2,05:14,LAC,,POR,,I. Zubac,LAC,MISS Zubac Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2425-G0127,2,02:56,LAC,,POR,,I. Zubac,LAC,Zubac S.FOUL (P2.PN) (C.Blair),Foul,Shooting,0,0,0,0,,,h
S2425-G0127,2,02:37,LAC,,POR,,I. Zubac,LAC,MISS Zubac 6' Driving Hook Shot,Missed Shot,Driving Hook Shot,39,49,6,1,2.0,0.0,h
S2425-G0127,2,02:27,LAC,,POR,,I. Zubac,LAC,SUB: Jones FOR Zubac,Substitution,,0,0,0,0,,,h
