game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0127,1,00:30.400000,LAC,,POR,,N. Batum,LAC,MISS Batum 26' 3PT Jump Shot,Missed Shot,Jump Shot,199,162,26,1,3.0,0.0,h
S2425-G0127,2,09:38,LAC,,POR,,N. Batum,LAC,Batum STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0127,2,09:36,LAC,34.0,POR,29.0,N. Batum,LAC,Batum 2' Running Dunk (2 PTS),Made Shot,Running Dunk Shot,-9,15,2,1,2.0,2.0,h
S2425-G0127,2,07:18,LAC,,POR,,N. Batum,LAC,SUB: Powell FOR Batum,Substitution,,0,0,0,0,,,h
S2425-G0127,3,02:15,LAC,,POR,,N. Batum,LAC,MISS Batum 25' 3PT Jump Shot,Missed Shot,Jump Shot,250,46,25,1,3.0,0.0,h
S2425-G0127,3,01:12,LAC,,POR,,N. Batum,LAC,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,4,11:42,LAC,88.0,POR,82.0,N. Batum,LAC,Batum 24' 3PT Jump Shot (5 PTS) (Dunn 2 AST),Made Shot,Jump Shot,-235,-21,24,1,3.0,3.0,h
S2425-G0127,4,11:27,LAC,,POR,,N. Batum,LAC,Batum STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0127,4,11:15,LAC,,POR,,N. Batum,LAC,Batum Violation:Kicked Ball (C.Blair),Violation,Kicked Ball,0,0,0,0,,,h
S2425-G0127,4,10:12,LAC,,POR,,N. Batum,LAC,Batum S.FOUL (P1.T1) (M.Smith),Foul,Shooting,0,0,0,0,,,h
S2425-G0127,4,09:13,LAC,,POR,,N. Batum,LAC,Batum REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0127,4,08:17,LAC,,POR,,N. Batum,LAC,SUB: Zubac FOR Batum,Substitution,,0,0,0,0,,,h
S2425-G0087,1,02:07,DEN,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0087,1,01:42,DEN,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0087,2,11:22,DEN,,LAC,,N. Batum,LAC,Batum P.FOUL (P1.T3) (A.Abazi),Foul,Personal,0,0,0,0,,,v
S2425-G0087,2,10:06,DEN,,LAC,,N. Batum,LAC,MISS Batum Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0087,2,10:06,DEN,21.0,LAC,28.0,N. Batum,LAC,Batum Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0087,2,09:58,DEN,,LAC,,N. Batum,LAC,Batum P.FOUL (P2.T4) (A.Abazi),Foul,Personal,0,0,0,0,,,v
S2425-G0087,2,06:44,DEN,,LAC,,N. Batum,LAC,Batum BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0087,2,05:16,DEN,,LAC,,N. Batum,LAC,SUB: Mann FOR Batum,Substitution,,0,0,0,0,,,v
S2425-G0087,3,02:53,DEN,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0087,4,11:24,DEN,,LAC,,N. Batum,LAC,Batum REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0087,4,08:02,DEN,,LAC,,N. Batum,LAC,Batum P.FOUL (P3.T2) (A.Abazi),Foul,Personal,0,0,0,0,,,v
S2425-G0087,4,03:48,DEN,,LAC,,N. Batum,LAC,SUB: Jones Jr. FOR Batum,Substitution,,0,0,0,0,,,v
S2425-G0101,1,01:21,GSW,,LAC,,N. Batum,LAC,MISS Batum 3PT Jump Shot,Missed Shot,Jump Shot,-225,41,0,1,3.0,0.0,v
S2425-G0101,1,01:15,GSW,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0101,2,10:45,GSW,34.0,LAC,38.0,N. Batum,LAC,Batum 4' Running Layup (2 PTS) (Porter Jr. 2 AST),Made Shot,Running Layup Shot,20,31,4,1,2.0,2.0,v
S2425-G0101,2,09:45,GSW,,LAC,,N. Batum,LAC,Batum S.FOUL (P1.T1) (J.Goble),Foul,Shooting,0,0,0,0,,,v
S2425-G0101,2,08:46,GSW,,LAC,,N. Batum,LAC,Batum REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0101,2,08:29,GSW,,LAC,,N. Batum,LAC,Batum P.FOUL (P2.T2) (C.Kirkland),Foul,Personal,0,0,0,0,,,v
S2425-G0101,2,08:14,GSW,,LAC,,N. Batum,LAC,Batum OFF.Foul (P3) (B.Schwab),Foul,Offensive,0,0,0,0,,,v
S2425-G0101,2,08:14,GSW,,LAC,,N. Batum,LAC,Batum Offensive Foul Turnover (P1.T5),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2425-G0101,2,08:14,GSW,,LAC,,N. Batum,LAC,SUB: Mann FOR Batum,Substitution,,0,0,0,0,,,v
S2425-G0101,2,00:54.100000,GSW,52.0,LAC,59.0,N. Batum,LAC,Batum 24' 3PT Jump Shot (5 PTS) (Harden 6 AST),Made Shot,Jump Shot,235,34,24,1,3.0,3.0,v
S2425-G0101,4,10:18,GSW,,LAC,,N. Batum,LAC,Batum REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0101,4,08:55,GSW,,LAC,,N. Batum,LAC,Batum REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0101,4,08:38,GSW,,LAC,,N. Batum,LAC,MISS Batum 3PT Jump Shot,Missed Shot,Jump Shot,-227,-12,0,1,3.0,0.0,v
S2425-G0101,4,07:16,GSW,,LAC,,N. Batum,LAC,SUB: Jones Jr. FOR Batum,Substitution,,0,0,0,0,,,v
S2425-G0071,1,02:33,LAC,21.0,PHX,18.0,N. Batum,LAC,Batum Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0071,1,02:33,LAC,22.0,PHX,18.0,N. Batum,LAC,Batum Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0071,2,08:44,LAC,,PHX,,N. Batum,LAC,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0071,2,08:41,LAC,,PHX,,N. Batum,LAC,SUB: Powell FOR Batum,Substitution,,0,0,0,0,,,h
S2425-G0071,2,02:02,LAC,,PHX,,N. Batum,LAC,Batum STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0071,2,00:01,LAC,,PHX,,N. Batum,LAC,MISS Batum 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,145,218,26,1,3.0,0.0,h
S2425-G0071,3,07:01,LAC,,PHX,,N. Batum,LAC,Batum P.FOUL (P1.T3) (J.Goble),Foul,Personal,0,0,0,0,,,h
S2425-G0071,3,06:27,LAC,,PHX,,N. Batum,LAC,Batum Out of Bounds - Bad Pass Turnover Turnover (P1.T15),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0071,3,05:56,LAC,,PHX,,N. Batum,LAC,Batum P.FOUL (P2.T4) (J.Goble),Foul,Personal,0,0,0,0,,,h
S2425-G0071,3,03:33,LAC,,PHX,,N. Batum,LAC,Batum P.FOUL (P3.PN) (J.Goble),Foul,Personal,0,0,0,0,,,h
S2425-G0071,4,11:43,LAC,,PHX,,N. Batum,LAC,MISS Batum 27' 3PT Jump Shot,Missed Shot,Jump Shot,108,242,27,1,3.0,0.0,h
S2425-G0071,4,11:32,LAC,,PHX,,N. Batum,LAC,SUB: Mann FOR Batum,Substitution,,0,0,0,0,,,h
S2425-G0071,4,01:39,LAC,,PHX,,N. Batum,LAC,SUB: Zubac FOR Batum,Substitution,,0,0,0,0,,,h
S2425-G0071,5,00:15.700000,LAC,,PHX,,N. Batum,LAC,Batum REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0071,5,00:03,LAC,,PHX,,N. Batum,LAC,SUB: Dunn FOR Batum,Substitution,,0,0,0,0,,,h
