game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,04:06,LAL,,MIN,,G. Vincent,LAL,MISS Vincent 18' Step Back Jump Shot,Missed Shot,Step Back Jump shot,119,135,18,1,2.0,0.0,h
S2425-G0062,1,01:23,LAL,,MIN,,G. Vincent,LAL,Vincent REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,04:00,LAL,,MIN,,G. Vincent,LAL,SUB: L. James FOR Vincent,Substitution,,0,0,0,0,,,h
S2425-G0062,3,03:26,LAL,74.0,MIN,63.0,G. Vincent,LAL,Vincent 1' Cutting Layup Shot (2 PTS) (Reaves 4 AST),Made Shot,Cutting Layup Shot,-4,14,1,1,2.0,2.0,h
S2425-G0062,3,02:30,LAL,,MIN,,G. Vincent,LAL,Vincent P.FOUL (P1.PN) (J.Orr),Foul,Personal,0,0,0,0,,,h
S2425-G0062,3,00:29.200000,LAL,,MIN,,G. Vincent,LAL,Vincent Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0062,4,03:00,LAL,,MIN,,G. Vincent,LAL,Vincent Out of Bounds - Bad Pass Turnover Turnover (P2.T6),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0062,4,02:40,LAL,,MIN,,G. Vincent,LAL,Vincent REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,4,02:10,LAL,,MIN,,G. Vincent,LAL,SUB: Hachimura FOR Vincent,Substitution,,0,0,0,0,,,h
S2425-G0111,1,00:14.200000,PHX,,LAL,,G. Vincent,LAL,MISS Vincent 3PT Jump Shot,Missed Shot,Jump Shot,222,10,0,1,3.0,0.0,v
S2425-G0111,2,04:55,PHX,,LAL,,G. Vincent,LAL,MISS Vincent 7' Driving Layup,Missed Shot,Driving Layup Shot,27,67,7,1,2.0,0.0,v
S2425-G0111,2,02:58,PHX,,LAL,,G. Vincent,LAL,SUB: Russell FOR Vincent,Substitution,,0,0,0,0,,,v
S2425-G0111,3,00:08.200000,PHX,74.0,LAL,83.0,G. Vincent,LAL,Vincent 3PT Jump Shot (3 PTS) (Russell 8 AST),Made Shot,Jump Shot,-225,-15,0,1,3.0,3.0,v
S2425-G0111,4,00:40.500000,PHX,,LAL,,G. Vincent,LAL,SUB: Russell FOR Vincent,Substitution,,0,0,0,0,,,v
S2425-G0096,1,04:12,LAL,,SAC,,G. Vincent,LAL,Vincent S.FOUL (P1.T1) (K.Scott),Foul,Shooting,0,0,0,0,,,h
