game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,01:36,LAL,,MIN,,J. Hayes,LAL,Hayes REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,1,01:06,LAL,,MIN,,J. Hayes,LAL,Hayes REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,1,00:57.300000,LAL,21.0,MIN,18.0,J. Hayes,LAL,Hayes Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,1,00:57.300000,LAL,22.0,MIN,18.0,J. Hayes,LAL,Hayes Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,2,10:51,LAL,,MIN,,J. Hayes,LAL,MISS Hayes 14' Floating Jump Shot,Missed Shot,Floating Jump shot,-31,133,14,1,2.0,0.0,h
S2425-G0062,2,10:50,LAL,,MIN,,J. Hayes,LAL,Hayes REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,09:58,LAL,,MIN,,J. Hayes,LAL,Hayes REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,09:50,LAL,28.0,MIN,26.0,J. Hayes,LAL,Hayes 4' Dunk (4 PTS) (Russell 2 AST),Made Shot,Dunk Shot,-21,39,4,1,2.0,2.0,h
S2425-G0062,2,08:54,LAL,32.0,MIN,27.0,J. Hayes,LAL,Hayes 5' Cutting Dunk Shot (6 PTS) (Knecht 1 AST),Made Shot,Cutting Dunk Shot,-29,37,5,1,2.0,2.0,h
S2425-G0062,2,07:34,LAL,,MIN,,J. Hayes,LAL,SUB: Davis FOR Hayes,Substitution,,0,0,0,0,,,h
S2425-G0062,3,01:46,LAL,82.0,MIN,69.0,J. Hayes,LAL,Hayes 3' Alley Oop Layup (8 PTS) (L. James 2 AST),Made Shot,Alley Oop Layup shot,-13,24,3,1,2.0,2.0,h
S2425-G0062,3,00:49.500000,LAL,,MIN,,J. Hayes,LAL,Hayes S.FOUL (P1.PN) (J.Orr),Foul,Shooting,0,0,0,0,,,h
S2425-G0062,4,11:48,LAL,,MIN,,J. Hayes,LAL,Hayes S.FOUL (P2.T1) (N.Buchert),Foul,Shooting,0,0,0,0,,,h
S2425-G0062,4,11:19,LAL,,MIN,,J. Hayes,LAL,Hayes L.B.FOUL (P3.T2) (J.Orr),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0062,4,08:51,LAL,,MIN,,J. Hayes,LAL,Hayes BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0062,4,08:37,LAL,91.0,MIN,81.0,J. Hayes,LAL,Hayes Alley Oop Dunk (10 PTS) (Russell 5 AST),Made Shot,Alley Oop Dunk Shot,3,-1,0,1,2.0,2.0,h
S2425-G0062,4,07:09,LAL,,MIN,,J. Hayes,LAL,SUB: Davis FOR Hayes,Substitution,,0,0,0,0,,,h
S2425-G0111,1,00:48.500000,PHX,,LAL,,J. Hayes,LAL,Hayes REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,2,10:23,PHX,,LAL,,J. Hayes,LAL,Hayes OFF.Foul (P1) (B.Taylor),Foul,Offensive,0,0,0,0,,,v
S2425-G0111,2,10:23,PHX,,LAL,,J. Hayes,LAL,Hayes Offensive Foul Turnover (P1.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
