game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0062,1,05:38,LAL,,MIN,,M. Christie,LAL,Christie REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,1,05:04,LAL,,MIN,,M. Christie,LAL,MISS Christie 3PT Jump Shot,Missed Shot,Jump Shot,-224,44,0,1,3.0,0.0,h
S2425-G0062,1,03:03,LAL,,MIN,,M. Christie,LAL,Christie S.FOUL (P1.T3) (N.Buchert),Foul,Shooting,0,0,0,0,,,h
S2425-G0062,1,02:42,LAL,,MIN,,M. Christie,LAL,MISS Christie 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-210,149,26,1,3.0,0.0,h
S2425-G0062,1,01:16,LAL,,MIN,,M. Christie,LAL,MISS Christie 24' 3PT Jump Shot,Missed Shot,Jump Shot,-239,7,24,1,3.0,0.0,h
S2425-G0062,2,00:44.600000,LAL,54.0,MIN,42.0,M. Christie,LAL,Christie Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,2,00:44.600000,LAL,55.0,MIN,42.0,M. Christie,LAL,Christie Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0062,2,00:27.300000,LAL,,MIN,,M. Christie,LAL,Christie REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0062,2,00:03.200000,LAL,,MIN,,M. Christie,LAL,Christie Personal Take Foul (P2.T4) (N.Buchert),Foul,Personal Take,0,0,0,0,,,h
S2425-G0062,3,06:17,LAL,,MIN,,M. Christie,LAL,Christie S.FOUL (P3.T4) (N.Buchert),Foul,Shooting,0,0,0,0,,,h
S2425-G0062,3,04:17,LAL,,MIN,,M. Christie,LAL,Christie P.FOUL (P4.PN) (N.Buchert),Foul,Personal,0,0,0,0,,,h
S2425-G0062,3,03:37,LAL,,MIN,,M. Christie,LAL,Christie P.FOUL (P5.PN) (N.Buchert),Foul,Personal,0,0,0,0,,,h
S2425-G0062,3,03:37,LAL,,MIN,,M. Christie,LAL,SUB: Knecht FOR Christie,Substitution,,0,0,0,0,,,h
S2425-G0111,1,05:47,PHX,8.0,LAL,23.0,M. Christie,LAL,Christie 3' Cutting Layup Shot (2 PTS) (Russell 4 AST),Made Shot,Cutting Layup Shot,-29,18,3,1,2.0,2.0,v
S2425-G0111,1,05:17,PHX,,LAL,,M. Christie,LAL,Christie REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0111,1,04:48,PHX,,LAL,,M. Christie,LAL,Christie P.FOUL (P1.T2) (M.Smith),Foul,Personal,0,0,0,0,,,v
S2425-G0111,1,02:38,PHX,,LAL,,M. Christie,LAL,Christie L.B.FOUL (P2.T4) (M.Smith),Foul,Loose Ball,0,0,0,0,,,v
