game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,10:51,MEM,,BKN,,D. Bane,MEM,Bane P.FOUL (P1.T1) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2424-G124,1,10:17,MEM,5.0,BKN,4.0,D. Bane,MEM,Bane Free Throw Technical (1 PTS),Free Throw,Free Throw Technical,0,0,0,0,1.0,1.0,h
S2424-G124,1,09:51,MEM,,BKN,,D. Bane,MEM,Bane REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,1,09:48,MEM,,BKN,,D. Bane,MEM,Bane Out of Bounds Lost Ball Turnover (P1.T1),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2424-G124,1,09:06,MEM,9.0,BKN,4.0,D. Bane,MEM,Bane 3PT Jump Shot (4 PTS) (Smart 1 AST),Made Shot,Jump Shot,-228,-7,0,1,3.0,3.0,h
S2424-G124,1,08:23,MEM,,BKN,,D. Bane,MEM,Bane REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,1,08:16,MEM,,BKN,,D. Bane,MEM,MISS Bane 25' 3PT Jump Shot,Missed Shot,Jump Shot,-186,163,25,1,3.0,0.0,h
S2424-G124,1,07:32,MEM,,BKN,,D. Bane,MEM,Bane REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,1,07:29,MEM,,BKN,,D. Bane,MEM,SUB: Pippen Jr. FOR Bane,Substitution,,0,0,0,0,,,h
S2424-G124,1,06:03,MEM,,BKN,,D. Bane,MEM,Bane REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,1,03:41,MEM,24.0,BKN,16.0,D. Bane,MEM,Bane 2' Cutting Layup Shot (6 PTS) (LaRavia 3 AST),Made Shot,Cutting Layup Shot,13,11,2,1,2.0,2.0,h
S2424-G124,1,03:14,MEM,,BKN,,D. Bane,MEM,MISS Bane 11' Jump Shot,Missed Shot,Jump Shot,-53,100,11,1,2.0,0.0,h
S2424-G124,1,02:57,MEM,25.0,BKN,20.0,D. Bane,MEM,Bane Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,1,02:57,MEM,26.0,BKN,20.0,D. Bane,MEM,Bane Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,1,02:06,MEM,,BKN,,D. Bane,MEM,SUB: Wells FOR Bane,Substitution,,0,0,0,0,,,h
S2424-G124,2,05:01,MEM,,BKN,,D. Bane,MEM,Bane REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,2,04:54,MEM,51.0,BKN,49.0,D. Bane,MEM,Bane 3' Driving Finger Roll Layup (10 PTS) (Pippen Jr. 2 AST),Made Shot,Driving Finger Roll Layup Shot,29,5,3,1,2.0,2.0,h
S2424-G124,2,00:11.500000,MEM,,BKN,,D. Bane,MEM,Bane Lost Ball Turnover (P2.T15),Turnover,Lost Ball,0,0,0,0,,,h
S2424-G124,3,11:30,MEM,,BKN,,D. Bane,MEM,MISS Bane 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,86,47,10,1,2.0,0.0,h
S2424-G124,3,11:23,MEM,,BKN,,D. Bane,MEM,MISS Bane 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-131,74,15,1,2.0,0.0,h
S2424-G124,3,10:06,MEM,,BKN,,D. Bane,MEM,Bane REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,3,09:54,MEM,,BKN,,D. Bane,MEM,SUB: Pippen Jr. FOR Bane,Substitution,,0,0,0,0,,,h
S2425-G0070,1,10:42,UTA,,MEM,,D. Bane,MEM,MISS Bane 26' 3PT Jump Shot,Missed Shot,Jump Shot,-232,106,26,1,3.0,0.0,v
S2425-G0070,1,08:46,UTA,,MEM,,D. Bane,MEM,Bane P.FOUL (P1.T2) (K.Cutler),Foul,Personal,0,0,0,0,,,v
S2425-G0070,1,08:08,UTA,,MEM,,D. Bane,MEM,MISS Bane 5' Running Layup,Missed Shot,Running Layup Shot,43,20,5,1,2.0,0.0,v
S2425-G0070,1,08:08,UTA,,MEM,,D. Bane,MEM,SUB: Pippen Jr. FOR Bane,Substitution,,0,0,0,0,,,v
S2425-G0070,1,06:39,UTA,14.0,MEM,17.0,D. Bane,MEM,Bane 26' 3PT Jump Shot (3 PTS) (Pippen Jr. 1 AST),Made Shot,Jump Shot,129,220,26,1,3.0,3.0,v
S2425-G0070,1,06:25,UTA,,MEM,,D. Bane,MEM,Bane P.FOUL (P2.PN) (K.Cutler),Foul,Personal,0,0,0,0,,,v
S2425-G0070,1,06:23,UTA,,MEM,,D. Bane,MEM,Bane REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0070,1,05:17,UTA,,MEM,,D. Bane,MEM,Bane Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0070,1,04:56,UTA,,MEM,,D. Bane,MEM,MISS Bane 25' 3PT Jump Shot,Missed Shot,Jump Shot,118,222,25,1,3.0,0.0,v
S2425-G0070,1,04:34,UTA,,MEM,,D. Bane,MEM,SUB: Konchar FOR Bane,Substitution,,0,0,0,0,,,v
S2425-G0070,2,08:22,UTA,,MEM,,D. Bane,MEM,MISS Bane 15' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-64,134,15,1,2.0,0.0,v
S2425-G0070,2,07:54,UTA,33.0,MEM,41.0,D. Bane,MEM,Bane 12' Driving Floating Bank Jump Shot (5 PTS) (Morant 4 AST),Made Shot,Driving Floating Bank Jump Shot,-86,90,12,1,2.0,2.0,v
S2425-G0070,2,07:04,UTA,,MEM,,D. Bane,MEM,MISS Bane 15' Jump Shot,Missed Shot,Jump Shot,50,137,15,1,2.0,0.0,v
S2425-G0070,2,06:50,UTA,,MEM,,D. Bane,MEM,Bane S.FOUL (P3.T3) (J.Conley),Foul,Shooting,0,0,0,0,,,v
