game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,1,11:52,MEM,,BKN,,J. Jackson Jr.,MEM,MISS Jackson Jr. 4' Driving Layup,Missed Shot,Driving Layup Shot,-43,-6,4,1,2.0,0.0,h
S2424-G124,1,11:04,MEM,,BKN,,J. Jackson Jr.,MEM,MISS Jackson Jr. Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2424-G124,1,11:04,MEM,4.0,BKN,2.0,J. Jackson Jr.,MEM,Jackson Jr. Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,1,10:03,MEM,6.0,BKN,4.0,J. Jackson Jr.,MEM,Jackson Jr. Free Throw 1 of 2 (2 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,1,10:03,MEM,,BKN,,J. Jackson Jr.,MEM,MISS Jackson Jr. Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2424-G124,1,08:44,MEM,12.0,BKN,7.0,J. Jackson Jr.,MEM,Jackson Jr. 25' 3PT Jump Shot (5 PTS) (Morant 2 AST),Made Shot,Jump Shot,165,194,25,1,3.0,3.0,h
S2424-G124,1,07:15,MEM,17.0,BKN,10.0,J. Jackson Jr.,MEM,Jackson Jr. 8' Driving Layup (7 PTS) (Pippen Jr. 1 AST),Made Shot,Driving Layup Shot,70,42,8,1,2.0,2.0,h
S2424-G124,1,07:15,MEM,18.0,BKN,10.0,J. Jackson Jr.,MEM,Jackson Jr. Free Throw 1 of 1 (8 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2424-G124,1,06:28,MEM,,BKN,,J. Jackson Jr.,MEM,SUB: Aldama FOR Jackson Jr.,Substitution,,0,0,0,0,,,h
S2424-G124,2,11:38,MEM,,BKN,,J. Jackson Jr.,MEM,Jackson Jr. L.B.FOUL (P1.T1) (A.Smith),Foul,Loose Ball,0,0,0,0,,,h
S2424-G124,2,11:36,MEM,,BKN,,J. Jackson Jr.,MEM,Jackson Jr. STEAL (1 STL),,,0,0,0,0,,,h
S2424-G124,2,11:05,MEM,33.0,BKN,34.0,J. Jackson Jr.,MEM,Jackson Jr. 24' 3PT Jump Shot (11 PTS) (Clarke 1 AST),Made Shot,Jump Shot,-134,201,24,1,3.0,3.0,h
