game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2424-G124,2,11:10,MEM,30.0,BKN,34.0,J. Wells,MEM,Wells Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2424-G124,2,11:10,MEM,,BKN,,J. Wells,MEM,MISS Wells Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2424-G124,2,08:22,MEM,,BKN,,J. Wells,MEM,MISS Wells 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,224,122,26,1,3.0,0.0,h
S2424-G124,2,08:05,MEM,,BKN,,J. Wells,MEM,Wells REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2424-G124,2,07:58,MEM,,BKN,,J. Wells,MEM,Wells Lost Ball Turnover (P1.T9),Turnover,Lost Ball,0,0,0,0,,,h
S2424-G124,2,05:44,MEM,,BKN,,J. Wells,MEM,SUB: Bane FOR Wells,Substitution,,0,0,0,0,,,h
S2424-G124,3,04:05,MEM,,BKN,,J. Wells,MEM,Wells OFF.Foul (P1) (B.Forte),Foul,Offensive,0,0,0,0,,,h
S2424-G124,3,04:05,MEM,,BKN,,J. Wells,MEM,Wells Offensive Foul Turnover (P2.T18),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2424-G124,3,02:31,MEM,,BKN,,J. Wells,MEM,MISS Wells 27' 3PT Jump Shot,Missed Shot,Jump Shot,129,235,27,1,3.0,0.0,h
S2424-G124,3,01:21,MEM,,BKN,,J. Wells,MEM,MISS Wells 3PT Jump Shot,Missed Shot,Jump Shot,-232,11,0,1,3.0,0.0,h
S2424-G124,3,01:15,MEM,85.0,BKN,87.0,J. Wells,MEM,Wells 2' Dunk (3 PTS) (Edey 1 AST),Made Shot,Dunk Shot,-18,5,2,1,2.0,2.0,h
S2424-G124,3,00:54.300000,MEM,,BKN,,J. Wells,MEM,SUB: Huff FOR Wells,Substitution,,0,0,0,0,,,h
S2424-G124,3,00:03.200000,MEM,90.0,BKN,91.0,J. Wells,MEM,Wells 26' 3PT Jump Shot (6 PTS) (Morant 9 AST),Made Shot,Jump Shot,151,211,26,1,3.0,3.0,h
S2424-G124,4,10:40,MEM,,BKN,,J. Wells,MEM,Wells Out of Bounds - Bad Pass Turnover Turnover (P3.T21),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2424-G124,4,10:18,MEM,,BKN,,J. Wells,MEM,Wells Bad Pass Turnover (P4.T22),Turnover,Bad Pass,0,0,0,0,,,h
S2424-G124,4,10:14,MEM,,BKN,,J. Wells,MEM,SUB: LaRavia FOR Wells,Substitution,,0,0,0,0,,,h
S2424-G124,4,03:28,MEM,104.0,BKN,112.0,J. Wells,MEM,Wells 25' 3PT Running Pull-Up Jump Shot (9 PTS) (Morant 11 AST),Made Shot,Running Pull-Up Jump Shot,145,201,25,1,3.0,3.0,h
S2424-G124,4,02:31,MEM,,BKN,,J. Wells,MEM,Wells BLOCK (1 BLK),,,0,0,0,0,,,h
S2424-G124,4,02:29,MEM,,BKN,,J. Wells,MEM,Jump Ball Wells vs. Thomas: Tip to Clarke,Jump Ball,,0,0,0,0,,,h
S2424-G124,4,01:41,MEM,,BKN,,J. Wells,MEM,MISS Wells 26' 3PT Jump Shot,Missed Shot,Jump Shot,28,258,26,1,3.0,0.0,h
S2425-G0070,1,07:43,UTA,14.0,MEM,14.0,J. Wells,MEM,Wells 26' 3PT Jump Shot (3 PTS) (Morant 2 AST),Made Shot,Jump Shot,-158,206,26,1,3.0,3.0,v
S2425-G0070,1,04:10,UTA,16.0,MEM,20.0,J. Wells,MEM,Wells 30' 3PT Jump Shot (6 PTS) (Aldama 1 AST),Made Shot,Jump Shot,-206,212,30,1,3.0,3.0,v
S2425-G0070,1,02:25,UTA,,MEM,,J. Wells,MEM,MISS Wells 24' 3PT Jump Shot,Missed Shot,Jump Shot,-239,23,24,1,3.0,0.0,v
S2425-G0070,1,02:07,UTA,,MEM,,J. Wells,MEM,SUB: Huff FOR Wells,Substitution,,0,0,0,0,,,v
S2425-G0070,2,01:22,UTA,,MEM,,J. Wells,MEM,Wells P.FOUL (P1.PN) (K.Cutler),Foul,Personal,0,0,0,0,,,v
S2425-G0070,2,00:54.500000,UTA,,MEM,,J. Wells,MEM,Wells STEAL (1 STL),,,0,0,0,0,,,v
