game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,12:00,MIA,,ORL,,B. Adebayo,MIA,Jump Ball Adebayo vs. Carter Jr.: Tip to Butler,Jump Ball,,0,0,0,0,,,h
S2425-G0065,1,10:59,MIA,,ORL,,B. Adebayo,MIA,Adebayo REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,1,10:59,MIA,,ORL,,B. Adebayo,MIA,MISS Adebayo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0065,1,10:59,MIA,1.0,ORL,0.0,B. Adebayo,MIA,Adebayo Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,1,09:42,MIA,,ORL,,B. Adebayo,MIA,MISS Adebayo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0065,1,09:42,MIA,4.0,ORL,4.0,B. Adebayo,MIA,Adebayo Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,1,07:48,MIA,,ORL,,B. Adebayo,MIA,Adebayo REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,1,04:13,MIA,,ORL,,B. Adebayo,MIA,SUB: Highsmith FOR Adebayo,Substitution,,0,0,0,0,,,h
S2425-G0065,2,06:35,MIA,,ORL,,B. Adebayo,MIA,MISS Adebayo 3PT Jump Shot,Missed Shot,Jump Shot,-229,-16,0,1,3.0,0.0,h
S2425-G0065,2,04:56,MIA,,ORL,,B. Adebayo,MIA,Adebayo REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,04:48,MIA,48.0,ORL,44.0,B. Adebayo,MIA,Adebayo Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,2,04:48,MIA,49.0,ORL,44.0,B. Adebayo,MIA,Adebayo Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,2,04:25,MIA,,ORL,,B. Adebayo,MIA,MISS Adebayo 9' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-91,-12,9,1,2.0,0.0,h
S2425-G0065,2,02:41,MIA,,ORL,,B. Adebayo,MIA,Adebayo P.FOUL (P1.PN) (J.Butler),Foul,Personal,0,0,0,0,,,h
S2425-G0065,2,02:25,MIA,,ORL,,B. Adebayo,MIA,MISS Adebayo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0065,2,02:25,MIA,54.0,ORL,52.0,B. Adebayo,MIA,Adebayo Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,2,01:43,MIA,,ORL,,B. Adebayo,MIA,MISS Adebayo 9' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-83,-27,9,1,2.0,0.0,h
S2425-G0065,3,11:03,MIA,,ORL,,B. Adebayo,MIA,Adebayo REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,3,08:25,MIA,,ORL,,B. Adebayo,MIA,Adebayo REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,3,08:16,MIA,58.0,ORL,70.0,B. Adebayo,MIA,Adebayo Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,3,08:16,MIA,59.0,ORL,70.0,B. Adebayo,MIA,Adebayo Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0065,3,04:26,MIA,64.0,ORL,85.0,B. Adebayo,MIA,Adebayo 13' Step Back Jump Shot (9 PTS) (Herro 3 AST),Made Shot,Step Back Jump shot,-4,134,13,1,2.0,2.0,h
S2425-G0065,3,03:06,MIA,,ORL,,B. Adebayo,MIA,MISS Adebayo 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-157,230,28,1,3.0,0.0,h
S2425-G0065,3,02:24,MIA,,ORL,,B. Adebayo,MIA,SUB: Rozier FOR Adebayo,Substitution,,0,0,0,0,,,h
S2425-G0088,1,10:25,CHA,,MIA,,B. Adebayo,MIA,Adebayo BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0088,1,10:05,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo 21' Jump Shot,Missed Shot,Jump Shot,212,11,21,1,2.0,0.0,v
S2425-G0088,1,09:38,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,1,07:42,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo 14' Jump Shot,Missed Shot,Jump Shot,113,74,14,1,2.0,0.0,v
S2425-G0088,1,07:05,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo 25' 3PT Jump Shot,Missed Shot,Jump Shot,88,234,25,1,3.0,0.0,v
S2425-G0088,1,03:53,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,1,03:28,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,1,03:09,CHA,,MIA,,B. Adebayo,MIA,SUB: Robinson FOR Adebayo,Substitution,,0,0,0,0,,,v
S2425-G0088,2,06:17,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo 8' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,5,84,8,1,2.0,0.0,v
S2425-G0088,2,05:42,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,2,05:42,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2425-G0088,2,05:20,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,2,05:08,CHA,34.0,MIA,39.0,B. Adebayo,MIA,Adebayo 7' Hook Shot (2 PTS),Made Shot,Hook Shot,48,53,7,1,2.0,2.0,v
S2425-G0088,2,04:45,CHA,36.0,MIA,41.0,B. Adebayo,MIA,Adebayo 6' Fadeaway Jumper (4 PTS),Made Shot,Fadeaway Jump Shot,33,53,6,1,2.0,2.0,v
S2425-G0088,2,04:45,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2425-G0088,2,03:39,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo 8' Hook Shot,Missed Shot,Hook Shot,21,72,8,1,2.0,0.0,v
S2425-G0088,2,03:25,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,2,02:53,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,2,02:20,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo 12' Jump Shot,Missed Shot,Jump Shot,67,101,12,1,2.0,0.0,v
S2425-G0088,3,11:25,CHA,,MIA,,B. Adebayo,MIA,Adebayo STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0088,3,10:49,CHA,48.0,MIA,58.0,B. Adebayo,MIA,Adebayo 13' Jump Shot (6 PTS) (Herro 2 AST),Made Shot,Jump Shot,-55,115,13,1,2.0,2.0,v
S2425-G0088,3,10:21,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo 8' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-18,74,8,1,2.0,0.0,v
S2425-G0088,3,09:24,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,3,09:16,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo 26' 3PT Jump Shot,Missed Shot,Jump Shot,2,263,26,1,3.0,0.0,v
S2425-G0088,3,07:51,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:3 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,3,07:39,CHA,,MIA,,B. Adebayo,MIA,Adebayo S.FOUL (P1.T2) (R.Acosta),Foul,Shooting,0,0,0,0,,,v
S2425-G0088,3,06:57,CHA,60.0,MIA,66.0,B. Adebayo,MIA,Adebayo 6' Floating Jump Shot (8 PTS) (Butler 4 AST),Made Shot,Floating Jump shot,-10,62,6,1,2.0,2.0,v
S2425-G0088,3,06:05,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo 9' Jump Shot,Missed Shot,Jump Shot,-28,90,9,1,2.0,0.0,v
S2425-G0088,3,04:42,CHA,,MIA,,B. Adebayo,MIA,Adebayo Violation:Kicked Ball (R.Acosta),Violation,Kicked Ball,0,0,0,0,,,v
S2425-G0088,3,03:33,CHA,,MIA,,B. Adebayo,MIA,Adebayo Bad Pass Turnover (P1.T10),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0088,3,03:21,CHA,,MIA,,B. Adebayo,MIA,SUB: Bryant FOR Adebayo,Substitution,,0,0,0,0,,,v
S2425-G0088,4,06:40,CHA,85.0,MIA,94.0,B. Adebayo,MIA,Adebayo 10' Jump Shot (10 PTS) (Rozier 2 AST),Made Shot,Jump Shot,-2,102,10,1,2.0,2.0,v
S2425-G0088,4,05:43,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:3 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0088,4,05:35,CHA,88.0,MIA,99.0,B. Adebayo,MIA,Adebayo 2' Cutting Dunk Shot (12 PTS) (Herro 4 AST),Made Shot,Cutting Dunk Shot,4,20,2,1,2.0,2.0,v
S2425-G0088,4,05:01,CHA,,MIA,,B. Adebayo,MIA,MISS Adebayo 10' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,97,10,1,2.0,0.0,v
S2425-G0088,4,03:11,CHA,,MIA,,B. Adebayo,MIA,Adebayo REBOUND (Off:4 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2425-G0122,1,12:00,MIA,,NYK,,B. Adebayo,MIA,Jump Ball Adebayo vs. Towns: Tip to Rozier,Jump Ball,,0,0,0,0,,,h
S2425-G0122,1,10:25,MIA,,NYK,,B. Adebayo,MIA,Adebayo S.FOUL (P1.T1) (S.Foster),Foul,Shooting,0,0,0,0,,,h
S2425-G0122,1,10:08,MIA,4.0,NYK,4.0,B. Adebayo,MIA,Adebayo 13' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,112,74,13,1,2.0,2.0,h
S2425-G0122,1,09:15,MIA,,NYK,,B. Adebayo,MIA,Adebayo REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0122,1,07:44,MIA,,NYK,,B. Adebayo,MIA,MISS Adebayo 25' 3PT Jump Shot,Missed Shot,Jump Shot,-56,246,25,1,3.0,0.0,h
S2425-G0122,1,05:37,MIA,,NYK,,B. Adebayo,MIA,Adebayo Violation:Defensive Goaltending (S.Foster),Violation,Defensive Goaltending,0,0,0,0,,,h
S2425-G0122,1,04:17,MIA,,NYK,,B. Adebayo,MIA,Adebayo S.FOUL (P2.T2) (T.Ricks),Foul,Shooting,0,0,0,0,,,h
S2425-G0122,1,04:17,MIA,,NYK,,B. Adebayo,MIA,SUB: Bryant FOR Adebayo,Substitution,,0,0,0,0,,,h
S2425-G0122,2,09:40,MIA,,NYK,,B. Adebayo,MIA,Adebayo Lost Ball Turnover (P1.T2),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0122,2,09:28,MIA,,NYK,,B. Adebayo,MIA,Adebayo STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0122,2,07:01,MIA,,NYK,,B. Adebayo,MIA,Adebayo REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0122,2,06:34,MIA,40.0,NYK,35.0,B. Adebayo,MIA,Adebayo 4' Running Alley Oop Dunk Shot (4 PTS) (Jaquez Jr. 3 AST),Made Shot,Running Alley Oop Dunk Shot,-23,31,4,1,2.0,2.0,h
S2425-G0122,2,04:29,MIA,,NYK,,B. Adebayo,MIA,Adebayo S.FOUL (P3.T3) (P.Fraher),Foul,Shooting,0,0,0,0,,,h
S2425-G0122,2,04:29,MIA,,NYK,,B. Adebayo,MIA,SUB: Bryant FOR Adebayo,Substitution,,0,0,0,0,,,h
S2425-G0122,3,10:55,MIA,59.0,NYK,55.0,B. Adebayo,MIA,Adebayo Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0122,3,10:55,MIA,60.0,NYK,55.0,B. Adebayo,MIA,Adebayo Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0122,3,10:20,MIA,61.0,NYK,55.0,B. Adebayo,MIA,Adebayo Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0122,3,10:20,MIA,62.0,NYK,55.0,B. Adebayo,MIA,Adebayo Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0122,3,09:56,MIA,64.0,NYK,55.0,B. Adebayo,MIA,Adebayo 5' Driving Dunk (10 PTS) (Rozier 3 AST),Made Shot,Driving Dunk Shot,-23,47,5,1,2.0,2.0,h
S2425-G0122,3,09:22,MIA,,NYK,,B. Adebayo,MIA,MISS Adebayo 12' Pullup Jump Shot,Missed Shot,Pullup Jump shot,62,102,12,1,2.0,0.0,h
S2425-G0122,3,04:12,MIA,,NYK,,B. Adebayo,MIA,SUB: Bryant FOR Adebayo,Substitution,,0,0,0,0,,,h
S2425-G0122,4,09:42,MIA,,NYK,,B. Adebayo,MIA,MISS Adebayo 7' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-38,63,7,1,2.0,0.0,h
S2425-G0122,4,09:39,MIA,,NYK,,B. Adebayo,MIA,Adebayo REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0122,4,02:53,MIA,,NYK,,B. Adebayo,MIA,MISS Adebayo 27' 3PT Jump Shot,Missed Shot,Jump Shot,131,231,27,1,3.0,0.0,h
