game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0065,1,01:56,MIA,,ORL,,D. Robinson,MIA,MISS Robinson 2' Jump Shot,Missed Shot,Jump Shot,17,-4,2,1,2.0,0.0,h
S2425-G0065,1,00:30.500000,MIA,,ORL,,D. Robinson,MIA,MISS Robinson 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,264,26,1,3.0,0.0,h
S2425-G0065,2,11:38,MIA,,ORL,,D. Robinson,MIA,MISS Robinson 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,126,213,25,1,3.0,0.0,h
S2425-G0065,2,10:00,MIA,,ORL,,D. Robinson,MIA,Robinson P.FOUL (P1.T2) (C.Washington),Foul,Personal,0,0,0,0,,,h
S2425-G0065,2,09:39,MIA,37.0,ORL,35.0,D. Robinson,MIA,Robinson 3PT Running Jump Shot (3 PTS) (Rozier 2 AST),Made Shot,Running Jump Shot,-223,1,0,1,3.0,3.0,h
S2425-G0065,2,07:30,MIA,,ORL,,D. Robinson,MIA,MISS Robinson 3' Driving Layup,Missed Shot,Driving Layup Shot,26,8,3,1,2.0,0.0,h
S2425-G0065,2,07:20,MIA,,ORL,,D. Robinson,MIA,Robinson S.FOUL (P2.T4) (C.Washington),Foul,Shooting,0,0,0,0,,,h
S2425-G0065,2,06:24,MIA,45.0,ORL,43.0,D. Robinson,MIA,Robinson 27' 3PT Jump Shot (6 PTS) (Highsmith 1 AST),Made Shot,Jump Shot,229,138,27,1,3.0,3.0,h
S2425-G0065,2,05:23,MIA,,ORL,,D. Robinson,MIA,MISS Robinson 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-44,248,25,1,3.0,0.0,h
S2425-G0065,2,05:14,MIA,,ORL,,D. Robinson,MIA,Robinson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0065,2,03:36,MIA,,ORL,,D. Robinson,MIA,SUB: Rozier FOR Robinson,Substitution,,0,0,0,0,,,h
S2425-G0065,4,11:28,MIA,,ORL,,D. Robinson,MIA,Robinson S.FOUL (P3.T1) (J.Butler),Foul,Shooting,0,0,0,0,,,h
S2425-G0065,4,08:45,MIA,,ORL,,D. Robinson,MIA,Robinson S.FOUL (P4.T3) (C.Blair),Foul,Shooting,0,0,0,0,,,h
S2425-G0065,4,06:15,MIA,,ORL,,D. Robinson,MIA,SUB: Smith FOR Robinson,Substitution,,0,0,0,0,,,h
S2425-G0088,1,02:49,CHA,,MIA,,D. Robinson,MIA,MISS Robinson 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-107,221,25,1,3.0,0.0,v
S2425-G0088,1,01:50,CHA,,MIA,,D. Robinson,MIA,MISS Robinson 26' 3PT Jump Shot,Missed Shot,Jump Shot,199,166,26,1,3.0,0.0,v
S2425-G0088,1,01:34,CHA,17.0,MIA,21.0,D. Robinson,MIA,Robinson 3' Driving Layup (2 PTS) (Smith 1 AST),Made Shot,Driving Layup Shot,33,4,3,1,2.0,2.0,v
S2425-G0088,1,00:30.900000,CHA,,MIA,,D. Robinson,MIA,MISS Robinson 5' Driving Layup,Missed Shot,Driving Layup Shot,51,16,5,1,2.0,0.0,v
S2425-G0088,2,09:55,CHA,,MIA,,D. Robinson,MIA,MISS Robinson 26' 3PT Jump Shot,Missed Shot,Jump Shot,-59,250,26,1,3.0,0.0,v
S2425-G0088,2,07:40,CHA,,MIA,,D. Robinson,MIA,SUB: Herro FOR Robinson,Substitution,,0,0,0,0,,,v
S2425-G0088,4,10:07,CHA,,MIA,,D. Robinson,MIA,Robinson BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0088,4,10:04,CHA,,MIA,,D. Robinson,MIA,Robinson BLOCK (2 BLK),,,0,0,0,0,,,v
S2425-G0088,4,09:59,CHA,,MIA,,D. Robinson,MIA,MISS Robinson 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,189,167,25,1,3.0,0.0,v
S2425-G0088,4,09:06,CHA,78.0,MIA,91.0,D. Robinson,MIA,Robinson 2' Running Layup (4 PTS) (Jović 6 AST),Made Shot,Running Layup Shot,6,17,2,1,2.0,2.0,v
S2425-G0088,4,08:15,CHA,,MIA,,D. Robinson,MIA,MISS Robinson 3PT Jump Shot,Missed Shot,Jump Shot,-230,25,0,1,3.0,0.0,v
S2425-G0088,4,07:27,CHA,,MIA,,D. Robinson,MIA,SUB: Rozier FOR Robinson,Substitution,,0,0,0,0,,,v
S2425-G0122,1,02:21,MIA,25.0,NYK,20.0,D. Robinson,MIA,Robinson 4' Cutting Layup Shot (2 PTS) (Herro 3 AST),Made Shot,Cutting Layup Shot,-7,43,4,1,2.0,2.0,h
S2425-G0122,1,00:27.700000,MIA,32.0,NYK,26.0,D. Robinson,MIA,Robinson 24' 3PT Jump Shot (5 PTS) (Jaquez Jr. 1 AST),Made Shot,Jump Shot,235,14,24,1,3.0,3.0,h
S2425-G0122,1,00:02.500000,MIA,,NYK,,D. Robinson,MIA,Robinson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0122,2,11:01,MIA,,NYK,,D. Robinson,MIA,MISS Robinson 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,229,53,24,1,3.0,0.0,h
S2425-G0122,2,09:13,MIA,,NYK,,D. Robinson,MIA,MISS Robinson 3PT Jump Shot,Missed Shot,Jump Shot,-225,32,0,1,3.0,0.0,h
S2425-G0122,2,07:08,MIA,,NYK,,D. Robinson,MIA,Robinson Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0122,2,06:53,MIA,,NYK,,D. Robinson,MIA,MISS Robinson 3PT Jump Shot,Missed Shot,Jump Shot,-223,41,0,1,3.0,0.0,h
S2425-G0122,2,06:24,MIA,,NYK,,D. Robinson,MIA,SUB: Herro FOR Robinson,Substitution,,0,0,0,0,,,h
S2425-G0122,3,00:43.700000,MIA,,NYK,,D. Robinson,MIA,Robinson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0122,4,11:38,MIA,,NYK,,D. Robinson,MIA,MISS Robinson 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,10,86,9,1,2.0,0.0,h
S2425-G0122,4,10:59,MIA,,NYK,,D. Robinson,MIA,MISS Robinson 26' 3PT Jump Shot,Missed Shot,Jump Shot,146,214,26,1,3.0,0.0,h
S2425-G0122,4,09:36,MIA,,NYK,,D. Robinson,MIA,SUB: Herro FOR Robinson,Substitution,,0,0,0,0,,,h
S2425-G0105,1,03:10,MIA,,DET,,D. Robinson,MIA,MISS Robinson 3PT Jump Shot,Missed Shot,Jump Shot,-227,19,0,1,3.0,0.0,h
S2425-G0105,1,02:03,MIA,,DET,,D. Robinson,MIA,MISS Robinson 25' 3PT Jump Shot,Missed Shot,Jump Shot,-62,245,25,1,3.0,0.0,h
S2425-G0105,1,01:41,MIA,,DET,,D. Robinson,MIA,MISS Robinson Running Layup,Missed Shot,Running Layup Shot,0,3,0,1,2.0,0.0,h
S2425-G0105,1,00:25.400000,MIA,28.0,DET,30.0,D. Robinson,MIA,Robinson 3PT Jump Shot (3 PTS) (Butler 3 AST),Made Shot,Jump Shot,-229,17,0,1,3.0,3.0,h
S2425-G0105,2,10:27,MIA,,DET,,D. Robinson,MIA,Robinson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0105,2,09:28,MIA,,DET,,D. Robinson,MIA,Robinson P.FOUL (P1.T1) (G.Petraitis),Foul,Personal,0,0,0,0,,,h
S2425-G0105,2,07:21,MIA,,DET,,D. Robinson,MIA,SUB: Highsmith FOR Robinson,Substitution,,0,0,0,0,,,h
S2425-G0105,3,01:39,MIA,,DET,,D. Robinson,MIA,MISS Robinson 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-34,262,26,1,3.0,0.0,h
S2425-G0105,3,01:11,MIA,,DET,,D. Robinson,MIA,Robinson Lost Ball Turnover (P1.T8),Turnover,Lost Ball,0,0,0,0,,,h
S2425-G0105,3,00:16.100000,MIA,78.0,DET,79.0,D. Robinson,MIA,Robinson 26' 3PT Jump Shot (6 PTS) (Butler 5 AST),Made Shot,Jump Shot,192,174,26,1,3.0,3.0,h
S2425-G0105,4,11:17,MIA,,DET,,D. Robinson,MIA,MISS Robinson 25' 3PT Jump Shot,Missed Shot,Jump Shot,184,176,25,1,3.0,0.0,h
S2425-G0105,4,09:16,MIA,,DET,,D. Robinson,MIA,Robinson S.FOUL (P2.T1) (G.Petraitis),Foul,Shooting,0,0,0,0,,,h
S2425-G0105,4,09:01,MIA,,DET,,D. Robinson,MIA,MISS Robinson 26' 3PT Jump Shot,Missed Shot,Jump Shot,-164,206,26,1,3.0,0.0,h
S2425-G0105,4,07:54,MIA,,DET,,D. Robinson,MIA,SUB: Rozier FOR Robinson,Substitution,,0,0,0,0,,,h
